

Ente;Liste/Gruppi;Voti;
AGUGLIANO;PARTITO DEMOCRATICO;1346;;
AGUGLIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;769;;
AGUGLIANO;FORZA ITALIA;264;;
AGUGLIANO;L'ALTRA EUROPA CON TSIPRAS;149;;
AGUGLIANO;NUOVO CENTRO DESTRA - UDC;138;;
AGUGLIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;118;;
AGUGLIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;62;;
AGUGLIANO;VERDI EUROPEI-GREEN ITALIA;37;;
AGUGLIANO;SCELTA EUROPEA;33;;
AGUGLIANO;ITALIA DEI VALORI;26;;
AGUGLIANO;IO CAMBIO - MAIE;3;;
ANCONA;PARTITO DEMOCRATICO;22396;;
ANCONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;10535;;
ANCONA;FORZA ITALIA;4377;;
ANCONA;L'ALTRA EUROPA CON TSIPRAS;2739;;
ANCONA;NUOVO CENTRO DESTRA - UDC;2089;;
ANCONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1561;;
ANCONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;937;;
ANCONA;VERDI EUROPEI-GREEN ITALIA;519;;
ANCONA;SCELTA EUROPEA;227;;
ANCONA;ITALIA DEI VALORI;167;;
ANCONA;IO CAMBIO - MAIE;43;;
ARCEVIA;PARTITO DEMOCRATICO;1419;;
ARCEVIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;542;;
ARCEVIA;FORZA ITALIA;284;;
ARCEVIA;L'ALTRA EUROPA CON TSIPRAS;120;;
ARCEVIA;NUOVO CENTRO DESTRA - UDC;84;;
ARCEVIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;81;;
ARCEVIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;75;;
ARCEVIA;VERDI EUROPEI-GREEN ITALIA;26;;
ARCEVIA;ITALIA DEI VALORI;26;;
ARCEVIA;SCELTA EUROPEA;7;;
ARCEVIA;IO CAMBIO - MAIE;4;;
BARBARA;PARTITO DEMOCRATICO;419;;
BARBARA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;210;;
BARBARA;FORZA ITALIA;109;;
BARBARA;NUOVO CENTRO DESTRA - UDC;38;;
BARBARA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;25;;
BARBARA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;24;;
BARBARA;L'ALTRA EUROPA CON TSIPRAS;22;;
BARBARA;VERDI EUROPEI-GREEN ITALIA;5;;
BARBARA;IO CAMBIO - MAIE;4;;
BARBARA;ITALIA DEI VALORI;2;;
BARBARA;SCELTA EUROPEA;1;;
