

Ente;Liste/Gruppi;Voti;
ANGHIARI;PARTITO DEMOCRATICO;1738;;
ANGHIARI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;493;;
ANGHIARI;FORZA ITALIA;341;;
ANGHIARI;L'ALTRA EUROPA CON TSIPRAS;103;;
ANGHIARI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;91;;
ANGHIARI;NUOVO CENTRO DESTRA - UDC;77;;
ANGHIARI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;73;;
ANGHIARI;VERDI EUROPEI-GREEN ITALIA;17;;
ANGHIARI;ITALIA DEI VALORI;9;;
ANGHIARI;SCELTA EUROPEA;8;;
ANGHIARI;IO CAMBIO - MAIE;3;;
AREZZO;PARTITO DEMOCRATICO;25170;;
AREZZO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7758;;
AREZZO;FORZA ITALIA;6020;;
AREZZO;L'ALTRA EUROPA CON TSIPRAS;1701;;
AREZZO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1494;;
AREZZO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1249;;
AREZZO;NUOVO CENTRO DESTRA - UDC;1229;;
AREZZO;VERDI EUROPEI-GREEN ITALIA;278;;
AREZZO;SCELTA EUROPEA;255;;
AREZZO;ITALIA DEI VALORI;157;;
AREZZO;IO CAMBIO - MAIE;38;;
BADIA TEDALDA;PARTITO DEMOCRATICO;309;;
BADIA TEDALDA;FORZA ITALIA;116;;
BADIA TEDALDA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;101;;
BADIA TEDALDA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;36;;
BADIA TEDALDA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;32;;
BADIA TEDALDA;L'ALTRA EUROPA CON TSIPRAS;22;;
BADIA TEDALDA;NUOVO CENTRO DESTRA - UDC;11;;
BADIA TEDALDA;ITALIA DEI VALORI;3;;
BADIA TEDALDA;SCELTA EUROPEA;2;;
BADIA TEDALDA;VERDI EUROPEI-GREEN ITALIA;2;;
BADIA TEDALDA;IO CAMBIO - MAIE;0;;
BIBBIENA;PARTITO DEMOCRATICO;3954;;
BIBBIENA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;917;;
BIBBIENA;FORZA ITALIA;786;;
