

Ente;Liste/Gruppi;Voti;
AILOCHE;PARTITO DEMOCRATICO;50;;
AILOCHE;FORZA ITALIA;25;;
AILOCHE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;22;;
AILOCHE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;19;;
AILOCHE;L'ALTRA EUROPA CON TSIPRAS;6;;
AILOCHE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
AILOCHE;NUOVO CENTRO DESTRA - UDC;5;;
AILOCHE;VERDI EUROPEI-GREEN ITALIA;2;;
AILOCHE;ITALIA DEI VALORI;1;;
AILOCHE;IO CAMBIO - MAIE;0;;
AILOCHE;SCELTA EUROPEA;0;;
ANDORNO MICCA;PARTITO DEMOCRATICO;631;;
ANDORNO MICCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;375;;
ANDORNO MICCA;FORZA ITALIA;316;;
ANDORNO MICCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;218;;
ANDORNO MICCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;105;;
ANDORNO MICCA;SCELTA EUROPEA;56;;
ANDORNO MICCA;L'ALTRA EUROPA CON TSIPRAS;50;;
ANDORNO MICCA;NUOVO CENTRO DESTRA - UDC;47;;
ANDORNO MICCA;VERDI EUROPEI-GREEN ITALIA;11;;
ANDORNO MICCA;ITALIA DEI VALORI;10;;
ANDORNO MICCA;IO CAMBIO - MAIE;4;;
BENNA;PARTITO DEMOCRATICO;230;;
BENNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;168;;
BENNA;FORZA ITALIA;116;;
BENNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;90;;
BENNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;39;;
BENNA;NUOVO CENTRO DESTRA - UDC;23;;
BENNA;SCELTA EUROPEA;14;;
BENNA;L'ALTRA EUROPA CON TSIPRAS;9;;
BENNA;ITALIA DEI VALORI;9;;
BENNA;VERDI EUROPEI-GREEN ITALIA;7;;
BENNA;IO CAMBIO - MAIE;3;;
BIELLA;PARTITO DEMOCRATICO;8875;;
BIELLA;FORZA ITALIA;4620;;
BIELLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;3970;;
BIELLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1732;;
BIELLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1399;;
