

Ente;Liste/Gruppi;Voti;
BELVEDERE DI SPINELLO;PARTITO DEMOCRATICO;313;;
BELVEDERE DI SPINELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;280;;
BELVEDERE DI SPINELLO;FORZA ITALIA;272;;
BELVEDERE DI SPINELLO;NUOVO CENTRO DESTRA - UDC;142;;
BELVEDERE DI SPINELLO;L'ALTRA EUROPA CON TSIPRAS;67;;
BELVEDERE DI SPINELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;52;;
BELVEDERE DI SPINELLO;ITALIA DEI VALORI;26;;
BELVEDERE DI SPINELLO;SCELTA EUROPEA;13;;
BELVEDERE DI SPINELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10;;
BELVEDERE DI SPINELLO;IO CAMBIO - MAIE;3;;
BELVEDERE DI SPINELLO;VERDI EUROPEI-GREEN ITALIA;3;;
CACCURI;PARTITO DEMOCRATICO;417;;
CACCURI;FORZA ITALIA;242;;
CACCURI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;139;;
CACCURI;NUOVO CENTRO DESTRA - UDC;95;;
CACCURI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;58;;
CACCURI;L'ALTRA EUROPA CON TSIPRAS;43;;
CACCURI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;18;;
CACCURI;SCELTA EUROPEA;11;;
CACCURI;ITALIA DEI VALORI;10;;
CACCURI;VERDI EUROPEI-GREEN ITALIA;7;;
CACCURI;IO CAMBIO - MAIE;4;;
CARFIZZI;PARTITO DEMOCRATICO;238;;
CARFIZZI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;63;;
CARFIZZI;FORZA ITALIA;55;;
CARFIZZI;NUOVO CENTRO DESTRA - UDC;31;;
CARFIZZI;SCELTA EUROPEA;11;;
CARFIZZI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CARFIZZI;L'ALTRA EUROPA CON TSIPRAS;7;;
CARFIZZI;VERDI EUROPEI-GREEN ITALIA;3;;
CARFIZZI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
CARFIZZI;IO CAMBIO - MAIE;1;;
CARFIZZI;ITALIA DEI VALORI;0;;
CASABONA;PARTITO DEMOCRATICO;591;;
CASABONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;321;;
CASABONA;FORZA ITALIA;284;;
CASABONA;NUOVO CENTRO DESTRA - UDC;148;;
CASABONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;100;;
CASABONA;SCELTA EUROPEA;24;;
CASABONA;L'ALTRA EUROPA CON TSIPRAS;18;;
CASABONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;18;;
CASABONA;ITALIA DEI VALORI;12;;
CASABONA;VERDI EUROPEI-GREEN ITALIA;2;;
CASABONA;IO CAMBIO - MAIE;1;;
CASTELSILANO;PARTITO DEMOCRATICO;215;;
CASTELSILANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;191;;
CASTELSILANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;147;;
CASTELSILANO;NUOVO CENTRO DESTRA - UDC;106;;
CASTELSILANO;FORZA ITALIA;67;;
CASTELSILANO;L'ALTRA EUROPA CON TSIPRAS;23;;
CASTELSILANO;SCELTA EUROPEA;10;;
CASTELSILANO;ITALIA DEI VALORI;4;;
CASTELSILANO;IO CAMBIO - MAIE;2;;
CASTELSILANO;VERDI EUROPEI-GREEN ITALIA;2;;
CASTELSILANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
CERENZIA;PARTITO DEMOCRATICO;167;;
CERENZIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;166;;
CERENZIA;NUOVO CENTRO DESTRA - UDC;97;;
CERENZIA;FORZA ITALIA;59;;
CERENZIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
CERENZIA;L'ALTRA EUROPA CON TSIPRAS;8;;
CERENZIA;SCELTA EUROPEA;3;;
CERENZIA;VERDI EUROPEI-GREEN ITALIA;1;;
CERENZIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
CERENZIA;IO CAMBIO - MAIE;0;;
CERENZIA;ITALIA DEI VALORI;0;;
CIRO';PARTITO DEMOCRATICO;311;;
CIRO';FORZA ITALIA;130;;
CIRO';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;125;;
CIRO';NUOVO CENTRO DESTRA - UDC;60;;
CIRO';L'ALTRA EUROPA CON TSIPRAS;21;;
CIRO';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
CIRO';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
CIRO';SCELTA EUROPEA;5;;
CIRO';VERDI EUROPEI-GREEN ITALIA;2;;
CIRO';IO CAMBIO - MAIE;2;;
CIRO';ITALIA DEI VALORI;1;;
CIRO' MARINA;PARTITO DEMOCRATICO;1127;;
CIRO' MARINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;821;;
CIRO' MARINA;FORZA ITALIA;811;;
CIRO' MARINA;NUOVO CENTRO DESTRA - UDC;332;;
CIRO' MARINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;65;;
CIRO' MARINA;IO CAMBIO - MAIE;61;;
CIRO' MARINA;L'ALTRA EUROPA CON TSIPRAS;49;;
CIRO' MARINA;SCELTA EUROPEA;48;;
CIRO' MARINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;44;;
CIRO' MARINA;ITALIA DEI VALORI;29;;
CIRO' MARINA;VERDI EUROPEI-GREEN ITALIA;7;;
COTRONEI;PARTITO DEMOCRATICO;916;;
COTRONEI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;343;;
COTRONEI;NUOVO CENTRO DESTRA - UDC;222;;
COTRONEI;FORZA ITALIA;177;;
COTRONEI;L'ALTRA EUROPA CON TSIPRAS;62;;
COTRONEI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
COTRONEI;SCELTA EUROPEA;10;;
COTRONEI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
COTRONEI;ITALIA DEI VALORI;5;;
COTRONEI;VERDI EUROPEI-GREEN ITALIA;5;;
COTRONEI;IO CAMBIO - MAIE;1;;
CROTONE;PARTITO DEMOCRATICO;6566;;
CROTONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4952;;
CROTONE;FORZA ITALIA;2397;;
CROTONE;NUOVO CENTRO DESTRA - UDC;1412;;
CROTONE;L'ALTRA EUROPA CON TSIPRAS;662;;
CROTONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;443;;
CROTONE;ITALIA DEI VALORI;99;;
CROTONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;88;;
CROTONE;SCELTA EUROPEA;67;;
CROTONE;VERDI EUROPEI-GREEN ITALIA;52;;
CROTONE;IO CAMBIO - MAIE;12;;
CRUCOLI;PARTITO DEMOCRATICO;800;;
CRUCOLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;474;;
CRUCOLI;FORZA ITALIA;293;;
CRUCOLI;NUOVO CENTRO DESTRA - UDC;127;;
CRUCOLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;98;;
CRUCOLI;L'ALTRA EUROPA CON TSIPRAS;47;;
CRUCOLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
CRUCOLI;ITALIA DEI VALORI;16;;
CRUCOLI;SCELTA EUROPEA;14;;
CRUCOLI;VERDI EUROPEI-GREEN ITALIA;13;;
CRUCOLI;IO CAMBIO - MAIE;7;;
CUTRO;PARTITO DEMOCRATICO;971;;
CUTRO;FORZA ITALIA;645;;
CUTRO;NUOVO CENTRO DESTRA - UDC;431;;
