

Ente;Liste/Gruppi;Voti;
ACCEGLIO;PARTITO DEMOCRATICO;37;;
ACCEGLIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;10;;
ACCEGLIO;FORZA ITALIA;9;;
ACCEGLIO;NUOVO CENTRO DESTRA - UDC;8;;
ACCEGLIO;L'ALTRA EUROPA CON TSIPRAS;4;;
ACCEGLIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
ACCEGLIO;VERDI EUROPEI-GREEN ITALIA;2;;
ACCEGLIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;2;;
ACCEGLIO;ITALIA DEI VALORI;1;;
ACCEGLIO;IO CAMBIO - MAIE;0;;
ACCEGLIO;SCELTA EUROPEA;0;;
AISONE;PARTITO DEMOCRATICO;54;;
AISONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;28;;
AISONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;25;;
AISONE;FORZA ITALIA;20;;
AISONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
AISONE;L'ALTRA EUROPA CON TSIPRAS;7;;
AISONE;NUOVO CENTRO DESTRA - UDC;6;;
AISONE;ITALIA DEI VALORI;2;;
AISONE;VERDI EUROPEI-GREEN ITALIA;1;;
AISONE;IO CAMBIO - MAIE;0;;
AISONE;SCELTA EUROPEA;0;;
ALBA;PARTITO DEMOCRATICO;6737;;
ALBA;FORZA ITALIA;4169;;
ALBA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2717;;
ALBA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1001;;
ALBA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;930;;
ALBA;VERDI EUROPEI-GREEN ITALIA;590;;
ALBA;L'ALTRA EUROPA CON TSIPRAS;580;;
ALBA;NUOVO CENTRO DESTRA - UDC;371;;
ALBA;SCELTA EUROPEA;162;;
ALBA;ITALIA DEI VALORI;87;;
ALBA;IO CAMBIO - MAIE;33;;
ALBARETTO DELLA TORRE;FORZA ITALIA;56;;
ALBARETTO DELLA TORRE;PARTITO DEMOCRATICO;39;;
ALBARETTO DELLA TORRE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;20;;
ALBARETTO DELLA TORRE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
ALBARETTO DELLA TORRE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
ALBARETTO DELLA TORRE;NUOVO CENTRO DESTRA - UDC;4;;
ALBARETTO DELLA TORRE;IO CAMBIO - MAIE;0;;
