

Ente;Liste/Gruppi;Voti;
ARENZANO;PARTITO DEMOCRATICO;2868;;
ARENZANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1587;;
ARENZANO;FORZA ITALIA;757;;
ARENZANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;311;;
ARENZANO;L'ALTRA EUROPA CON TSIPRAS;276;;
ARENZANO;NUOVO CENTRO DESTRA - UDC;211;;
ARENZANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;168;;
ARENZANO;VERDI EUROPEI-GREEN ITALIA;41;;
ARENZANO;SCELTA EUROPEA;34;;
ARENZANO;ITALIA DEI VALORI;25;;
ARENZANO;IO CAMBIO - MAIE;11;;
AVEGNO;PARTITO DEMOCRATICO;453;;
AVEGNO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;416;;
AVEGNO;FORZA ITALIA;250;;
AVEGNO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;131;;
AVEGNO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;62;;
AVEGNO;L'ALTRA EUROPA CON TSIPRAS;48;;
AVEGNO;NUOVO CENTRO DESTRA - UDC;45;;
AVEGNO;VERDI EUROPEI-GREEN ITALIA;17;;
AVEGNO;ITALIA DEI VALORI;14;;
AVEGNO;SCELTA EUROPEA;12;;
AVEGNO;IO CAMBIO - MAIE;6;;
BARGAGLI;PARTITO DEMOCRATICO;529;;
BARGAGLI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;525;;
BARGAGLI;FORZA ITALIA;149;;
BARGAGLI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;66;;
BARGAGLI;L'ALTRA EUROPA CON TSIPRAS;47;;
BARGAGLI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
BARGAGLI;NUOVO CENTRO DESTRA - UDC;25;;
BARGAGLI;VERDI EUROPEI-GREEN ITALIA;14;;
BARGAGLI;ITALIA DEI VALORI;8;;
BARGAGLI;SCELTA EUROPEA;2;;
BARGAGLI;IO CAMBIO - MAIE;0;;
BOGLIASCO;PARTITO DEMOCRATICO;999;;
BOGLIASCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;574;;
BOGLIASCO;FORZA ITALIA;252;;
BOGLIASCO;L'ALTRA EUROPA CON TSIPRAS;130;;
BOGLIASCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;110;;
BOGLIASCO;NUOVO CENTRO DESTRA - UDC;89;;
BOGLIASCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;49;;
BOGLIASCO;VERDI EUROPEI-GREEN ITALIA;24;;
BOGLIASCO;SCELTA EUROPEA;13;;
BOGLIASCO;ITALIA DEI VALORI;12;;
BOGLIASCO;IO CAMBIO - MAIE;1;;
BORZONASCA;PARTITO DEMOCRATICO;406;;
BORZONASCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;206;;
BORZONASCA;FORZA ITALIA;188;;
BORZONASCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;101;;
BORZONASCA;NUOVO CENTRO DESTRA - UDC;71;;
BORZONASCA;L'ALTRA EUROPA CON TSIPRAS;22;;
BORZONASCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;22;;
BORZONASCA;VERDI EUROPEI-GREEN ITALIA;10;;
BORZONASCA;IO CAMBIO - MAIE;6;;
BORZONASCA;ITALIA DEI VALORI;6;;
BORZONASCA;SCELTA EUROPEA;6;;
BUSALLA;PARTITO DEMOCRATICO;1319;;
BUSALLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;892;;
BUSALLA;FORZA ITALIA;424;;
BUSALLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;222;;
