

Ente;Liste/Gruppi;Voti;
ARCIDOSSO;PARTITO DEMOCRATICO;1040;;
ARCIDOSSO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;429;;
ARCIDOSSO;FORZA ITALIA;287;;
ARCIDOSSO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;142;;
ARCIDOSSO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;95;;
ARCIDOSSO;L'ALTRA EUROPA CON TSIPRAS;94;;
ARCIDOSSO;NUOVO CENTRO DESTRA - UDC;57;;
ARCIDOSSO;VERDI EUROPEI-GREEN ITALIA;25;;
ARCIDOSSO;ITALIA DEI VALORI;17;;
ARCIDOSSO;IO CAMBIO - MAIE;5;;
ARCIDOSSO;SCELTA EUROPEA;3;;
CAMPAGNATICO;PARTITO DEMOCRATICO;540;;
CAMPAGNATICO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;192;;
CAMPAGNATICO;FORZA ITALIA;187;;
CAMPAGNATICO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;64;;
CAMPAGNATICO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;51;;
CAMPAGNATICO;L'ALTRA EUROPA CON TSIPRAS;36;;
CAMPAGNATICO;NUOVO CENTRO DESTRA - UDC;34;;
CAMPAGNATICO;SCELTA EUROPEA;6;;
CAMPAGNATICO;VERDI EUROPEI-GREEN ITALIA;5;;
CAMPAGNATICO;ITALIA DEI VALORI;4;;
CAMPAGNATICO;IO CAMBIO - MAIE;2;;
CAPALBIO;PARTITO DEMOCRATICO;1126;;
CAPALBIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;479;;
CAPALBIO;FORZA ITALIA;399;;
CAPALBIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;156;;
CAPALBIO;L'ALTRA EUROPA CON TSIPRAS;65;;
CAPALBIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;62;;
CAPALBIO;NUOVO CENTRO DESTRA - UDC;44;;
CAPALBIO;SCELTA EUROPEA;27;;
CAPALBIO;ITALIA DEI VALORI;16;;
CAPALBIO;VERDI EUROPEI-GREEN ITALIA;15;;
CAPALBIO;IO CAMBIO - MAIE;6;;
CASTEL DEL PIANO;PARTITO DEMOCRATICO;1288;;
CASTEL DEL PIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;362;;
CASTEL DEL PIANO;FORZA ITALIA;357;;
CASTEL DEL PIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;144;;
CASTEL DEL PIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;104;;
CASTEL DEL PIANO;L'ALTRA EUROPA CON TSIPRAS;76;;
CASTEL DEL PIANO;NUOVO CENTRO DESTRA - UDC;63;;
CASTEL DEL PIANO;ITALIA DEI VALORI;23;;
CASTEL DEL PIANO;VERDI EUROPEI-GREEN ITALIA;22;;
CASTEL DEL PIANO;SCELTA EUROPEA;8;;
CASTEL DEL PIANO;IO CAMBIO - MAIE;3;;
CASTELL'AZZARA;PARTITO DEMOCRATICO;483;;
CASTELL'AZZARA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;144;;
CASTELL'AZZARA;FORZA ITALIA;133;;
CASTELL'AZZARA;L'ALTRA EUROPA CON TSIPRAS;53;;
CASTELL'AZZARA;NUOVO CENTRO DESTRA - UDC;46;;
CASTELL'AZZARA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;43;;
CASTELL'AZZARA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;37;;
CASTELL'AZZARA;ITALIA DEI VALORI;12;;
CASTELL'AZZARA;VERDI EUROPEI-GREEN ITALIA;7;;
CASTELL'AZZARA;SCELTA EUROPEA;6;;
CASTELL'AZZARA;IO CAMBIO - MAIE;1;;
CASTIGLIONE DELLA PESCAIA;PARTITO DEMOCRATICO;1759;;
CASTIGLIONE DELLA PESCAIA;FORZA ITALIA;687;;
CASTIGLIONE DELLA PESCAIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;682;;
CASTIGLIONE DELLA PESCAIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;181;;
CASTIGLIONE DELLA PESCAIA;L'ALTRA EUROPA CON TSIPRAS;109;;
CASTIGLIONE DELLA PESCAIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;97;;
CASTIGLIONE DELLA PESCAIA;NUOVO CENTRO DESTRA - UDC;87;;
CASTIGLIONE DELLA PESCAIA;VERDI EUROPEI-GREEN ITALIA;18;;
CASTIGLIONE DELLA PESCAIA;SCELTA EUROPEA;15;;
CASTIGLIONE DELLA PESCAIA;ITALIA DEI VALORI;8;;
CASTIGLIONE DELLA PESCAIA;IO CAMBIO - MAIE;7;;
CINIGIANO;PARTITO DEMOCRATICO;745;;
CINIGIANO;FORZA ITALIA;248;;
CINIGIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;171;;
CINIGIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;95;;
CINIGIANO;NUOVO CENTRO DESTRA - UDC;60;;
CINIGIANO;L'ALTRA EUROPA CON TSIPRAS;56;;
CINIGIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;44;;
CINIGIANO;VERDI EUROPEI-GREEN ITALIA;8;;
CINIGIANO;SCELTA EUROPEA;3;;
CINIGIANO;ITALIA DEI VALORI;2;;
CINIGIANO;IO CAMBIO - MAIE;2;;
CIVITELLA PAGANICO;PARTITO DEMOCRATICO;894;;
CIVITELLA PAGANICO;FORZA ITALIA;268;;
CIVITELLA PAGANICO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;251;;
CIVITELLA PAGANICO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;107;;
CIVITELLA PAGANICO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;105;;
CIVITELLA PAGANICO;NUOVO CENTRO DESTRA - UDC;46;;
CIVITELLA PAGANICO;L'ALTRA EUROPA CON TSIPRAS;38;;
CIVITELLA PAGANICO;ITALIA DEI VALORI;15;;
CIVITELLA PAGANICO;SCELTA EUROPEA;11;;
CIVITELLA PAGANICO;VERDI EUROPEI-GREEN ITALIA;9;;
CIVITELLA PAGANICO;IO CAMBIO - MAIE;5;;
FOLLONICA;PARTITO DEMOCRATICO;5957;;
FOLLONICA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2355;;
FOLLONICA;FORZA ITALIA;1876;;
FOLLONICA;L'ALTRA EUROPA CON TSIPRAS;539;;
FOLLONICA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;432;;
FOLLONICA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;370;;
FOLLONICA;NUOVO CENTRO DESTRA - UDC;213;;
FOLLONICA;VERDI EUROPEI-GREEN ITALIA;104;;
FOLLONICA;SCELTA EUROPEA;66;;
FOLLONICA;ITALIA DEI VALORI;62;;
FOLLONICA;IO CAMBIO - MAIE;22;;
GAVORRANO;PARTITO DEMOCRATICO;2281;;
GAVORRANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;741;;
GAVORRANO;FORZA ITALIA;456;;
GAVORRANO;L'ALTRA EUROPA CON TSIPRAS;199;;
GAVORRANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;118;;
GAVORRANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;89;;
GAVORRANO;NUOVO CENTRO DESTRA - UDC;44;;
GAVORRANO;VERDI EUROPEI-GREEN ITALIA;29;;
GAVORRANO;ITALIA DEI VALORI;19;;
GAVORRANO;SCELTA EUROPEA;10;;
GAVORRANO;IO CAMBIO - MAIE;6;;
GROSSETO;PARTITO DEMOCRATICO;19397;;
GROSSETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7667;;
GROSSETO;FORZA ITALIA;5183;;
GROSSETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1731;;
GROSSETO;L'ALTRA EUROPA CON TSIPRAS;1398;;
GROSSETO;NUOVO CENTRO DESTRA - UDC;1093;;
GROSSETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1091;;
