

Ente;Liste/Gruppi;Voti;
ALTOPASCIO;PARTITO DEMOCRATICO;2974;;
ALTOPASCIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1345;;
ALTOPASCIO;FORZA ITALIA;1033;;
ALTOPASCIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;237;;
ALTOPASCIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;166;;
ALTOPASCIO;L'ALTRA EUROPA CON TSIPRAS;131;;
ALTOPASCIO;NUOVO CENTRO DESTRA - UDC;118;;
ALTOPASCIO;ITALIA DEI VALORI;51;;
ALTOPASCIO;VERDI EUROPEI-GREEN ITALIA;48;;
ALTOPASCIO;SCELTA EUROPEA;26;;
ALTOPASCIO;IO CAMBIO - MAIE;6;;
BAGNI DI LUCCA;PARTITO DEMOCRATICO;1195;;
BAGNI DI LUCCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;511;;
BAGNI DI LUCCA;FORZA ITALIA;492;;
BAGNI DI LUCCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;79;;
BAGNI DI LUCCA;L'ALTRA EUROPA CON TSIPRAS;77;;
BAGNI DI LUCCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;66;;
BAGNI DI LUCCA;NUOVO CENTRO DESTRA - UDC;44;;
BAGNI DI LUCCA;ITALIA DEI VALORI;16;;
BAGNI DI LUCCA;SCELTA EUROPEA;14;;
BAGNI DI LUCCA;VERDI EUROPEI-GREEN ITALIA;10;;
BAGNI DI LUCCA;IO CAMBIO - MAIE;4;;
BARGA;PARTITO DEMOCRATICO;3084;;
BARGA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1095;;
BARGA;FORZA ITALIA;691;;
BARGA;L'ALTRA EUROPA CON TSIPRAS;245;;
BARGA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;211;;
BARGA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;156;;
BARGA;NUOVO CENTRO DESTRA - UDC;105;;
BARGA;VERDI EUROPEI-GREEN ITALIA;51;;
BARGA;ITALIA DEI VALORI;42;;
BARGA;SCELTA EUROPEA;20;;
BARGA;IO CAMBIO - MAIE;9;;
BORGO A MOZZANO;PARTITO DEMOCRATICO;1913;;
BORGO A MOZZANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;822;;
BORGO A MOZZANO;FORZA ITALIA;588;;
BORGO A MOZZANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;180;;
BORGO A MOZZANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;162;;
BORGO A MOZZANO;L'ALTRA EUROPA CON TSIPRAS;147;;
BORGO A MOZZANO;NUOVO CENTRO DESTRA - UDC;78;;
BORGO A MOZZANO;SCELTA EUROPEA;42;;
BORGO A MOZZANO;VERDI EUROPEI-GREEN ITALIA;34;;
BORGO A MOZZANO;ITALIA DEI VALORI;32;;
BORGO A MOZZANO;IO CAMBIO - MAIE;14;;
CAMAIORE;PARTITO DEMOCRATICO;6430;;
CAMAIORE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2861;;
CAMAIORE;FORZA ITALIA;2407;;
CAMAIORE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;568;;
CAMAIORE;L'ALTRA EUROPA CON TSIPRAS;555;;
CAMAIORE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;507;;
CAMAIORE;NUOVO CENTRO DESTRA - UDC;354;;
CAMAIORE;VERDI EUROPEI-GREEN ITALIA;103;;
CAMAIORE;SCELTA EUROPEA;63;;
CAMAIORE;ITALIA DEI VALORI;61;;
CAMAIORE;IO CAMBIO - MAIE;31;;
CAMPORGIANO;PARTITO DEMOCRATICO;764;;
CAMPORGIANO;FORZA ITALIA;239;;
CAMPORGIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;145;;
CAMPORGIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;54;;
CAMPORGIANO;L'ALTRA EUROPA CON TSIPRAS;51;;
CAMPORGIANO;NUOVO CENTRO DESTRA - UDC;34;;
CAMPORGIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;33;;
CAMPORGIANO;VERDI EUROPEI-GREEN ITALIA;9;;
CAMPORGIANO;ITALIA DEI VALORI;6;;
CAMPORGIANO;IO CAMBIO - MAIE;5;;
CAMPORGIANO;SCELTA EUROPEA;4;;
CAPANNORI;PARTITO DEMOCRATICO;11436;;
CAPANNORI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;4673;;
CAPANNORI;FORZA ITALIA;3590;;
CAPANNORI;L'ALTRA EUROPA CON TSIPRAS;906;;
CAPANNORI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;793;;
CAPANNORI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;770;;
CAPANNORI;NUOVO CENTRO DESTRA - UDC;696;;
CAPANNORI;SCELTA EUROPEA;246;;
CAPANNORI;VERDI EUROPEI-GREEN ITALIA;238;;
CAPANNORI;ITALIA DEI VALORI;118;;
CAPANNORI;IO CAMBIO - MAIE;57;;
CAREGGINE;PARTITO DEMOCRATICO;207;;
CAREGGINE;FORZA ITALIA;83;;
CAREGGINE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;62;;
CAREGGINE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CAREGGINE;NUOVO CENTRO DESTRA - UDC;9;;
CAREGGINE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;7;;
CAREGGINE;ITALIA DEI VALORI;7;;
CAREGGINE;L'ALTRA EUROPA CON TSIPRAS;7;;
CAREGGINE;VERDI EUROPEI-GREEN ITALIA;1;;
CAREGGINE;IO CAMBIO - MAIE;1;;
CAREGGINE;SCELTA EUROPEA;0;;
CASTELNUOVO DI GARFAGNANA;PARTITO DEMOCRATICO;2020;;
CASTELNUOVO DI GARFAGNANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;595;;
CASTELNUOVO DI GARFAGNANA;FORZA ITALIA;565;;
CASTELNUOVO DI GARFAGNANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;147;;
CASTELNUOVO DI GARFAGNANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;117;;
