

Ente;Liste/Gruppi;Voti;
ALAGNA;PARTITO DEMOCRATICO;122;;
ALAGNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;110;;
ALAGNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;87;;
ALAGNA;FORZA ITALIA;81;;
ALAGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
ALAGNA;VERDI EUROPEI-GREEN ITALIA;7;;
ALAGNA;L'ALTRA EUROPA CON TSIPRAS;7;;
ALAGNA;SCELTA EUROPEA;3;;
ALAGNA;NUOVO CENTRO DESTRA - UDC;2;;
ALAGNA;IO CAMBIO - MAIE;2;;
ALAGNA;ITALIA DEI VALORI;1;;
ALBAREDO ARNABOLDI;PARTITO DEMOCRATICO;40;;
ALBAREDO ARNABOLDI;FORZA ITALIA;35;;
ALBAREDO ARNABOLDI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;15;;
ALBAREDO ARNABOLDI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
ALBAREDO ARNABOLDI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
ALBAREDO ARNABOLDI;L'ALTRA EUROPA CON TSIPRAS;4;;
ALBAREDO ARNABOLDI;NUOVO CENTRO DESTRA - UDC;2;;
ALBAREDO ARNABOLDI;ITALIA DEI VALORI;1;;
ALBAREDO ARNABOLDI;IO CAMBIO - MAIE;0;;
ALBAREDO ARNABOLDI;VERDI EUROPEI-GREEN ITALIA;0;;
ALBAREDO ARNABOLDI;SCELTA EUROPEA;0;;
ALBONESE;PARTITO DEMOCRATICO;92;;
ALBONESE;FORZA ITALIA;77;;
ALBONESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;76;;
ALBONESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;64;;
ALBONESE;NUOVO CENTRO DESTRA - UDC;12;;
ALBONESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
ALBONESE;L'ALTRA EUROPA CON TSIPRAS;10;;
ALBONESE;ITALIA DEI VALORI;7;;
ALBONESE;SCELTA EUROPEA;5;;
ALBONESE;VERDI EUROPEI-GREEN ITALIA;2;;
ALBONESE;IO CAMBIO - MAIE;1;;
ALBUZZANO;PARTITO DEMOCRATICO;615;;
ALBUZZANO;FORZA ITALIA;362;;
ALBUZZANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;346;;
ALBUZZANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;339;;
ALBUZZANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;57;;
ALBUZZANO;L'ALTRA EUROPA CON TSIPRAS;39;;
ALBUZZANO;VERDI EUROPEI-GREEN ITALIA;25;;
ALBUZZANO;NUOVO CENTRO DESTRA - UDC;22;;
ALBUZZANO;ITALIA DEI VALORI;9;;
ALBUZZANO;SCELTA EUROPEA;6;;
ALBUZZANO;IO CAMBIO - MAIE;2;;
ARENA PO;PARTITO DEMOCRATICO;264;;
ARENA PO;FORZA ITALIA;220;;
ARENA PO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;164;;
ARENA PO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;149;;
ARENA PO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;59;;
ARENA PO;L'ALTRA EUROPA CON TSIPRAS;27;;
ARENA PO;NUOVO CENTRO DESTRA - UDC;20;;
ARENA PO;VERDI EUROPEI-GREEN ITALIA;12;;
ARENA PO;ITALIA DEI VALORI;6;;
ARENA PO;IO CAMBIO - MAIE;3;;
ARENA PO;SCELTA EUROPEA;3;;
BADIA PAVESE;PARTITO DEMOCRATICO;86;;
BADIA PAVESE;FORZA ITALIA;33;;
BADIA PAVESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;31;;
BADIA PAVESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;23;;
BADIA PAVESE;L'ALTRA EUROPA CON TSIPRAS;7;;
BADIA PAVESE;NUOVO CENTRO DESTRA - UDC;5;;
BADIA PAVESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
BADIA PAVESE;VERDI EUROPEI-GREEN ITALIA;1;;
BADIA PAVESE;IO CAMBIO - MAIE;0;;
BADIA PAVESE;ITALIA DEI VALORI;0;;
BADIA PAVESE;SCELTA EUROPEA;0;;
BAGNARIA;PARTITO DEMOCRATICO;176;;
BAGNARIA;FORZA ITALIA;76;;
BAGNARIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;63;;
BAGNARIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;59;;
BAGNARIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
BAGNARIA;L'ALTRA EUROPA CON TSIPRAS;12;;
BAGNARIA;NUOVO CENTRO DESTRA - UDC;11;;
BAGNARIA;VERDI EUROPEI-GREEN ITALIA;2;;
BAGNARIA;SCELTA EUROPEA;2;;
BAGNARIA;ITALIA DEI VALORI;1;;
BAGNARIA;IO CAMBIO - MAIE;0;;
BARBIANELLO;PARTITO DEMOCRATICO;202;;
BARBIANELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;106;;
BARBIANELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;76;;
BARBIANELLO;FORZA ITALIA;67;;
BARBIANELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
BARBIANELLO;L'ALTRA EUROPA CON TSIPRAS;13;;
BARBIANELLO;NUOVO CENTRO DESTRA - UDC;8;;
BARBIANELLO;SCELTA EUROPEA;6;;
BARBIANELLO;ITALIA DEI VALORI;5;;
BARBIANELLO;VERDI EUROPEI-GREEN ITALIA;5;;
BARBIANELLO;IO CAMBIO - MAIE;1;;
BASCAPE';PARTITO DEMOCRATICO;374;;
BASCAPE';FORZA ITALIA;238;;
BASCAPE';MOVIMENTO 5 STELLE BEPPEGRILLO.IT;182;;
BASCAPE';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;137;;
BASCAPE';L'ALTRA EUROPA CON TSIPRAS;32;;
BASCAPE';NUOVO CENTRO DESTRA - UDC;24;;
BASCAPE';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;20;;
BASCAPE';VERDI EUROPEI-GREEN ITALIA;12;;
BASCAPE';SCELTA EUROPEA;10;;
BASCAPE';ITALIA DEI VALORI;5;;
BASCAPE';IO CAMBIO - MAIE;5;;
BASTIDA PANCARANA;PARTITO DEMOCRATICO;220;;
BASTIDA PANCARANA;FORZA ITALIA;96;;
BASTIDA PANCARANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;79;;
BASTIDA PANCARANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;68;;
BASTIDA PANCARANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
BASTIDA PANCARANA;L'ALTRA EUROPA CON TSIPRAS;13;;
BASTIDA PANCARANA;NUOVO CENTRO DESTRA - UDC;13;;
BASTIDA PANCARANA;ITALIA DEI VALORI;3;;
BASTIDA PANCARANA;VERDI EUROPEI-GREEN ITALIA;3;;
BASTIDA PANCARANA;SCELTA EUROPEA;2;;
BASTIDA PANCARANA;IO CAMBIO - MAIE;0;;
BATTUDA;PARTITO DEMOCRATICO;108;;
BATTUDA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;98;;
BATTUDA;FORZA ITALIA;62;;
BATTUDA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;46;;
BATTUDA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;13;;
BATTUDA;L'ALTRA EUROPA CON TSIPRAS;9;;
BATTUDA;VERDI EUROPEI-GREEN ITALIA;3;;
BATTUDA;SCELTA EUROPEA;3;;
