

Ente;Liste/Gruppi;Voti;
ALCAMO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;6146;;
ALCAMO;PARTITO DEMOCRATICO;4904;;
ALCAMO;FORZA ITALIA;3021;;
ALCAMO;NUOVO CENTRO DESTRA - UDC;1282;;
ALCAMO;L'ALTRA EUROPA CON TSIPRAS;340;;
ALCAMO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;237;;
ALCAMO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;108;;
ALCAMO;VERDI EUROPEI-GREEN ITALIA;64;;
ALCAMO;ITALIA DEI VALORI;63;;
ALCAMO;SCELTA EUROPEA;42;;
ALCAMO;IO CAMBIO - MAIE;23;;
BUSETO PALIZZOLO;PARTITO DEMOCRATICO;383;;
BUSETO PALIZZOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;215;;
BUSETO PALIZZOLO;FORZA ITALIA;124;;
BUSETO PALIZZOLO;NUOVO CENTRO DESTRA - UDC;55;;
BUSETO PALIZZOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;23;;
BUSETO PALIZZOLO;L'ALTRA EUROPA CON TSIPRAS;6;;
BUSETO PALIZZOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;5;;
BUSETO PALIZZOLO;ITALIA DEI VALORI;4;;
BUSETO PALIZZOLO;IO CAMBIO - MAIE;3;;
BUSETO PALIZZOLO;VERDI EUROPEI-GREEN ITALIA;3;;
BUSETO PALIZZOLO;SCELTA EUROPEA;1;;
CALATAFIMI SEGESTA;PARTITO DEMOCRATICO;1064;;
CALATAFIMI SEGESTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1016;;
CALATAFIMI SEGESTA;FORZA ITALIA;613;;
CALATAFIMI SEGESTA;NUOVO CENTRO DESTRA - UDC;404;;
CALATAFIMI SEGESTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;172;;
CALATAFIMI SEGESTA;L'ALTRA EUROPA CON TSIPRAS;120;;
CALATAFIMI SEGESTA;ITALIA DEI VALORI;56;;
CALATAFIMI SEGESTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;35;;
CALATAFIMI SEGESTA;SCELTA EUROPEA;19;;
CALATAFIMI SEGESTA;VERDI EUROPEI-GREEN ITALIA;15;;
CALATAFIMI SEGESTA;IO CAMBIO - MAIE;12;;
CAMPOBELLO DI MAZARA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1135;;
CAMPOBELLO DI MAZARA;PARTITO DEMOCRATICO;1086;;
CAMPOBELLO DI MAZARA;FORZA ITALIA;696;;
CAMPOBELLO DI MAZARA;NUOVO CENTRO DESTRA - UDC;388;;
CAMPOBELLO DI MAZARA;L'ALTRA EUROPA CON TSIPRAS;142;;
CAMPOBELLO DI MAZARA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;77;;
CAMPOBELLO DI MAZARA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;22;;
CAMPOBELLO DI MAZARA;ITALIA DEI VALORI;21;;
CAMPOBELLO DI MAZARA;SCELTA EUROPEA;20;;
CAMPOBELLO DI MAZARA;VERDI EUROPEI-GREEN ITALIA;8;;
CAMPOBELLO DI MAZARA;IO CAMBIO - MAIE;4;;
