

Ente;Liste/Gruppi;Voti;
ACQUARO;NUOVO CENTRO DESTRA - UDC;625;;
ACQUARO;PARTITO DEMOCRATICO;191;;
ACQUARO;FORZA ITALIA;66;;
ACQUARO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;52;;
ACQUARO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
ACQUARO;L'ALTRA EUROPA CON TSIPRAS;11;;
ACQUARO;SCELTA EUROPEA;7;;
ACQUARO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
ACQUARO;ITALIA DEI VALORI;3;;
ACQUARO;IO CAMBIO - MAIE;2;;
ACQUARO;VERDI EUROPEI-GREEN ITALIA;0;;
ARENA;PARTITO DEMOCRATICO;240;;
ARENA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;101;;
ARENA;NUOVO CENTRO DESTRA - UDC;58;;
ARENA;L'ALTRA EUROPA CON TSIPRAS;32;;
ARENA;FORZA ITALIA;29;;
ARENA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;25;;
ARENA;ITALIA DEI VALORI;4;;
ARENA;SCELTA EUROPEA;3;;
ARENA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
ARENA;IO CAMBIO - MAIE;0;;
ARENA;VERDI EUROPEI-GREEN ITALIA;0;;
BRIATICO;FORZA ITALIA;636;;
BRIATICO;PARTITO DEMOCRATICO;470;;
BRIATICO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;383;;
BRIATICO;NUOVO CENTRO DESTRA - UDC;120;;
BRIATICO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;63;;
BRIATICO;L'ALTRA EUROPA CON TSIPRAS;52;;
BRIATICO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
BRIATICO;SCELTA EUROPEA;14;;
BRIATICO;ITALIA DEI VALORI;12;;
BRIATICO;VERDI EUROPEI-GREEN ITALIA;10;;
BRIATICO;IO CAMBIO - MAIE;6;;
BROGNATURO;FORZA ITALIA;114;;
BROGNATURO;NUOVO CENTRO DESTRA - UDC;58;;
BROGNATURO;PARTITO DEMOCRATICO;57;;
BROGNATURO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;36;;
BROGNATURO;L'ALTRA EUROPA CON TSIPRAS;24;;
BROGNATURO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;5;;
BROGNATURO;ITALIA DEI VALORI;4;;
BROGNATURO;SCELTA EUROPEA;1;;
BROGNATURO;IO CAMBIO - MAIE;0;;
BROGNATURO;VERDI EUROPEI-GREEN ITALIA;0;;
BROGNATURO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
CAPISTRANO;NUOVO CENTRO DESTRA - UDC;176;;
CAPISTRANO;PARTITO DEMOCRATICO;96;;
CAPISTRANO;FORZA ITALIA;48;;
CAPISTRANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;48;;
CAPISTRANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;32;;
CAPISTRANO;L'ALTRA EUROPA CON TSIPRAS;8;;
CAPISTRANO;SCELTA EUROPEA;4;;
CAPISTRANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
CAPISTRANO;ITALIA DEI VALORI;1;;
CAPISTRANO;IO CAMBIO - MAIE;1;;
CAPISTRANO;VERDI EUROPEI-GREEN ITALIA;0;;
CESSANITI;PARTITO DEMOCRATICO;386;;
CESSANITI;FORZA ITALIA;286;;
CESSANITI;NUOVO CENTRO DESTRA - UDC;182;;
