

Ente;Liste/Gruppi;Voti;
ACQUAPENDENTE;PARTITO DEMOCRATICO;1720;;
ACQUAPENDENTE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;573;;
ACQUAPENDENTE;FORZA ITALIA;389;;
ACQUAPENDENTE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;134;;
ACQUAPENDENTE;L'ALTRA EUROPA CON TSIPRAS;64;;
ACQUAPENDENTE;NUOVO CENTRO DESTRA - UDC;61;;
ACQUAPENDENTE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;59;;
ACQUAPENDENTE;VERDI EUROPEI-GREEN ITALIA;12;;
ACQUAPENDENTE;ITALIA DEI VALORI;11;;
ACQUAPENDENTE;SCELTA EUROPEA;7;;
ACQUAPENDENTE;IO CAMBIO - MAIE;5;;
ARLENA DI CASTRO;PARTITO DEMOCRATICO;282;;
ARLENA DI CASTRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;85;;
ARLENA DI CASTRO;FORZA ITALIA;53;;
ARLENA DI CASTRO;NUOVO CENTRO DESTRA - UDC;25;;
ARLENA DI CASTRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
ARLENA DI CASTRO;L'ALTRA EUROPA CON TSIPRAS;6;;
ARLENA DI CASTRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
ARLENA DI CASTRO;VERDI EUROPEI-GREEN ITALIA;1;;
ARLENA DI CASTRO;ITALIA DEI VALORI;1;;
ARLENA DI CASTRO;IO CAMBIO - MAIE;1;;
ARLENA DI CASTRO;SCELTA EUROPEA;0;;
BAGNOREGIO;PARTITO DEMOCRATICO;897;;
BAGNOREGIO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;472;;
BAGNOREGIO;FORZA ITALIA;397;;
BAGNOREGIO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;205;;
BAGNOREGIO;NUOVO CENTRO DESTRA - UDC;125;;
BAGNOREGIO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;59;;
BAGNOREGIO;L'ALTRA EUROPA CON TSIPRAS;49;;
BAGNOREGIO;VERDI EUROPEI-GREEN ITALIA;14;;
BAGNOREGIO;ITALIA DEI VALORI;9;;
BAGNOREGIO;SCELTA EUROPEA;6;;
BAGNOREGIO;IO CAMBIO - MAIE;3;;
BARBARANO ROMANO;FORZA ITALIA;151;;
BARBARANO ROMANO;PARTITO DEMOCRATICO;151;;
BARBARANO ROMANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;88;;
BARBARANO ROMANO;NUOVO CENTRO DESTRA - UDC;58;;
BARBARANO ROMANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;54;;
BARBARANO ROMANO;L'ALTRA EUROPA CON TSIPRAS;20;;
BARBARANO ROMANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;14;;
BARBARANO ROMANO;VERDI EUROPEI-GREEN ITALIA;6;;
BARBARANO ROMANO;ITALIA DEI VALORI;2;;
BARBARANO ROMANO;SCELTA EUROPEA;0;;
BARBARANO ROMANO;IO CAMBIO - MAIE;0;;
BASSANO IN TEVERINA;PARTITO DEMOCRATICO;297;;
BASSANO IN TEVERINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;169;;
BASSANO IN TEVERINA;FORZA ITALIA;126;;
BASSANO IN TEVERINA;L'ALTRA EUROPA CON TSIPRAS;69;;
BASSANO IN TEVERINA;NUOVO CENTRO DESTRA - UDC;66;;
BASSANO IN TEVERINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;65;;
BASSANO IN TEVERINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;24;;
BASSANO IN TEVERINA;VERDI EUROPEI-GREEN ITALIA;7;;
BASSANO IN TEVERINA;ITALIA DEI VALORI;6;;
BASSANO IN TEVERINA;IO CAMBIO - MAIE;2;;
BASSANO IN TEVERINA;SCELTA EUROPEA;1;;
BASSANO ROMANO;PARTITO DEMOCRATICO;582;;
BASSANO ROMANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;576;;
BASSANO ROMANO;FORZA ITALIA;484;;
BASSANO ROMANO;L'ALTRA EUROPA CON TSIPRAS;202;;
BASSANO ROMANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;96;;
BASSANO ROMANO;NUOVO CENTRO DESTRA - UDC;84;;
BASSANO ROMANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;38;;
BASSANO ROMANO;VERDI EUROPEI-GREEN ITALIA;15;;
BASSANO ROMANO;ITALIA DEI VALORI;11;;
BASSANO ROMANO;SCELTA EUROPEA;3;;
BASSANO ROMANO;IO CAMBIO - MAIE;2;;
BLERA;PARTITO DEMOCRATICO;628;;
BLERA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;323;;
BLERA;FORZA ITALIA;279;;
BLERA;NUOVO CENTRO DESTRA - UDC;90;;
BLERA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;73;;
BLERA;L'ALTRA EUROPA CON TSIPRAS;68;;
BLERA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;37;;
BLERA;SCELTA EUROPEA;19;;
BLERA;VERDI EUROPEI-GREEN ITALIA;9;;
BLERA;ITALIA DEI VALORI;3;;
BLERA;IO CAMBIO - MAIE;1;;
BOLSENA;PARTITO DEMOCRATICO;884;;
BOLSENA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;559;;
BOLSENA;FORZA ITALIA;526;;
BOLSENA;NUOVO CENTRO DESTRA - UDC;185;;
BOLSENA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;116;;
BOLSENA;L'ALTRA EUROPA CON TSIPRAS;68;;
BOLSENA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;60;;
BOLSENA;VERDI EUROPEI-GREEN ITALIA;26;;
BOLSENA;ITALIA DEI VALORI;16;;
BOLSENA;SCELTA EUROPEA;6;;
BOLSENA;IO CAMBIO - MAIE;4;;
BOMARZO;PARTITO DEMOCRATICO;375;;
BOMARZO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;183;;
BOMARZO;FORZA ITALIA;148;;
BOMARZO;NUOVO CENTRO DESTRA - UDC;69;;
BOMARZO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;60;;
BOMARZO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;31;;
BOMARZO;L'ALTRA EUROPA CON TSIPRAS;14;;
BOMARZO;SCELTA EUROPEA;3;;
BOMARZO;VERDI EUROPEI-GREEN ITALIA;2;;
BOMARZO;ITALIA DEI VALORI;1;;
BOMARZO;IO CAMBIO - MAIE;1;;
CALCATA;FORZA ITALIA;163;;
CALCATA;PARTITO DEMOCRATICO;151;;
CALCATA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;123;;
CALCATA;NUOVO CENTRO DESTRA - UDC;47;;
CALCATA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;28;;
CALCATA;L'ALTRA EUROPA CON TSIPRAS;18;;
CALCATA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;12;;
CALCATA;SCELTA EUROPEA;7;;
CALCATA;VERDI EUROPEI-GREEN ITALIA;5;;
CALCATA;ITALIA DEI VALORI;2;;
CALCATA;IO CAMBIO - MAIE;1;;
CANEPINA;PARTITO DEMOCRATICO;875;;
CANEPINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;612;;
CANEPINA;FORZA ITALIA;291;;
CANEPINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;75;;
CANEPINA;L'ALTRA EUROPA CON TSIPRAS;32;;
CANEPINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;28;;
CANEPINA;NUOVO CENTRO DESTRA - UDC;19;;
CANEPINA;VERDI EUROPEI-GREEN ITALIA;11;;
CANEPINA;ITALIA DEI VALORI;11;;
CANEPINA;IO CAMBIO - MAIE;2;;
CANEPINA;SCELTA EUROPEA;1;;
CANINO;PARTITO DEMOCRATICO;1145;;
CANINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;539;;
CANINO;FORZA ITALIA;370;;
CANINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;109;;
CANINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;70;;
CANINO;NUOVO CENTRO DESTRA - UDC;48;;
CANINO;L'ALTRA EUROPA CON TSIPRAS;35;;
CANINO;VERDI EUROPEI-GREEN ITALIA;11;;
CANINO;ITALIA DEI VALORI;5;;
CANINO;IO CAMBIO - MAIE;2;;
CANINO;SCELTA EUROPEA;2;;
CAPODIMONTE;PARTITO DEMOCRATICO;354;;
