

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AIELLO DEL SABATO ;3384;1715;20;67;
ALTAVILLA IRPINA ;4520;2764;214;380;
ANDRETTA ;2597;1125;200;226;
AQUILONIA ;2110;929;21;50;
ARIANO IRPINO ;18948;15774;1118;1938;
ATRIPALDA ;9607;4457;49;231;
AVELLA ;6555;3157;47;180;
AVELLINO ;46423;23294;189;915;
BAGNOLI IRPINO ;3683;1377;27;67;
BAIANO ;4021;1848;29;87;
BISACCIA ;4046;2690;244;324;
BONITO ;2473;1787;130;218;
CAIRANO ;454;151;3;6;
CALABRITTO ;2813;982;37;68;
CALITRI ;4844;2216;31;166;
CANDIDA ;1134;845;85;129;
CAPOSELE ;4149;1506;17;56;
CAPRIGLIA IRPINA ;2224;1035;17;46;
CARIFE ;1775;1089;90;126;
CASALBORE ;1769;767;19;44;
CASSANO IRPINO ;1244;737;86;113;
CASTEL BARONIA ;1283;882;82;110;
CASTELFRANCI ;2296;902;8;32;
CASTELVETERE SUL CALORE ;1589;1197;111;150;
CERVINARA ;8827;4011;40;164;
CESINALI ;2129;1791;107;176;
CHIANCHE ;612;198;1;11;
CHIUSANO DI SAN DOMENICO ;2536;1696;179;265;
CONTRADA ;2833;2166;142;202;
CONZA DELLA CAMPANIA ;2033;657;8;29;
DOMICELLA ;1449;1319;154;192;
FLUMERI ;2959;1261;17;60;
FONTANAROSA ;3366;1053;9;37;
FORINO ;4593;3593;302;467;
FRIGENTO ;4149;1696;23;72;
GESUALDO ;4346;1616;18;75;
GRECI ;842;350;5;13;
GROTTAMINARDA ;7487;5789;396;593;
GROTTOLELLA ;1783;1361;98;163;
GUARDIA LOMBARDI ;2865;698;13;27;
LACEDONIA ;2620;1083;21;72;
LAPIO ;1599;598;9;46;
LAURO ;2942;1748;30;60;
LIONI ;7419;2653;39;161;
LUOGOSANO ;1125;566;7;21;
MANOCALZATI ;2890;1301;25;63;
MARZANO DI NOLA ;1392;970;15;35;
MELITO IRPINO ;2183;1442;179;251;
MERCOGLIANO ;9911;7705;406;760;
MIRABELLA ECLANO ;7113;5076;357;672;
MONTAGUTO ;457;288;34;50;
MONTECALVO IRPINO ;4038;2753;229;327;
MONTEFALCIONE ;3444;1422;19;66;
MONTEFORTE IRPINO ;9081;4534;28;238;
MONTEFREDANE ;2169;979;17;36;
MONTEFUSCO ;1502;1036;94;123;
MONTELLA ;8295;5332;461;646;
MONTEMARANO ;3396;1361;31;69;
MONTEMILETTO ;5193;3857;431;565;
MONTEVERDE ;766;293;5;10;
MONTORO ;16454;13426;849;1397;
MORRA DE SANCTIS ;1928;1029;105;141;
MOSCHIANO ;1729;1239;116;139;
MUGNANO DEL CARDINALE ;4602;2183;22;99;
NUSCO ;5602;2911;223;368;
OSPEDALETTO D'ALPINOLO ;1696;839;10;28;
PAGO DEL VALLO DI LAURO ;1451;901;6;26;
PAROLISE ;788;446;38;63;
PATERNOPOLI ;2368;1754;223;303;
PETRURO IRPINO ;324;118;2;5;
PIETRADEFUSI ;2417;936;13;31;
PIETRASTORNINA ;1432;691;7;26;
PRATA DI PRINCIPATO ULTRA ;2671;1114;12;48;
PRATOLA SERRA ;3561;1872;14;62;
QUADRELLE ;1544;744;6;25;
QUINDICI ;2006;1002;13;36;
ROCCABASCERANA ;2270;1138;20;55;
ROCCA SAN FELICE ;1046;364;11;32;
ROTONDI ;3162;1470;15;48;
SALZA IRPINA ;746;599;50;73;
SAN MANGO SUL CALORE ;1369;460;8;27;
SAN MARTINO VALLE CAUDINA ;4451;2089;18;52;
SAN MICHELE DI SERINO ;2254;1707;130;242;
SAN NICOLA BARONIA ;858;573;43;59;
SAN POTITO ULTRA ;1549;754;12;27;
SAN SOSSIO BARONIA ;2006;1313;149;172;
SANTA LUCIA DI SERINO ;1510;1012;99;151;
SANT'ANDREA DI CONZA ;2239;1235;172;205;
SANT'ANGELO ALL'ESCA ;1077;630;80;101;
SANT'ANGELO A SCALA ;685;298;1;7;
SANT'ANGELO DEI LOMBARDI ;6072;1663;23;87;
SANTA PAOLINA ;1668;853;92;115;
SANTO STEFANO DEL SOLE ;1965;900;13;45;
SAVIGNANO IRPINO ;1083;841;98;146;
SCAMPITELLA ;1463;572;4;15;
SENERCHIA ;859;415;8;21;
SERINO ;6450;2920;45;144;
SIRIGNANO ;2393;1371;14;57;
SOLOFRA ;10795;5448;56;266;
SORBO SERPICO ;536;264;2;5;
SPERONE ;3011;1525;22;58;
STURNO ;3229;2135;125;188;
SUMMONTE ;1491;650;11;59;
TAURANO ;1415;1228;189;215;
TAURASI ;2334;1787;199;277;
TEORA ;2771;653;14;29;
TORELLA DEI LOMBARDI ;2786;1551;140;234;
TORRE LE NOCELLE ;1309;620;8;20;
TORRIONI ;638;296;22;34;
TREVICO ;1026;729;63;96;
TUFO ;998;677;76;104;
VALLATA ;3115;1067;16;42;
VALLESACCARDA ;1382;1076;106;142;
VENTICANO ;2168;1794;149;220;
VILLAMAINA ;1055;524;4;12;
VILLANOVA DEL BATTISTA ;1747;1251;147;229;
VOLTURARA IRPINA ;4305;1366;37;101;
ZUNGOLI ;1498;851;104;149;
