

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACQUAFREDDA ;1153;802;6;23;
ADRO ;5518;4317;77;170;
AGNOSINE ;1672;908;8;36;
ALFIANELLO ;1957;1553;50;90;
ANFO ;365;218;2;8;
ANGOLO TERME ;2141;1695;64;109;
ARTOGNE ;2865;1644;24;84;
AZZANO MELLA ;2216;1425;8;39;
BAGNOLO MELLA ;9415;6167;43;179;
BAGOLINO ;3385;2156;75;167;
BARBARIGA ;1756;1437;49;87;
BARGHE ;910;599;12;29;
BASSANO BRESCIANO ;1612;1322;47;85;
BEDIZZOLE ;8756;6502;110;302;
BERLINGO ;1899;1211;10;40;
BERZO DEMO ;1471;1256;48;96;
BERZO INFERIORE ;1968;1128;19;52;
BIENNO ;2950;1792;14;50;
BIONE ;1156;898;39;62;
BORGO SAN GIACOMO ;3878;3122;113;203;
BORGOSATOLLO ;6879;5282;96;225;
BORNO ;2313;1279;7;45;
BOTTICINO ;8575;6450;103;273;
BOVEGNO ;1870;1066;16;57;
BOVEZZO ;5889;4534;74;172;
BRANDICO ;1172;919;15;36;
BRAONE ;524;398;22;40;
BRENO ;3999;3307;107;205;
BRESCIA ;139925;91584;482;1903;
BRIONE ;542;430;23;43;
CAINO ;1601;1247;22;71;
CALCINATO ;8550;6518;98;251;
CALVAGESE DELLA RIVIERA ;2598;2021;45;89;
CALVISANO ;6079;4874;165;293;
CAPO DI PONTE ;2100;1625;42;134;
CAPOVALLE ;377;270;14;31;
CAPRIANO DEL COLLE ;3448;2327;25;90;
CAPRIOLO ;6845;5321;87;267;
CARPENEDOLO ;8823;6827;154;309;
CASTEGNATO ;5989;4767;90;199;
CASTELCOVATI ;4247;2955;35;143;
CASTEL MELLA ;8211;5258;44;161;
CASTENEDOLO ;8318;6451;123;293;
CASTO ;1378;1095;45;101;
CASTREZZATO ;4794;3690;94;216;
CAZZAGO SAN MARTINO ;8417;5619;52;197;
CEDEGOLO ;1032;805;34;58;
CELLATICA ;3863;3024;59;114;
CERVENO ;564;395;11;27;
CETO ;1577;1310;38;68;
CEVO ;941;666;28;46;
CHIARI ;13444;10507;238;572;
CIGOLE ;1244;1006;33;56;
CIMBERGO ;510;454;20;32;
CIVIDATE CAMUNO ;2181;1846;83;142;
COCCAGLIO ;5961;4809;88;204;
COLLEBEATO ;3826;2736;20;59;
COLLIO ;1848;1229;18;85;
COLOGNE ;5390;4362;57;164;
COMEZZANO-CIZZAGO ;2597;2091;54;138;
CONCESIO ;11747;8682;142;385;
CORTE FRANCA ;5464;3613;30;127;
CORTENO GOLGI ;1816;1433;50;97;
CORZANO ;1091;864;24;58;
DARFO BOARIO TERME ;11341;6919;61;265;
DELLO ;4064;3119;61;152;
DESENZANO DEL GARDA ;21007;12608;96;312;
EDOLO ;3829;2871;73;180;
ERBUSCO ;6470;5099;97;219;
ESINE ;4207;2529;21;71;
FIESSE ;1533;1251;36;71;
FLERO ;6700;4544;21;107;
GAMBARA ;3614;2852;94;150;
GARDONE RIVIERA ;2105;1550;31;54;
GARDONE VAL TROMPIA ;8578;6559;127;231;
GARGNANO ;2395;1815;49;86;
GAVARDO ;8642;6425;126;284;
GHEDI ;13073;10230;253;592;
GIANICO ;1702;1427;37;77;
GOTTOLENGO ;3888;2450;28;87;
GUSSAGO ;12758;8802;57;235;
IDRO ;1497;1188;43;82;
INCUDINE ;369;157;1;2;
IRMA ;109;106;12;16;
ISEO ;7104;5415;101;283;
ISORELLA ;2860;1856;13;50;
LAVENONE ;465;341;12;21;
LENO ;10256;7751;191;413;
LIMONE SUL GARDA ;857;739;23;54;
LODRINO ;1321;957;15;55;
LOGRATO ;2665;2207;46;105;
LONATO DEL GARDA ;11744;7453;41;219;
LONGHENA ;504;406;6;16;
LOSINE ;490;299;3;8;
LOZIO ;384;288;17;41;
LUMEZZANE ;17650;12659;209;663;
MACLODIO ;1005;819;19;46;
MAGASA ;149;61;1;2;
MAIRANO ;2348;1968;59;116;
MALEGNO ;1663;1286;71;131;
MALONNO ;3032;1562;11;73;
MANERBA DEL GARDA ;3905;2958;71;130;
MANERBIO ;9635;6191;50;214;
MARCHENO ;3280;2627;80;165;
MARMENTINO ;580;489;29;54;
MARONE ;2592;2125;51;104;
MAZZANO ;8767;6530;127;296;
MILZANO ;1247;724;9;29;
MONIGA DEL GARDA ;1874;1139;7;25;
MONNO ;554;407;34;44;
MONTE ISOLA ;1569;1356;58;112;
MONTICELLI BRUSATI ;3505;2879;73;158;
MONTICHIARI ;17059;12878;291;611;
MONTIRONE ;3721;2973;62;122;
MURA ;666;503;29;51;
MUSCOLINE ;2039;1618;26;74;
NAVE ;8713;5689;38;194;
NIARDO ;1570;1297;64;132;
NUVOLENTO ;2923;2249;55;110;
NUVOLERA ;3403;2580;62;154;
ODOLO ;1529;755;10;32;
OFFLAGA ;3045;1819;28;76;
OME ;2514;2031;43;101;
ONO SAN PIETRO ;827;463;6;29;
ORZINUOVI ;9372;7285;205;365;
ORZIVECCHI ;1857;1538;27;71;
OSPITALETTO ;9827;6336;48;255;
OSSIMO ;1283;712;8;31;
PADENGHE SUL GARDA ;3399;2563;55;122;
PADERNO FRANCIACORTA ;2773;2243;63;140;
PAISCO LOVENO ;190;135;13;17;
PAITONE ;1583;1264;25;80;
PALAZZOLO SULL'OGLIO ;14206;9416;63;385;
PARATICO ;3461;2770;66;152;
PASPARDO ;541;327;3;19;
PASSIRANO ;5513;4140;82;211;
PAVONE DEL MELLA ;2071;1648;50;103;
PERTICA ALTA ;547;410;26;46;
PERTICA BASSA ;622;391;14;30;
PEZZAZE ;1275;1042;31;59;
PIAN CAMUNO ;3315;1945;22;85;
PIANCOGNO ;3527;2036;9;76;
PISOGNE ;6662;5174;113;263;
POLAVENO ;2046;1527;41;76;
POLPENAZZE DEL GARDA ;2098;1252;12;30;
POMPIANO ;2817;2353;61;131;
PONCARALE ;3981;2797;19;98;
PONTE DI LEGNO ;1549;875;5;31;
PONTEVICO ;5536;3984;125;272;
PONTOGLIO ;4870;3217;25;119;
POZZOLENGO ;2646;2048;56;108;
PRALBOINO ;2151;1693;42;95;
PRESEGLIE ;1239;882;38;80;
PRESTINE ;346;249;10;16;
PREVALLE ;4554;3375;55;149;
PROVAGLIO D'ISEO ;5464;4260;86;198;
PROVAGLIO VAL SABBIA ;761;464;1;21;
PUEGNAGO DEL GARDA ;2672;2050;49;91;
QUINZANO D'OGLIO ;4709;3017;33;99;
REMEDELLO ;2384;1864;45;112;
REZZATO ;9914;7457;129;288;
ROCCAFRANCA ;3249;2712;58;128;
RODENGO SAIANO ;7110;5510;128;253;
ROE' VOLCIANO ;3600;2533;52;114;
RONCADELLE ;6812;4731;33;154;
ROVATO ;12537;7577;71;297;
RUDIANO ;3875;3151;85;190;
SABBIO CHIESE ;2860;2170;68;132;
SALE MARASINO ;2847;2139;64;123;
SALO' ;8408;6212;111;225;
SAN FELICE DEL BENACO ;2710;2185;37;79;
SAN GERVASIO BRESCIANO ;1692;1362;60;102;
SAN PAOLO ;3240;2571;72;183;
SAN ZENO NAVIGLIO ;3423;2279;18;75;
SAREZZO ;9949;7283;165;393;
SAVIORE DELL'ADAMELLO ;907;760;28;65;
SELLERO ;1229;1057;46;104;
SENIGA ;1120;887;31;62;
SERLE ;2511;1393;43;83;
SIRMIONE ;5983;4522;115;246;
SOIANO DEL LAGO ;1410;903;5;23;
SONICO ;1241;948;26;71;
SULZANO ;1485;973;11;47;
TAVERNOLE SUL MELLA ;1024;869;29;66;
TEMU' ;897;758;44;71;
TIGNALE ;982;860;27;56;
TORBOLE CASAGLIA ;4655;3144;21;105;
TOSCOLANO MADERNO ;6152;3786;22;91;
TRAVAGLIATO ;10023;6306;40;227;
TREMOSINE ;1509;1270;47;89;
TRENZANO ;3974;2646;21;101;
TREVISO BRESCIANO ;469;361;18;32;
URAGO D'OGLIO ;2598;2120;48;106;
VALLIO TERME ;1173;879;23;54;
VALVESTINO ;225;169;16;22;
VEROLANUOVA ;6318;5037;87;259;
VEROLAVECCHIA ;3079;2471;59;125;
VESTONE ;3230;2401;77;175;
VEZZA D'OGLIO ;1433;1062;30;81;
VILLA CARCINA ;8192;6106;123;272;
VILLACHIARA ;1116;886;17;46;
VILLANUOVA SUL CLISI ;4279;3250;64;146;
VIONE ;722;464;28;55;
VISANO ;1435;1250;28;56;
VOBARNO ;5913;4417;100;197;
ZONE ;1007;759;32;72;
