

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALTINO ;2523;1834;221;311;
ARCHI ;2630;1367;107;185;
ARI ;1626;805;140;210;
ARIELLI ;1139;705;44;91;
ATESSA ;10705;5879;265;677;
BOMBA ;833;586;54;74;
BORRELLO ;752;263;27;49;
BUCCHIANICO ;5075;3287;239;407;
CANOSA SANNITA ;1542;921;79;153;
CARPINETO SINELLO ;763;461;72;133;
CARUNCHIO ;854;365;36;70;
CASACANDITELLA ;1344;706;31;66;
CASALANGUIDA ;868;546;32;75;
CASALBORDINO ;5891;3244;118;315;
CASALINCONTRADA ;2978;2182;146;222;
CASOLI ;5246;2864;117;288;
CASTEL FRENTANO ;4173;2829;210;395;
CASTELGUIDONE ;399;210;22;29;
CASTIGLIONE MESSER MARINO ;2342;1189;113;184;
CELENZA SUL TRIGNO ;917;573;53;75;
CHIETI ;44492;28248;697;2169;
CIVITALUPARELLA ;448;257;20;30;
CIVITELLA MESSER RAIMONDO ;827;617;63;91;
COLLEDIMACINE ;369;127;2;5;
COLLEDIMEZZO ;745;373;47;65;
CRECCHIO ;2847;2132;205;317;
CUPELLO ;3965;3223;300;518;
DOGLIOLA ;357;236;11;36;
FALLO ;222;79;7;14;
FARA FILIORUM PETRI ;2004;1404;155;226;
FARA SAN MARTINO ;1415;869;44;91;
FILETTO ;1210;663;93;147;
FOSSACESIA ;5783;3998;244;422;
FRAINE ;563;221;12;18;
FRANCAVILLA AL MARE ;21320;12997;311;791;
FRESAGRANDINARIA ;1012;716;85;130;
FRISA ;1852;947;33;84;
FURCI ;1171;518;33;68;
GAMBERALE ;587;195;5;36;
GESSOPALENA ;1561;1015;89;135;
GISSI ;3083;1993;205;368;
GIULIANO TEATINO ;1481;766;50;90;
GUARDIAGRELE ;9117;4742;142;397;
GUILMI ;828;243;17;28;
LAMA DEI PELIGNI ;1102;716;18;61;
LANCIANO ;31800;18799;494;1796;
LENTELLA ;662;435;21;42;
LETTOPALENA ;468;211;10;19;
LISCIA ;933;521;91;147;
MIGLIANICO ;4545;3105;189;341;
MONTAZZOLI ;1758;686;90;184;
MONTEBELLO SUL SANGRO ;107;69;13;14;
MONTEFERRANTE ;182;109;10;17;
MONTELAPIANO ;116;73;9;11;
MONTENERODOMO ;1031;520;68;82;
MONTEODORISIO ;2277;1692;94;170;
MOZZAGROGNA ;2089;1639;126;223;
ORSOGNA ;4505;2367;174;317;
ORTONA ;21386;11585;295;798;
PAGLIETA ;3929;2666;195;382;
PALENA ;1413;709;18;55;
PALMOLI ;969;645;122;167;
PALOMBARO ;922;689;68;102;
PENNADOMO ;351;148;6;13;
PENNAPIEDIMONTE ;600;324;28;43;
PERANO ;1424;1185;142;215;
PIETRAFERRAZZANA ;127;81;7;12;
PIZZOFERRATO ;1363;550;23;50;
POGGIOFIORITO ;1052;574;51;73;
POLLUTRI ;2195;1659;165;231;
PRETORO ;1029;677;78;103;
QUADRI ;813;501;39;102;
RAPINO ;1428;984;122;149;
RIPA TEATINA ;3908;2205;108;256;
ROCCAMONTEPIANO ;2119;989;28;62;
ROCCA SAN GIOVANNI ;2421;1231;50;100;
ROCCASCALEGNA ;1342;668;31;66;
ROCCASPINALVETI ;1857;969;199;265;
ROIO DEL SANGRO ;228;58;3;4;
ROSELLO ;551;185;21;23;
SAN BUONO ;923;718;91;129;
SAN GIOVANNI LIPIONI ;220;142;25;29;
SAN GIOVANNI TEATINO ;10873;6855;140;444;
SAN MARTINO SULLA MARRUCINA ;849;486;23;71;
SAN SALVO ;15694;10196;434;1002;
SANTA MARIA IMBARO ;1553;1234;94;156;
SANT'EUSANIO DEL SANGRO ;2410;1307;76;161;
SAN VITO CHIETINO ;4748;2636;68;185;
SCERNI ;3328;1652;70;153;
SCHIAVI DI ABRUZZO ;910;581;115;145;
TARANTA PELIGNA ;405;287;25;44;
TOLLO ;3740;2407;106;221;
TORINO DI SANGRO ;2872;1583;47;143;
TORNARECCIO ;2182;1343;170;261;
TORREBRUNA ;903;681;105;158;
TORREVECCHIA TEATINA ;3592;2871;235;364;
TORRICELLA PELIGNA ;1540;723;20;40;
TREGLIO ;1363;1050;69;126;
TUFILLO ;437;251;13;21;
VACRI ;1813;1214;160;210;
VASTO ;34582;20379;595;1475;
VILLALFONSINA ;974;691;82;113;
VILLAMAGNA ;2508;1655;159;248;
VILLA SANTA MARIA ;1422;645;24;60;
