

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARGENTA ;17920;13263;195;500;
BERRA ;4227;3052;65;178;
BONDENO ;12118;9281;249;478;
CENTO ;27394;17983;161;541;
CODIGORO ;10510;6399;60;258;
COMACCHIO ;19472;9690;77;333;
COPPARO ;14508;10430;158;435;
FERRARA ;109405;77335;904;2524;
FISCAGLIA ;7969;5886;142;358;
FORMIGNANA ;2423;1648;12;50;
GORO ;3335;1884;17;56;
IOLANDA DI SAVOIA ;2579;1935;36;95;
LAGOSANTO ;4252;3203;69;189;
MASI TORELLO ;1979;1519;39;86;
MESOLA ;6115;4312;112;245;
MIRABELLO ;2678;2031;40;104;
OSTELLATO ;5482;3906;92;220;
POGGIO RENATICO ;7566;5724;116;278;
PORTOMAGGIORE ;9499;6246;59;219;
RO ;2871;2092;48;98;
SANT'AGOSTINO ;5449;4038;96;220;
TRESIGALLO ;3767;2408;16;69;
VIGARANO MAINARDA ;6346;4282;47;157;
VOGHIERA ;3226;2476;79;139;
