

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ACCADIA ;2327;924;20;61;
ALBERONA ;1092;371;5;29;
ANZANO DI PUGLIA ;1978;465;8;21;
APRICENA ;10628;8550;437;803;
ASCOLI SATRIANO ;5113;2467;34;127;
BICCARI ;2491;2029;222;314;
BOVINO ;3196;1320;23;73;
CAGNANO VARANO ;6622;1985;29;120;
CANDELA ;2283;1362;16;82;
CARAPELLE ;4595;2071;16;67;
CARLANTINO ;1236;493;4;20;
CARPINO ;3673;1444;20;60;
CASALNUOVO MONTEROTARO ;1497;583;8;16;
CASALVECCHIO DI PUGLIA ;1656;737;21;69;
CASTELLUCCIO DEI SAURI ;1651;819;7;57;
CASTELLUCCIO VALMAGGIORE ;1341;974;126;153;
CASTELNUOVO DELLA DAUNIA ;1446;1025;81;113;
CELENZA VALFORTORE ;1765;738;14;45;
CELLE DI SAN VITO ;268;150;20;32;
CERIGNOLA ;44524;15537;109;691;
CHIEUTI ;1522;628;14;38;
DELICETO ;3306;2689;209;359;
FAETO ;855;221;5;25;
FOGGIA ;122552;88043;4102;8867;
ISCHITELLA ;3587;1453;19;59;
ISOLE TREMITI ;395;146;0;2;
LESINA ;4988;4019;270;459;
LUCERA ;27501;20895;1509;2871;
MANFREDONIA ;46250;19701;137;705;
MATTINATA ;5105;4037;304;453;
MONTELEONE DI PUGLIA ;1818;647;18;39;
MONTE SANT'ANGELO ;10720;4227;40;153;
MOTTA MONTECORVINO ;672;305;7;13;
ORDONA ;1965;953;14;45;
ORSARA DI PUGLIA ;2904;1403;24;102;
ORTA NOVA ;13271;10713;767;1210;
PANNI ;1360;498;12;38;
PESCHICI ;3924;1355;14;84;
PIETRAMONTECORVINO ;2356;1155;8;40;
POGGIO IMPERIALE ;2196;1802;96;182;
RIGNANO GARGANICO ;1678;997;11;42;
ROCCHETTA SANT'ANTONIO ;1665;757;16;36;
RODI GARGANICO ;3099;1644;19;120;
ROSETO VALFORTORE ;1617;368;8;12;
SAN GIOVANNI ROTONDO ;21460;9919;97;535;
SAN MARCO IN LAMIS ;11623;5854;73;624;
SAN MARCO LA CATOLA ;1683;416;8;32;
SAN NICANDRO GARGANICO ;13165;4770;37;221;
SAN PAOLO DI CIVITATE ;4588;1732;23;69;
SAN SEVERO ;42894;32410;1965;3512;
SANT'AGATA DI PUGLIA ;1662;1456;131;220;
SERRACAPRIOLA ;3347;1613;17;99;
STORNARA ;3739;1861;26;80;
STORNARELLA ;3741;3336;223;310;
TORREMAGGIORE ;13449;5657;35;220;
TROIA ;5965;4764;297;552;
VICO DEL GARGANO ;6521;2154;22;77;
VIESTE ;11242;4200;36;149;
VOLTURARA APPULA ;775;356;69;96;
VOLTURINO ;1458;1230;107;184;
ZAPPONETA ;2373;1242;16;52;
