

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ARENZANO ;10136;6466;41;177;
AVEGNO ;2136;1552;42;98;
BARGAGLI ;2295;1499;41;105;
BOGLIASCO ;4179;2303;11;50;
BORZONASCA ;1811;1178;73;134;
BUSALLA ;4877;3500;100;205;
CAMOGLI ;5431;2864;7;40;
CAMPO LIGURE ;2589;1837;59;115;
CAMPOMORONE ;6250;4196;77;223;
CARASCO ;2976;2082;95;186;
CASARZA LIGURE ;5647;4286;140;266;
CASELLA ;2698;1861;41;98;
CASTIGLIONE CHIAVARESE ;1585;974;42;89;
CERANESI ;3368;2049;23;93;
CHIAVARI ;24582;13147;87;378;
CICAGNA ;2080;1002;17;66;
COGOLETO ;7813;5195;46;199;
COGORNO ;5301;3386;118;251;
COREGLIA LIGURE ;281;189;4;15;
CROCEFIESCHI ;499;390;15;29;
DAVAGNA ;1701;1260;44;79;
FASCIA ;94;63;2;6;
FAVALE DI MALVARO ;642;233;2;20;
FONTANIGORDA ;245;178;5;15;
GENOVA ;489325;280047;1225;6478;
GORRETO ;108;86;11;13;
ISOLA DEL CANTONE ;1711;934;28;74;
LAVAGNA ;11142;7832;197;428;
LEIVI ;2128;1505;53;111;
LORSICA ;514;315;22;38;
LUMARZO ;1635;936;61;97;
MASONE ;3347;2413;66;140;
MELE ;2371;1725;32;85;
MEZZANEGO ;1328;942;67;117;
MIGNANEGO ;3205;2227;47;111;
MOCONESI ;2220;1554;99;198;
MONEGLIA ;2913;1915;60;121;
MONTEBRUNO ;205;167;8;13;
MONTOGGIO ;1811;990;7;31;
NE ;2296;1414;71;131;
NEIRONE ;876;567;31;57;
ORERO ;535;233;3;8;
PIEVE LIGURE ;2472;1275;6;16;
PORTOFINO ;710;217;0;4;
PROPATA ;162;68;1;6;
RAPALLO ;27883;16905;390;917;
RECCO ;9128;6130;156;310;
REZZOAGLIO ;942;685;54;81;
RONCO SCRIVIA ;3774;2216;19;80;
RONDANINA ;78;57;9;9;
ROSSIGLIONE ;2474;1655;43;99;
ROVEGNO ;477;228;3;8;
SAN COLOMBANO CERTENOLI ;2684;1066;17;48;
SANTA MARGHERITA LIGURE ;9353;6110;160;339;
SANT'OLCESE ;5005;3632;77;179;
SANTO STEFANO D'AVETO ;1065;758;48;67;
SAVIGNONE ;2769;1982;56;139;
SERRA RICCO' ;7004;4692;78;199;
SESTRI LEVANTE ;16923;9300;81;311;
SORI ;3758;2627;72;146;
TIGLIETO ;931;380;17;36;
TORRIGLIA ;2159;1089;6;38;
TRIBOGNA ;576;357;18;30;
USCIO ;2029;1567;60;113;
VALBREVENNA ;790;399;2;11;
VOBBIA ;412;199;1;6;
ZOAGLI ;3310;1235;8;33;
