

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ABBADIA LARIANA ;2658;2019;64;152;
AIRUNO ;2166;1692;43;107;
ANNONE DI BRIANZA ;1806;1464;49;93;
BALLABIO ;3034;1940;10;61;
BARZAGO ;1957;1507;33;90;
BARZANO' ;4093;2785;21;105;
BARZIO ;1068;835;46;76;
BELLANO ;3027;1674;14;67;
BOSISIO PARINI ;2747;2203;43;136;
BRIVIO ;3545;2230;23;80;
BULCIAGO ;2167;1634;43;110;
CALCO ;3928;2511;18;76;
CALOLZIOCORTE ;11169;6734;61;304;
CARENNO ;1262;950;27;75;
CASARGO ;788;575;22;65;
CASATENOVO ;10236;7583;113;344;
CASSAGO BRIANZA ;3462;2553;49;159;
CASSINA VALSASSINA ;408;289;17;26;
CASTELLO DI BRIANZA ;1941;1505;29;107;
CERNUSCO LOMBARDONE ;2860;1883;16;49;
CESANA BRIANZA ;1980;1284;8;78;
CIVATE ;3152;2404;60;168;
COLICO ;6405;3238;29;113;
COLLE BRIANZA ;1383;1097;22;72;
CORTENOVA ;1058;835;53;117;
COSTA MASNAGA ;3741;2844;95;234;
CRANDOLA VALSASSINA ;238;125;4;14;
CREMELLA ;1359;991;19;76;
CREMENO ;1194;678;5;30;
DERVIO ;2246;1702;53;117;
DOLZAGO ;1878;1494;28;88;
DORIO ;296;205;4;12;
ELLO ;1012;650;7;21;
ERVE ;616;523;33;59;
ESINO LARIO ;746;363;2;30;
GALBIATE ;6948;5200;110;256;
GARBAGNATE MONASTERO ;1908;1552;36;110;
GARLATE ;2078;1282;14;54;
IMBERSAGO ;1973;1483;27;65;
INTROBIO ;1551;1171;41;69;
INTROZZO ;120;82;9;15;
LECCO ;37596;23533;149;720;
LIERNA ;1847;1283;36;85;
LOMAGNA ;3759;2720;65;135;
MALGRATE ;3285;2445;62;113;
MANDELLO DEL LARIO ;8781;5293;43;184;
MARGNO ;327;289;19;31;
MERATE ;11580;8682;131;335;
MISSAGLIA ;6779;4369;20;121;
MOGGIO ;406;292;9;21;
MOLTENO ;2734;2089;57;121;
MONTE MARENZO ;1503;1175;28;72;
MONTEVECCHIA ;2049;1337;6;33;
MONTICELLO BRIANZA ;3346;2522;58;147;
MORTERONE ;35;28;0;0;
NIBIONNO ;2765;1693;12;80;
OGGIONO ;6769;5044;105;273;
OLGIATE MOLGORA ;4857;3126;24;149;
OLGINATE ;5494;3373;22;127;
OLIVETO LARIO ;1047;576;7;24;
OSNAGO ;3559;2638;35;109;
PADERNO D'ADDA ;2902;2152;35;117;
PAGNONA ;351;292;22;61;
PARLASCO ;133;120;5;20;
PASTURO ;1486;1190;39;94;
PEREGO ;1391;862;9;42;
PERLEDO ;866;439;4;18;
PESCATE ;1622;981;5;36;
PREMANA ;1829;1582;91;202;
PRIMALUNA ;1805;1255;47;125;
ROBBIATE ;4622;2920;16;81;
ROGENO ;2443;1894;34;95;
ROVAGNATE ;2212;1404;9;40;
SANTA MARIA HOE' ;1706;1124;16;51;
SIRONE ;1909;1502;41;104;
SIRTORI ;2276;1479;8;49;
SUEGLIO ;245;67;1;2;
SUELLO ;1392;1126;46;98;
TACENO ;396;301;17;38;
TORRE DE' BUSI ;1673;1296;36;102;
TREMENICO ;181;150;15;31;
VALGREGHENTINO ;2690;2182;74;173;
VALMADRERA ;8978;6496;109;334;
VARENNA ;740;402;6;14;
VENDROGNO ;308;227;10;32;
VERCURAGO ;2331;1723;23;102;
VERDERIO ;4406;3270;51;165;
VESTRENO ;263;188;12;28;
VIGANO' ;1653;1090;6;45;
