

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
AULLA ;9519;7104;224;453;
BAGNONE ;1733;1258;61;98;
CARRARA ;53531;27401;136;783;
CASOLA IN LUNIGIANA ;955;688;36;59;
COMANO ;889;515;45;75;
FILATTIERA ;2221;1580;68;119;
FIVIZZANO ;7775;5459;215;441;
FOSDINOVO ;4062;2650;49;123;
LICCIANA NARDI ;4276;2311;20;96;
MASSA ;57262;30616;101;805;
MONTIGNOSO ;8459;4412;28;135;
MULAZZO ;2541;1257;8;47;
PODENZANA ;1854;1452;61;112;
PONTREMOLI ;7385;3772;51;169;
TRESANA ;1889;1411;60;111;
VILLAFRANCA IN LUNIGIANA ;4054;2372;23;99;
ZERI ;1502;517;2;17;
