

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALBARETO ;2221;1231;47;113;
BARDI ;2201;1537;92;142;
BEDONIA ;3376;2190;109;254;
BERCETO ;2028;1422;65;106;
BORE ;732;557;49;78;
BORGO VAL DI TARO ;6143;3173;39;150;
BUSSETO ;5472;3174;38;125;
CALESTANO ;1597;1150;40;67;
COLLECCHIO ;11141;8208;126;334;
COLORNO ;6283;4421;91;232;
COMPIANO ;999;743;34;68;
CORNIGLIO ;1806;1312;50;82;
FELINO ;6706;5055;92;211;
FIDENZA ;20257;14695;250;683;
FONTANELLATO ;5577;3360;40;160;
FONTEVIVO ;4129;2665;12;82;
FORNOVO DI TARO ;4538;3385;91;182;
LANGHIRANO ;6986;5386;144;259;
LESIGNANO DE' BAGNI ;3788;2863;62;126;
MEDESANO ;8194;6142;185;407;
MEZZANI ;2536;1631;30;84;
MONCHIO DELLE CORTI ;962;655;30;52;
MONTECHIARUGOLO ;8442;5926;88;210;
NEVIANO DEGLI ARDUINI ;3053;1722;14;42;
NOCETO ;9990;7518;195;474;
PALANZANO ;1010;774;39;53;
PARMA ;140468;86935;432;1955;
PELLEGRINO PARMENSE ;1010;697;31;51;
POLESINE PARMENSE ;1140;848;23;57;
ROCCABIANCA ;2729;1745;41;88;
SALA BAGANZA ;4189;2673;23;66;
SALSOMAGGIORE TERME ;15294;8735;69;265;
SAN SECONDO PARMENSE ;4302;2640;23;93;
SISSA TRECASALI ;6113;4610;110;233;
SOLIGNANO ;1473;878;10;35;
SORAGNA ;4125;2381;30;94;
SORBOLO ;7381;5350;87;219;
TERENZO ;1142;780;32;57;
TIZZANO VAL PARMA ;1684;1299;26;53;
TORNOLO ;1065;713;33;57;
TORRILE ;5550;4080;83;193;
TRAVERSETOLO ;7009;4426;27;132;
VALMOZZOLA ;643;366;30;49;
VARANO DE' MELEGARI ;2120;1306;10;42;
VARSI ;1281;881;48;83;
ZIBELLO ;1578;1170;58;94;
