

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALBAREDO PER SAN MARCO ;302;181;18;27;
ALBOSAGGIA ;2760;1893;50;149;
ANDALO VALTELLINO ;470;399;21;38;
APRICA ;1356;721;2;15;
ARDENNO ;2912;1459;20;58;
BEMA ;144;89;5;7;
BERBENNO DI VALTELLINA ;3869;2779;89;211;
BIANZONE ;1263;794;20;51;
BORMIO ;3494;1708;21;70;
BUGLIO IN MONTE ;1911;1227;49;100;
CAIOLO ;903;698;35;62;
CAMPODOLCINO ;954;503;6;18;
CASPOGGIO ;1441;1042;33;89;
CASTELLO DELL'ACQUA ;634;439;34;52;
CASTIONE ANDEVENNO ;1448;960;54;103;
CEDRASCO ;423;287;16;26;
CERCINO ;650;301;4;13;
CHIAVENNA ;6697;4145;142;262;
CHIESA IN VALMALENCO ;2328;1200;14;45;
CHIURO ;2283;1481;43;94;
CINO ;402;231;3;8;
CIVO ;1139;804;49;95;
COLORINA ;1390;780;47;75;
COSIO VALTELLINO ;4561;2388;24;92;
DAZIO ;364;230;4;13;
DELEBIO ;2445;1872;83;147;
DUBINO ;2952;2034;89;172;
FAEDO VALTELLINO ;468;365;21;36;
FORCOLA ;777;528;37;64;
FUSINE ;540;383;18;25;
GEROLA ALTA ;194;79;0;1;
GORDONA ;1644;1262;48;100;
GROSIO ;4173;2506;67;178;
GROSOTTO ;1577;1057;46;89;
LANZADA ;1377;853;43;101;
LIVIGNO ;4377;2308;26;108;
LOVERO ;628;466;29;53;
MADESIMO ;571;380;19;35;
MANTELLO ;616;341;4;13;
MAZZO DI VALTELLINA ;1041;428;3;15;
MELLO ;943;414;6;20;
MENAROLA ;64;35;2;3;
MESE ;1554;1140;57;107;
MONTAGNA IN VALTELLINA ;2889;1949;41;138;
MORBEGNO ;10399;7384;222;467;
NOVATE MEZZOLA ;1676;1175;28;90;
PEDESINA ;48;31;1;2;
PIANTEDO ;1076;895;33;59;
PIATEDA ;2049;1518;36;110;
PIURO ;1882;1305;52;115;
POGGIRIDENTI ;1728;1244;29;80;
PONTE IN VALTELLINA ;2231;1504;44;108;
POSTALESIO ;582;403;13;32;
PRATA CAMPORTACCIO ;2545;1647;71;143;
RASURA ;286;155;3;9;
ROGOLO ;470;394;14;22;
SAMOLACO ;2684;1751;66;125;
SAN GIACOMO FILIPPO ;469;238;23;40;
SERNIO ;521;339;19;31;
SONDALO ;3850;2345;66;237;
SONDRIO ;18194;10039;69;321;
SPRIANA ;135;80;5;5;
TALAMONA ;4215;2308;77;166;
TARTANO ;283;189;13;15;
TEGLIO ;4414;1782;13;78;
TIRANO ;8212;5484;145;341;
TORRE DI SANTA MARIA ;855;538;23;58;
TOVO DI SANT'AGATA ;565;449;21;42;
TRAONA ;2202;1758;62;158;
TRESIVIO ;1773;1301;29;88;
VALDIDENTRO ;3418;1826;34;86;
VALDISOTTO ;2994;2199;76;206;
VALFURVA ;2282;1105;20;40;
VAL MASINO ;901;589;31;66;
VERCEIA ;1217;676;51;98;
VERVIO ;292;156;9;22;
VILLA DI CHIAVENNA ;1068;445;8;27;
VILLA DI TIRANO ;2811;1840;72;151;
