

Ente;Numero elettori;Numero votanti;Schede bianche;Schede non valide
ALBA ADRIATICA ;9417;5441;116;243;
ANCARANO ;1626;1269;85;125;
ARSITA ;831;572;70;101;
ATRI ;9577;6429;228;627;
BASCIANO ;2199;1321;57;109;
BELLANTE ;6186;4027;120;301;
BISENTI ;1875;1107;62;123;
CAMPLI ;6640;4882;356;590;
CANZANO ;1704;1315;105;173;
CASTEL CASTAGNA ;490;314;6;25;
CASTELLALTO ;6258;3972;119;328;
CASTELLI ;1280;686;37;81;
CASTIGLIONE MESSER RAIMONDO ;2004;1590;143;229;
CASTILENTI ;1285;829;27;87;
CELLINO ATTANASIO ;2308;1713;216;314;
CERMIGNANO ;1734;1232;121;197;
CIVITELLA DEL TRONTO ;4804;2797;100;213;
COLLEDARA ;2081;1612;144;212;
COLONNELLA ;3200;1802;48;112;
CONTROGUERRA ;1979;1317;37;83;
CORROPOLI ;4102;3043;292;446;
CORTINO ;606;404;19;32;
CROGNALETO ;1230;917;39;74;
FANO ADRIANO ;337;269;17;31;
GIULIANOVA ;20496;14911;797;1357;
ISOLA DEL GRAN SASSO D'ITALIA ;4383;2668;91;262;
MARTINSICURO ;12063;6623;124;318;
MONTEFINO ;968;819;94;171;
MONTORIO AL VOMANO ;7239;5434;321;563;
MORRO D'ORO ;3140;2287;158;287;
MOSCIANO SANT'ANGELO ;7768;5899;415;650;
NERETO ;3925;3058;212;305;
NOTARESCO ;5872;3803;160;388;
PENNA SANT'ANDREA ;1549;1084;94;200;
PIETRACAMELA ;405;178;2;10;
PINETO ;12127;8893;464;909;
ROCCA SANTA MARIA ;538;417;52;71;
ROSETO DEGLI ABRUZZI ;21217;13238;396;1057;
SANT'EGIDIO ALLA VIBRATA ;7752;6222;407;557;
SANT'OMERO ;4703;3389;210;329;
SILVI ;12665;9252;492;864;
TERAMO ;46114;35271;1965;3399;
TORANO NUOVO ;1396;1170;72;109;
TORRICELLA SICURA ;2504;1868;142;204;
TORTORETO ;9099;6307;298;498;
TOSSICIA ;1310;1012;112;166;
VALLE CASTELLANA ;1109;510;24;43;
