Ente,Liste/Gruppi,Voti,nomefile
ACQUAFREDDA,PARTITO DEMOCRATICO,260,BRESCIA
ACQUAFREDDA,FORZA ITALIA,165,BRESCIA
ACQUAFREDDA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,161,BRESCIA
ACQUAFREDDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,104,BRESCIA
ACQUAFREDDA,L'ALTRA EUROPA CON TSIPRAS,34,BRESCIA
ACQUAFREDDA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,22,BRESCIA
ACQUAFREDDA,NUOVO CENTRO DESTRA - UDC,19,BRESCIA
ACQUAFREDDA,ITALIA DEI VALORI,7,BRESCIA
ACQUAFREDDA,SCELTA EUROPEA,4,BRESCIA
ACQUAFREDDA,VERDI EUROPEI-GREEN ITALIA,2,BRESCIA
ACQUAFREDDA,IO CAMBIO - MAIE,1,BRESCIA
ADRO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1905,BRESCIA
ADRO,PARTITO DEMOCRATICO,901,BRESCIA
ADRO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,517,BRESCIA
ADRO,FORZA ITALIA,448,BRESCIA
ADRO,NUOVO CENTRO DESTRA - UDC,127,BRESCIA
ADRO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,71,BRESCIA
ADRO,L'ALTRA EUROPA CON TSIPRAS,70,BRESCIA
ADRO,VERDI EUROPEI-GREEN ITALIA,40,BRESCIA
ADRO,SCELTA EUROPEA,29,BRESCIA
ADRO,ITALIA DEI VALORI,28,BRESCIA
ADRO,IO CAMBIO - MAIE,11,BRESCIA
AGNOSINE,PARTITO DEMOCRATICO,295,BRESCIA
AGNOSINE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,282,BRESCIA
AGNOSINE,FORZA ITALIA,130,BRESCIA
AGNOSINE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,102,BRESCIA
AGNOSINE,NUOVO CENTRO DESTRA - UDC,21,BRESCIA
AGNOSINE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,18,BRESCIA
AGNOSINE,L'ALTRA EUROPA CON TSIPRAS,9,BRESCIA
AGNOSINE,SCELTA EUROPEA,8,BRESCIA
AGNOSINE,VERDI EUROPEI-GREEN ITALIA,5,BRESCIA
AGNOSINE,IO CAMBIO - MAIE,2,BRESCIA
AGNOSINE,ITALIA DEI VALORI,0,BRESCIA
ALFIANELLO,PARTITO DEMOCRATICO,495,BRESCIA
ALFIANELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,315,BRESCIA
ALFIANELLO,FORZA ITALIA,244,BRESCIA
ALFIANELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,238,BRESCIA
ALFIANELLO,NUOVO CENTRO DESTRA - UDC,80,BRESCIA
