Ente,Liste/Gruppi,Voti,nomefile
BRINDISI,PARTITO DEMOCRATICO,9265,BRINDISI
BRINDISI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,8446,BRINDISI
BRINDISI,FORZA ITALIA,5118,BRINDISI
BRINDISI,NUOVO CENTRO DESTRA - UDC,3746,BRINDISI
BRINDISI,L'ALTRA EUROPA CON TSIPRAS,1276,BRINDISI
BRINDISI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,815,BRINDISI
BRINDISI,VERDI EUROPEI-GREEN ITALIA,164,BRINDISI
BRINDISI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,162,BRINDISI
BRINDISI,ITALIA DEI VALORI,111,BRINDISI
BRINDISI,SCELTA EUROPEA,101,BRINDISI
BRINDISI,IO CAMBIO - MAIE,25,BRINDISI
CAROVIGNO,FORZA ITALIA,2028,BRINDISI
CAROVIGNO,PARTITO DEMOCRATICO,1362,BRINDISI
CAROVIGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1346,BRINDISI
CAROVIGNO,NUOVO CENTRO DESTRA - UDC,1047,BRINDISI
CAROVIGNO,L'ALTRA EUROPA CON TSIPRAS,158,BRINDISI
CAROVIGNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,102,BRINDISI
CAROVIGNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,40,BRINDISI
CAROVIGNO,VERDI EUROPEI-GREEN ITALIA,19,BRINDISI
CAROVIGNO,ITALIA DEI VALORI,19,BRINDISI
CAROVIGNO,SCELTA EUROPEA,10,BRINDISI
CAROVIGNO,IO CAMBIO - MAIE,7,BRINDISI
CEGLIE MESSAPICA,NUOVO CENTRO DESTRA - UDC,1964,BRINDISI
CEGLIE MESSAPICA,FORZA ITALIA,1902,BRINDISI
CEGLIE MESSAPICA,PARTITO DEMOCRATICO,1559,BRINDISI
CEGLIE MESSAPICA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1050,BRINDISI
CEGLIE MESSAPICA,L'ALTRA EUROPA CON TSIPRAS,314,BRINDISI
CEGLIE MESSAPICA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,117,BRINDISI
CEGLIE MESSAPICA,ITALIA DEI VALORI,48,BRINDISI
CEGLIE MESSAPICA,SCELTA EUROPEA,39,BRINDISI
CEGLIE MESSAPICA,VERDI EUROPEI-GREEN ITALIA,34,BRINDISI
CEGLIE MESSAPICA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,23,BRINDISI
CEGLIE MESSAPICA,IO CAMBIO - MAIE,11,BRINDISI
CELLINO SAN MARCO,PARTITO DEMOCRATICO,970,BRINDISI
CELLINO SAN MARCO,FORZA ITALIA,564,BRINDISI
CELLINO SAN MARCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,476,BRINDISI
CELLINO SAN MARCO,NUOVO CENTRO DESTRA - UDC,163,BRINDISI
CELLINO SAN MARCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,130,BRINDISI
CELLINO SAN MARCO,L'ALTRA EUROPA CON TSIPRAS,69,BRINDISI
CELLINO SAN MARCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,19,BRINDISI
CELLINO SAN MARCO,VERDI EUROPEI-GREEN ITALIA,11,BRINDISI
CELLINO SAN MARCO,ITALIA DEI VALORI,8,BRINDISI
CELLINO SAN MARCO,SCELTA EUROPEA,7,BRINDISI
CELLINO SAN MARCO,IO CAMBIO - MAIE,4,BRINDISI
CISTERNINO,PARTITO DEMOCRATICO,2000,BRINDISI
CISTERNINO,FORZA ITALIA,1363,BRINDISI
CISTERNINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,959,BRINDISI
CISTERNINO,L'ALTRA EUROPA CON TSIPRAS,283,BRINDISI
CISTERNINO,NUOVO CENTRO DESTRA - UDC,223,BRINDISI
CISTERNINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,172,BRINDISI
CISTERNINO,VERDI EUROPEI-GREEN ITALIA,49,BRINDISI
CISTERNINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,38,BRINDISI
CISTERNINO,ITALIA DEI VALORI,27,BRINDISI
CISTERNINO,SCELTA EUROPEA,26,BRINDISI
CISTERNINO,IO CAMBIO - MAIE,11,BRINDISI
ERCHIE,PARTITO DEMOCRATICO,698,BRINDISI
ERCHIE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,596,BRINDISI
ERCHIE,FORZA ITALIA,546,BRINDISI
ERCHIE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,372,BRINDISI
ERCHIE,NUOVO CENTRO DESTRA - UDC,276,BRINDISI
ERCHIE,L'ALTRA EUROPA CON TSIPRAS,119,BRINDISI
ERCHIE,ITALIA DEI VALORI,13,BRINDISI
