Ente,Liste/Gruppi,Voti,nomefile
ACQUAVIVA COLLECROCE,PARTITO DEMOCRATICO,153,CAMPOBASSO
ACQUAVIVA COLLECROCE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,97,CAMPOBASSO
ACQUAVIVA COLLECROCE,FORZA ITALIA,85,CAMPOBASSO
ACQUAVIVA COLLECROCE,NUOVO CENTRO DESTRA - UDC,19,CAMPOBASSO
ACQUAVIVA COLLECROCE,SCELTA EUROPEA,11,CAMPOBASSO
ACQUAVIVA COLLECROCE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,11,CAMPOBASSO
ACQUAVIVA COLLECROCE,ITALIA DEI VALORI,9,CAMPOBASSO
ACQUAVIVA COLLECROCE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,CAMPOBASSO
ACQUAVIVA COLLECROCE,L'ALTRA EUROPA CON TSIPRAS,4,CAMPOBASSO
ACQUAVIVA COLLECROCE,VERDI EUROPEI-GREEN ITALIA,2,CAMPOBASSO
ACQUAVIVA COLLECROCE,IO CAMBIO - MAIE,0,CAMPOBASSO
BARANELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,302,CAMPOBASSO
BARANELLO,PARTITO DEMOCRATICO,210,CAMPOBASSO
BARANELLO,FORZA ITALIA,158,CAMPOBASSO
BARANELLO,NUOVO CENTRO DESTRA - UDC,93,CAMPOBASSO
BARANELLO,ITALIA DEI VALORI,40,CAMPOBASSO
BARANELLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,25,CAMPOBASSO
BARANELLO,L'ALTRA EUROPA CON TSIPRAS,20,CAMPOBASSO
BARANELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,12,CAMPOBASSO
BARANELLO,SCELTA EUROPEA,5,CAMPOBASSO
BARANELLO,VERDI EUROPEI-GREEN ITALIA,5,CAMPOBASSO
BARANELLO,IO CAMBIO - MAIE,0,CAMPOBASSO
BOJANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,869,CAMPOBASSO
BOJANO,PARTITO DEMOCRATICO,758,CAMPOBASSO
BOJANO,FORZA ITALIA,491,CAMPOBASSO
BOJANO,NUOVO CENTRO DESTRA - UDC,176,CAMPOBASSO
BOJANO,L'ALTRA EUROPA CON TSIPRAS,144,CAMPOBASSO
BOJANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,54,CAMPOBASSO
BOJANO,ITALIA DEI VALORI,38,CAMPOBASSO
BOJANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,25,CAMPOBASSO
BOJANO,VERDI EUROPEI-GREEN ITALIA,21,CAMPOBASSO
BOJANO,SCELTA EUROPEA,15,CAMPOBASSO
BOJANO,IO CAMBIO - MAIE,7,CAMPOBASSO
BONEFRO,PARTITO DEMOCRATICO,211,CAMPOBASSO
BONEFRO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,96,CAMPOBASSO
