Ente,Liste/Gruppi,Voti,nomefile
ACQUANEGRA CREMONESE,PARTITO DEMOCRATICO,276,CREMONA
ACQUANEGRA CREMONESE,FORZA ITALIA,112,CREMONA
ACQUANEGRA CREMONESE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,105,CREMONA
ACQUANEGRA CREMONESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,86,CREMONA
ACQUANEGRA CREMONESE,NUOVO CENTRO DESTRA - UDC,31,CREMONA
ACQUANEGRA CREMONESE,L'ALTRA EUROPA CON TSIPRAS,15,CREMONA
ACQUANEGRA CREMONESE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,12,CREMONA
ACQUANEGRA CREMONESE,ITALIA DEI VALORI,9,CREMONA
ACQUANEGRA CREMONESE,VERDI EUROPEI-GREEN ITALIA,6,CREMONA
ACQUANEGRA CREMONESE,SCELTA EUROPEA,3,CREMONA
ACQUANEGRA CREMONESE,IO CAMBIO - MAIE,1,CREMONA
AGNADELLO,PARTITO DEMOCRATICO,611,CREMONA
AGNADELLO,FORZA ITALIA,474,CREMONA
AGNADELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,399,CREMONA
AGNADELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,366,CREMONA
AGNADELLO,NUOVO CENTRO DESTRA - UDC,63,CREMONA
AGNADELLO,L'ALTRA EUROPA CON TSIPRAS,41,CREMONA
AGNADELLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,38,CREMONA
AGNADELLO,VERDI EUROPEI-GREEN ITALIA,18,CREMONA
AGNADELLO,ITALIA DEI VALORI,13,CREMONA
AGNADELLO,SCELTA EUROPEA,9,CREMONA
AGNADELLO,IO CAMBIO - MAIE,5,CREMONA
ANNICCO,PARTITO DEMOCRATICO,407,CREMONA
ANNICCO,FORZA ITALIA,228,CREMONA
ANNICCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,211,CREMONA
ANNICCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,171,CREMONA
ANNICCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,32,CREMONA
ANNICCO,NUOVO CENTRO DESTRA - UDC,31,CREMONA
ANNICCO,L'ALTRA EUROPA CON TSIPRAS,15,CREMONA
ANNICCO,ITALIA DEI VALORI,12,CREMONA
ANNICCO,VERDI EUROPEI-GREEN ITALIA,11,CREMONA
ANNICCO,SCELTA EUROPEA,8,CREMONA
ANNICCO,IO CAMBIO - MAIE,3,CREMONA
AZZANELLO,PARTITO DEMOCRATICO,128,CREMONA
AZZANELLO,FORZA ITALIA,68,CREMONA
AZZANELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,50,CREMONA
AZZANELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,41,CREMONA
AZZANELLO,NUOVO CENTRO DESTRA - UDC,11,CREMONA
AZZANELLO,L'ALTRA EUROPA CON TSIPRAS,7,CREMONA
AZZANELLO,ITALIA DEI VALORI,2,CREMONA
AZZANELLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,1,CREMONA
AZZANELLO,SCELTA EUROPEA,1,CREMONA
AZZANELLO,VERDI EUROPEI-GREEN ITALIA,0,CREMONA
AZZANELLO,IO CAMBIO - MAIE,0,CREMONA
BAGNOLO CREMASCO,PARTITO DEMOCRATICO,940,CREMONA
BAGNOLO CREMASCO,FORZA ITALIA,561,CREMONA
BAGNOLO CREMASCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,532,CREMONA
BAGNOLO CREMASCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,501,CREMONA
BAGNOLO CREMASCO,NUOVO CENTRO DESTRA - UDC,130,CREMONA
BAGNOLO CREMASCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,59,CREMONA
BAGNOLO CREMASCO,L'ALTRA EUROPA CON TSIPRAS,44,CREMONA
BAGNOLO CREMASCO,ITALIA DEI VALORI,31,CREMONA
BAGNOLO CREMASCO,VERDI EUROPEI-GREEN ITALIA,26,CREMONA
BAGNOLO CREMASCO,SCELTA EUROPEA,13,CREMONA
BAGNOLO CREMASCO,IO CAMBIO - MAIE,4,CREMONA
BONEMERSE,PARTITO DEMOCRATICO,335,CREMONA
BONEMERSE,FORZA ITALIA,167,CREMONA
BONEMERSE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,133,CREMONA
