Ente,Liste/Gruppi,Voti,nomefile
AGIRA,PARTITO DEMOCRATICO,1320,ENNA
AGIRA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,559,ENNA
AGIRA,FORZA ITALIA,471,ENNA
AGIRA,NUOVO CENTRO DESTRA - UDC,230,ENNA
AGIRA,L'ALTRA EUROPA CON TSIPRAS,77,ENNA
AGIRA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,65,ENNA
AGIRA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,17,ENNA
AGIRA,VERDI EUROPEI-GREEN ITALIA,10,ENNA
AGIRA,ITALIA DEI VALORI,7,ENNA
AGIRA,IO CAMBIO - MAIE,5,ENNA
AGIRA,SCELTA EUROPEA,4,ENNA
AIDONE,PARTITO DEMOCRATICO,890,ENNA
AIDONE,FORZA ITALIA,687,ENNA
AIDONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,521,ENNA
AIDONE,NUOVO CENTRO DESTRA - UDC,211,ENNA
AIDONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,159,ENNA
AIDONE,SCELTA EUROPEA,91,ENNA
AIDONE,L'ALTRA EUROPA CON TSIPRAS,67,ENNA
AIDONE,VERDI EUROPEI-GREEN ITALIA,26,ENNA
AIDONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,19,ENNA
AIDONE,IO CAMBIO - MAIE,15,ENNA
AIDONE,ITALIA DEI VALORI,13,ENNA
ASSORO,PARTITO DEMOCRATICO,955,ENNA
ASSORO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,400,ENNA
ASSORO,NUOVO CENTRO DESTRA - UDC,274,ENNA
ASSORO,FORZA ITALIA,165,ENNA
ASSORO,L'ALTRA EUROPA CON TSIPRAS,86,ENNA
ASSORO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,24,ENNA
ASSORO,VERDI EUROPEI-GREEN ITALIA,22,ENNA
ASSORO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,ENNA
ASSORO,ITALIA DEI VALORI,5,ENNA
ASSORO,SCELTA EUROPEA,3,ENNA
ASSORO,IO CAMBIO - MAIE,1,ENNA
BARRAFRANCA,PARTITO DEMOCRATICO,1511,ENNA
BARRAFRANCA,FORZA ITALIA,1162,ENNA
BARRAFRANCA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1033,ENNA
BARRAFRANCA,NUOVO CENTRO DESTRA - UDC,185,ENNA
BARRAFRANCA,L'ALTRA EUROPA CON TSIPRAS,68,ENNA
BARRAFRANCA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,59,ENNA
BARRAFRANCA,SCELTA EUROPEA,41,ENNA
BARRAFRANCA,VERDI EUROPEI-GREEN ITALIA,11,ENNA
BARRAFRANCA,ITALIA DEI VALORI,11,ENNA
BARRAFRANCA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,11,ENNA
BARRAFRANCA,IO CAMBIO - MAIE,4,ENNA
CALASCIBETTA,PARTITO DEMOCRATICO,621,ENNA
CALASCIBETTA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,381,ENNA
CALASCIBETTA,FORZA ITALIA,239,ENNA
CALASCIBETTA,NUOVO CENTRO DESTRA - UDC,228,ENNA
CALASCIBETTA,L'ALTRA EUROPA CON TSIPRAS,73,ENNA
CALASCIBETTA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,31,ENNA
CALASCIBETTA,SCELTA EUROPEA,22,ENNA
CALASCIBETTA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,9,ENNA
CALASCIBETTA,ITALIA DEI VALORI,8,ENNA
CALASCIBETTA,VERDI EUROPEI-GREEN ITALIA,4,ENNA
CALASCIBETTA,IO CAMBIO - MAIE,1,ENNA
CATENANUOVA,PARTITO DEMOCRATICO,772,ENNA
CATENANUOVA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,443,ENNA
CATENANUOVA,FORZA ITALIA,341,ENNA
CATENANUOVA,NUOVO CENTRO DESTRA - UDC,124,ENNA
CATENANUOVA,L'ALTRA EUROPA CON TSIPRAS,31,ENNA
CATENANUOVA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,26,ENNA
CATENANUOVA,SCELTA EUROPEA,24,ENNA
CATENANUOVA,ITALIA DEI VALORI,4,ENNA
CATENANUOVA,VERDI EUROPEI-GREEN ITALIA,4,ENNA
CATENANUOVA,IO CAMBIO - MAIE,3,ENNA
CATENANUOVA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,3,ENNA
CENTURIPE,PARTITO DEMOCRATICO,1081,ENNA
CENTURIPE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,610,ENNA
CENTURIPE,NUOVO CENTRO DESTRA - UDC,244,ENNA
CENTURIPE,FORZA ITALIA,180,ENNA
CENTURIPE,L'ALTRA EUROPA CON TSIPRAS,24,ENNA
CENTURIPE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,17,ENNA
CENTURIPE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,10,ENNA
CENTURIPE,VERDI EUROPEI-GREEN ITALIA,7,ENNA
CENTURIPE,ITALIA DEI VALORI,7,ENNA
CENTURIPE,SCELTA EUROPEA,2,ENNA
CENTURIPE,IO CAMBIO - MAIE,1,ENNA
CERAMI,FORZA ITALIA,243,ENNA
CERAMI,PARTITO DEMOCRATICO,235,ENNA
CERAMI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,86,ENNA
CERAMI,NUOVO CENTRO DESTRA - UDC,48,ENNA
CERAMI,L'ALTRA EUROPA CON TSIPRAS,7,ENNA
CERAMI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,5,ENNA
CERAMI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,ENNA
CERAMI,IO CAMBIO - MAIE,2,ENNA
CERAMI,SCELTA EUROPEA,2,ENNA
CERAMI,VERDI EUROPEI-GREEN ITALIA,0,ENNA
CERAMI,ITALIA DEI VALORI,0,ENNA
ENNA,PARTITO DEMOCRATICO,4466,ENNA
ENNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2395,ENNA
ENNA,FORZA ITALIA,1365,ENNA
ENNA,L'ALTRA EUROPA CON TSIPRAS,753,ENNA
ENNA,NUOVO CENTRO DESTRA - UDC,566,ENNA
ENNA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,259,ENNA
ENNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,87,ENNA
ENNA,VERDI EUROPEI-GREEN ITALIA,68,ENNA
ENNA,ITALIA DEI VALORI,46,ENNA
ENNA,SCELTA EUROPEA,39,ENNA
ENNA,IO CAMBIO - MAIE,7,ENNA
GAGLIANO CASTELFERRATO,PARTITO DEMOCRATICO,455,ENNA
GAGLIANO CASTELFERRATO,FORZA ITALIA,340,ENNA
GAGLIANO CASTELFERRATO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,144,ENNA
GAGLIANO CASTELFERRATO,NUOVO CENTRO DESTRA - UDC,82,ENNA
GAGLIANO CASTELFERRATO,L'ALTRA EUROPA CON TSIPRAS,23,ENNA
GAGLIANO CASTELFERRATO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,20,ENNA
GAGLIANO CASTELFERRATO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,12,ENNA
GAGLIANO CASTELFERRATO,SCELTA EUROPEA,7,ENNA
GAGLIANO CASTELFERRATO,VERDI EUROPEI-GREEN ITALIA,4,ENNA
GAGLIANO CASTELFERRATO,IO CAMBIO - MAIE,2,ENNA
GAGLIANO CASTELFERRATO,ITALIA DEI VALORI,2,ENNA
LEONFORTE,PARTITO DEMOCRATICO,1726,ENNA
LEONFORTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1190,ENNA
LEONFORTE,FORZA ITALIA,477,ENNA
LEONFORTE,NUOVO CENTRO DESTRA - UDC,251,ENNA
LEONFORTE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,247,ENNA
LEONFORTE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,157,ENNA
LEONFORTE,L'ALTRA EUROPA CON TSIPRAS,93,ENNA
LEONFORTE,VERDI EUROPEI-GREEN ITALIA,21,ENNA
LEONFORTE,ITALIA DEI VALORI,12,ENNA
LEONFORTE,SCELTA EUROPEA,7,ENNA
LEONFORTE,IO CAMBIO - MAIE,3,ENNA
NICOSIA,PARTITO DEMOCRATICO,1223,ENNA
NICOSIA,FORZA ITALIA,579,ENNA
NICOSIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,572,ENNA
NICOSIA,NUOVO CENTRO DESTRA - UDC,461,ENNA
NICOSIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,86,ENNA
NICOSIA,L'ALTRA EUROPA CON TSIPRAS,66,ENNA
NICOSIA,ITALIA DEI VALORI,30,ENNA
NICOSIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,23,ENNA
NICOSIA,VERDI EUROPEI-GREEN ITALIA,7,ENNA
NICOSIA,SCELTA EUROPEA,5,ENNA
NICOSIA,IO CAMBIO - MAIE,5,ENNA
NISSORIA,PARTITO DEMOCRATICO,456,ENNA
NISSORIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,210,ENNA
NISSORIA,FORZA ITALIA,195,ENNA
NISSORIA,NUOVO CENTRO DESTRA - UDC,107,ENNA
NISSORIA,L'ALTRA EUROPA CON TSIPRAS,18,ENNA
NISSORIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,ENNA
NISSORIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,12,ENNA
NISSORIA,ITALIA DEI VALORI,6,ENNA
NISSORIA,VERDI EUROPEI-GREEN ITALIA,3,ENNA
NISSORIA,SCELTA EUROPEA,2,ENNA
NISSORIA,IO CAMBIO - MAIE,1,ENNA
PIAZZA ARMERINA,PARTITO DEMOCRATICO,2611,ENNA
PIAZZA ARMERINA,FORZA ITALIA,1299,ENNA
PIAZZA ARMERINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1286,ENNA
PIAZZA ARMERINA,NUOVO CENTRO DESTRA - UDC,535,ENNA
PIAZZA ARMERINA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,206,ENNA
PIAZZA ARMERINA,L'ALTRA EUROPA CON TSIPRAS,125,ENNA
PIAZZA ARMERINA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,51,ENNA
PIAZZA ARMERINA,VERDI EUROPEI-GREEN ITALIA,20,ENNA
PIAZZA ARMERINA,SCELTA EUROPEA,14,ENNA
PIAZZA ARMERINA,ITALIA DEI VALORI,11,ENNA
PIAZZA ARMERINA,IO CAMBIO - MAIE,6,ENNA
PIETRAPERZIA,PARTITO DEMOCRATICO,818,ENNA
PIETRAPERZIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,612,ENNA
PIETRAPERZIA,FORZA ITALIA,608,ENNA
PIETRAPERZIA,NUOVO CENTRO DESTRA - UDC,233,ENNA
PIETRAPERZIA,L'ALTRA EUROPA CON TSIPRAS,66,ENNA
PIETRAPERZIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,49,ENNA
PIETRAPERZIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,ENNA
PIETRAPERZIA,SCELTA EUROPEA,9,ENNA
PIETRAPERZIA,VERDI EUROPEI-GREEN ITALIA,8,ENNA
