Ente,Liste/Gruppi,Voti,nomefile
ARENZANO,PARTITO DEMOCRATICO,2868,GENOVA
ARENZANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1587,GENOVA
ARENZANO,FORZA ITALIA,757,GENOVA
ARENZANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,311,GENOVA
ARENZANO,L'ALTRA EUROPA CON TSIPRAS,276,GENOVA
ARENZANO,NUOVO CENTRO DESTRA - UDC,211,GENOVA
ARENZANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,168,GENOVA
ARENZANO,VERDI EUROPEI-GREEN ITALIA,41,GENOVA
ARENZANO,SCELTA EUROPEA,34,GENOVA
ARENZANO,ITALIA DEI VALORI,25,GENOVA
ARENZANO,IO CAMBIO - MAIE,11,GENOVA
AVEGNO,PARTITO DEMOCRATICO,453,GENOVA
AVEGNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,416,GENOVA
AVEGNO,FORZA ITALIA,250,GENOVA
AVEGNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,131,GENOVA
AVEGNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,62,GENOVA
AVEGNO,L'ALTRA EUROPA CON TSIPRAS,48,GENOVA
AVEGNO,NUOVO CENTRO DESTRA - UDC,45,GENOVA
AVEGNO,VERDI EUROPEI-GREEN ITALIA,17,GENOVA
AVEGNO,ITALIA DEI VALORI,14,GENOVA
AVEGNO,SCELTA EUROPEA,12,GENOVA
AVEGNO,IO CAMBIO - MAIE,6,GENOVA
BARGAGLI,PARTITO DEMOCRATICO,529,GENOVA
BARGAGLI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,525,GENOVA
BARGAGLI,FORZA ITALIA,149,GENOVA
BARGAGLI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,66,GENOVA
BARGAGLI,L'ALTRA EUROPA CON TSIPRAS,47,GENOVA
BARGAGLI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,29,GENOVA
BARGAGLI,NUOVO CENTRO DESTRA - UDC,25,GENOVA
BARGAGLI,VERDI EUROPEI-GREEN ITALIA,14,GENOVA
BARGAGLI,ITALIA DEI VALORI,8,GENOVA
BARGAGLI,SCELTA EUROPEA,2,GENOVA
BARGAGLI,IO CAMBIO - MAIE,0,GENOVA
BOGLIASCO,PARTITO DEMOCRATICO,999,GENOVA
BOGLIASCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,574,GENOVA
BOGLIASCO,FORZA ITALIA,252,GENOVA
BOGLIASCO,L'ALTRA EUROPA CON TSIPRAS,130,GENOVA
BOGLIASCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,110,GENOVA
BOGLIASCO,NUOVO CENTRO DESTRA - UDC,89,GENOVA
BOGLIASCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,49,GENOVA
BOGLIASCO,VERDI EUROPEI-GREEN ITALIA,24,GENOVA
BOGLIASCO,SCELTA EUROPEA,13,GENOVA
BOGLIASCO,ITALIA DEI VALORI,12,GENOVA
BOGLIASCO,IO CAMBIO - MAIE,1,GENOVA
BORZONASCA,PARTITO DEMOCRATICO,406,GENOVA
BORZONASCA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,206,GENOVA
BORZONASCA,FORZA ITALIA,188,GENOVA
BORZONASCA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,101,GENOVA
BORZONASCA,NUOVO CENTRO DESTRA - UDC,71,GENOVA
BORZONASCA,L'ALTRA EUROPA CON TSIPRAS,22,GENOVA
BORZONASCA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,22,GENOVA
BORZONASCA,VERDI EUROPEI-GREEN ITALIA,10,GENOVA
BORZONASCA,IO CAMBIO - MAIE,6,GENOVA
BORZONASCA,ITALIA DEI VALORI,6,GENOVA
BORZONASCA,SCELTA EUROPEA,6,GENOVA
BUSALLA,PARTITO DEMOCRATICO,1319,GENOVA
BUSALLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,892,GENOVA
BUSALLA,FORZA ITALIA,424,GENOVA
BUSALLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,222,GENOVA
BUSALLA,L'ALTRA EUROPA CON TSIPRAS,137,GENOVA
BUSALLA,NUOVO CENTRO DESTRA - UDC,104,GENOVA
BUSALLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,88,GENOVA
BUSALLA,VERDI EUROPEI-GREEN ITALIA,39,GENOVA
BUSALLA,ITALIA DEI VALORI,37,GENOVA
BUSALLA,SCELTA EUROPEA,27,GENOVA
BUSALLA,IO CAMBIO - MAIE,6,GENOVA
CAMOGLI,PARTITO DEMOCRATICO,1222,GENOVA
CAMOGLI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,589,GENOVA
CAMOGLI,FORZA ITALIA,389,GENOVA
CAMOGLI,L'ALTRA EUROPA CON TSIPRAS,206,GENOVA
CAMOGLI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,127,GENOVA
CAMOGLI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,124,GENOVA
CAMOGLI,NUOVO CENTRO DESTRA - UDC,113,GENOVA
CAMOGLI,VERDI EUROPEI-GREEN ITALIA,25,GENOVA
CAMOGLI,SCELTA EUROPEA,18,GENOVA
CAMOGLI,ITALIA DEI VALORI,7,GENOVA
CAMOGLI,IO CAMBIO - MAIE,4,GENOVA
CAMPO LIGURE,PARTITO DEMOCRATICO,874,GENOVA
CAMPO LIGURE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,395,GENOVA
CAMPO LIGURE,FORZA ITALIA,137,GENOVA
CAMPO LIGURE,L'ALTRA EUROPA CON TSIPRAS,95,GENOVA
CAMPO LIGURE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,84,GENOVA
CAMPO LIGURE,NUOVO CENTRO DESTRA - UDC,65,GENOVA
CAMPO LIGURE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,48,GENOVA
CAMPO LIGURE,ITALIA DEI VALORI,10,GENOVA
CAMPO LIGURE,VERDI EUROPEI-GREEN ITALIA,7,GENOVA
CAMPO LIGURE,SCELTA EUROPEA,5,GENOVA
CAMPO LIGURE,IO CAMBIO - MAIE,2,GENOVA
CAMPOMORONE,PARTITO DEMOCRATICO,1931,GENOVA
CAMPOMORONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1033,GENOVA
CAMPOMORONE,FORZA ITALIA,373,GENOVA
CAMPOMORONE,L'ALTRA EUROPA CON TSIPRAS,200,GENOVA
CAMPOMORONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,192,GENOVA
CAMPOMORONE,NUOVO CENTRO DESTRA - UDC,107,GENOVA
CAMPOMORONE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,54,GENOVA
CAMPOMORONE,VERDI EUROPEI-GREEN ITALIA,30,GENOVA
CAMPOMORONE,SCELTA EUROPEA,25,GENOVA
CAMPOMORONE,ITALIA DEI VALORI,22,GENOVA
CAMPOMORONE,IO CAMBIO - MAIE,6,GENOVA
CARASCO,PARTITO DEMOCRATICO,617,GENOVA
CARASCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,510,GENOVA
CARASCO,FORZA ITALIA,323,GENOVA
CARASCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,182,GENOVA
CARASCO,NUOVO CENTRO DESTRA - UDC,135,GENOVA
CARASCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,48,GENOVA
CARASCO,L'ALTRA EUROPA CON TSIPRAS,40,GENOVA
CARASCO,ITALIA DEI VALORI,17,GENOVA
CARASCO,VERDI EUROPEI-GREEN ITALIA,11,GENOVA
CARASCO,SCELTA EUROPEA,8,GENOVA
CARASCO,IO CAMBIO - MAIE,5,GENOVA
CASARZA LIGURE,PARTITO DEMOCRATICO,1473,GENOVA
CASARZA LIGURE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1098,GENOVA
CASARZA LIGURE,FORZA ITALIA,641,GENOVA
CASARZA LIGURE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,275,GENOVA
CASARZA LIGURE,L'ALTRA EUROPA CON TSIPRAS,187,GENOVA
CASARZA LIGURE,NUOVO CENTRO DESTRA - UDC,158,GENOVA
CASARZA LIGURE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,105,GENOVA
CASARZA LIGURE,VERDI EUROPEI-GREEN ITALIA,38,GENOVA
CASARZA LIGURE,ITALIA DEI VALORI,20,GENOVA
CASARZA LIGURE,SCELTA EUROPEA,17,GENOVA
CASARZA LIGURE,IO CAMBIO - MAIE,8,GENOVA
CASELLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,640,GENOVA
CASELLA,PARTITO DEMOCRATICO,609,GENOVA
CASELLA,FORZA ITALIA,238,GENOVA
CASELLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,100,GENOVA
CASELLA,L'ALTRA EUROPA CON TSIPRAS,67,GENOVA
CASELLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,37,GENOVA
CASELLA,NUOVO CENTRO DESTRA - UDC,29,GENOVA
CASELLA,SCELTA EUROPEA,16,GENOVA
CASELLA,ITALIA DEI VALORI,14,GENOVA
CASELLA,VERDI EUROPEI-GREEN ITALIA,12,GENOVA
CASELLA,IO CAMBIO - MAIE,1,GENOVA
CASTIGLIONE CHIAVARESE,PARTITO DEMOCRATICO,364,GENOVA
CASTIGLIONE CHIAVARESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,213,GENOVA
CASTIGLIONE CHIAVARESE,FORZA ITALIA,115,GENOVA
CASTIGLIONE CHIAVARESE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,64,GENOVA
CASTIGLIONE CHIAVARESE,NUOVO CENTRO DESTRA - UDC,47,GENOVA
CASTIGLIONE CHIAVARESE,L'ALTRA EUROPA CON TSIPRAS,34,GENOVA
CASTIGLIONE CHIAVARESE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,19,GENOVA
CASTIGLIONE CHIAVARESE,VERDI EUROPEI-GREEN ITALIA,14,GENOVA
CASTIGLIONE CHIAVARESE,ITALIA DEI VALORI,10,GENOVA
CASTIGLIONE CHIAVARESE,SCELTA EUROPEA,3,GENOVA
CASTIGLIONE CHIAVARESE,IO CAMBIO - MAIE,2,GENOVA
CERANESI,PARTITO DEMOCRATICO,885,GENOVA
CERANESI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,645,GENOVA
CERANESI,FORZA ITALIA,158,GENOVA
CERANESI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,92,GENOVA
CERANESI,L'ALTRA EUROPA CON TSIPRAS,62,GENOVA
CERANESI,NUOVO CENTRO DESTRA - UDC,49,GENOVA
CERANESI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,27,GENOVA
CERANESI,VERDI EUROPEI-GREEN ITALIA,16,GENOVA
CERANESI,ITALIA DEI VALORI,13,GENOVA
CERANESI,SCELTA EUROPEA,6,GENOVA
CERANESI,IO CAMBIO - MAIE,3,GENOVA
