Ente,Liste/Gruppi,Voti,nomefile
ABBADIA CERRETO,PARTITO DEMOCRATICO,63,LODI
ABBADIA CERRETO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,47,LODI
ABBADIA CERRETO,FORZA ITALIA,30,LODI
ABBADIA CERRETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,19,LODI
ABBADIA CERRETO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,13,LODI
ABBADIA CERRETO,L'ALTRA EUROPA CON TSIPRAS,3,LODI
ABBADIA CERRETO,IO CAMBIO - MAIE,1,LODI
ABBADIA CERRETO,ITALIA DEI VALORI,1,LODI
ABBADIA CERRETO,NUOVO CENTRO DESTRA - UDC,1,LODI
ABBADIA CERRETO,VERDI EUROPEI-GREEN ITALIA,0,LODI
ABBADIA CERRETO,SCELTA EUROPEA,0,LODI
BERTONICO,PARTITO DEMOCRATICO,338,LODI
BERTONICO,FORZA ITALIA,98,LODI
BERTONICO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,88,LODI
BERTONICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,81,LODI
BERTONICO,NUOVO CENTRO DESTRA - UDC,20,LODI
BERTONICO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,14,LODI
BERTONICO,L'ALTRA EUROPA CON TSIPRAS,8,LODI
BERTONICO,ITALIA DEI VALORI,5,LODI
BERTONICO,VERDI EUROPEI-GREEN ITALIA,2,LODI
BERTONICO,SCELTA EUROPEA,2,LODI
BERTONICO,IO CAMBIO - MAIE,1,LODI
BOFFALORA D'ADDA,PARTITO DEMOCRATICO,356,LODI
BOFFALORA D'ADDA,FORZA ITALIA,179,LODI
BOFFALORA D'ADDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,166,LODI
BOFFALORA D'ADDA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,122,LODI
BOFFALORA D'ADDA,L'ALTRA EUROPA CON TSIPRAS,34,LODI
BOFFALORA D'ADDA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,22,LODI
BOFFALORA D'ADDA,NUOVO CENTRO DESTRA - UDC,21,LODI
BOFFALORA D'ADDA,VERDI EUROPEI-GREEN ITALIA,9,LODI
BOFFALORA D'ADDA,ITALIA DEI VALORI,8,LODI
BOFFALORA D'ADDA,IO CAMBIO - MAIE,4,LODI
BOFFALORA D'ADDA,SCELTA EUROPEA,0,LODI
BORGHETTO LODIGIANO,PARTITO DEMOCRATICO,759,LODI
BORGHETTO LODIGIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,614,LODI
BORGHETTO LODIGIANO,FORZA ITALIA,450,LODI
BORGHETTO LODIGIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,316,LODI
BORGHETTO LODIGIANO,L'ALTRA EUROPA CON TSIPRAS,95,LODI
BORGHETTO LODIGIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,62,LODI
BORGHETTO LODIGIANO,NUOVO CENTRO DESTRA - UDC,51,LODI
BORGHETTO LODIGIANO,VERDI EUROPEI-GREEN ITALIA,23,LODI
BORGHETTO LODIGIANO,ITALIA DEI VALORI,13,LODI
BORGHETTO LODIGIANO,SCELTA EUROPEA,5,LODI
BORGHETTO LODIGIANO,IO CAMBIO - MAIE,1,LODI
BORGO SAN GIOVANNI,PARTITO DEMOCRATICO,323,LODI
BORGO SAN GIOVANNI,FORZA ITALIA,217,LODI
BORGO SAN GIOVANNI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,179,LODI
BORGO SAN GIOVANNI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,120,LODI
BORGO SAN GIOVANNI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,46,LODI
BORGO SAN GIOVANNI,L'ALTRA EUROPA CON TSIPRAS,35,LODI
BORGO SAN GIOVANNI,NUOVO CENTRO DESTRA - UDC,12,LODI
BORGO SAN GIOVANNI,ITALIA DEI VALORI,10,LODI
BORGO SAN GIOVANNI,SCELTA EUROPEA,7,LODI
BORGO SAN GIOVANNI,VERDI EUROPEI-GREEN ITALIA,4,LODI
BORGO SAN GIOVANNI,IO CAMBIO - MAIE,3,LODI
BREMBIO,PARTITO DEMOCRATICO,665,LODI
BREMBIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,217,LODI
BREMBIO,FORZA ITALIA,203,LODI
BREMBIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,141,LODI
BREMBIO,L'ALTRA EUROPA CON TSIPRAS,60,LODI
BREMBIO,NUOVO CENTRO DESTRA - UDC,47,LODI
BREMBIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,40,LODI
BREMBIO,VERDI EUROPEI-GREEN ITALIA,14,LODI
BREMBIO,IO CAMBIO - MAIE,5,LODI
BREMBIO,ITALIA DEI VALORI,5,LODI
BREMBIO,SCELTA EUROPEA,5,LODI
CAMAIRAGO,PARTITO DEMOCRATICO,114,LODI
CAMAIRAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,87,LODI
CAMAIRAGO,FORZA ITALIA,79,LODI
CAMAIRAGO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,66,LODI
CAMAIRAGO,L'ALTRA EUROPA CON TSIPRAS,11,LODI
CAMAIRAGO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,7,LODI
CAMAIRAGO,NUOVO CENTRO DESTRA - UDC,5,LODI
CAMAIRAGO,VERDI EUROPEI-GREEN ITALIA,3,LODI
CAMAIRAGO,SCELTA EUROPEA,2,LODI
CAMAIRAGO,ITALIA DEI VALORI,1,LODI
CAMAIRAGO,IO CAMBIO - MAIE,0,LODI
CASALETTO LODIGIANO,PARTITO DEMOCRATICO,529,LODI
CASALETTO LODIGIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,340,LODI
CASALETTO LODIGIANO,FORZA ITALIA,300,LODI
CASALETTO LODIGIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,181,LODI
CASALETTO LODIGIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,37,LODI
CASALETTO LODIGIANO,NUOVO CENTRO DESTRA - UDC,31,LODI
CASALETTO LODIGIANO,L'ALTRA EUROPA CON TSIPRAS,28,LODI
CASALETTO LODIGIANO,VERDI EUROPEI-GREEN ITALIA,24,LODI
CASALETTO LODIGIANO,ITALIA DEI VALORI,13,LODI
CASALETTO LODIGIANO,SCELTA EUROPEA,8,LODI
CASALETTO LODIGIANO,IO CAMBIO - MAIE,6,LODI
CASALMAIOCCO,PARTITO DEMOCRATICO,646,LODI
CASALMAIOCCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,347,LODI
CASALMAIOCCO,FORZA ITALIA,265,LODI
CASALMAIOCCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,187,LODI
CASALMAIOCCO,NUOVO CENTRO DESTRA - UDC,65,LODI
CASALMAIOCCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,60,LODI
CASALMAIOCCO,L'ALTRA EUROPA CON TSIPRAS,54,LODI
CASALMAIOCCO,VERDI EUROPEI-GREEN ITALIA,23,LODI
CASALMAIOCCO,ITALIA DEI VALORI,20,LODI
CASALMAIOCCO,SCELTA EUROPEA,9,LODI
CASALMAIOCCO,IO CAMBIO - MAIE,3,LODI
CASALPUSTERLENGO,PARTITO DEMOCRATICO,3360,LODI
CASALPUSTERLENGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1226,LODI
CASALPUSTERLENGO,FORZA ITALIA,1156,LODI
CASALPUSTERLENGO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1154,LODI
CASALPUSTERLENGO,NUOVO CENTRO DESTRA - UDC,268,LODI
CASALPUSTERLENGO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,240,LODI
CASALPUSTERLENGO,L'ALTRA EUROPA CON TSIPRAS,238,LODI
CASALPUSTERLENGO,VERDI EUROPEI-GREEN ITALIA,74,LODI
CASALPUSTERLENGO,ITALIA DEI VALORI,69,LODI
CASALPUSTERLENGO,SCELTA EUROPEA,58,LODI
CASALPUSTERLENGO,IO CAMBIO - MAIE,17,LODI
CASELLE LANDI,PARTITO DEMOCRATICO,294,LODI
CASELLE LANDI,FORZA ITALIA,188,LODI
CASELLE LANDI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,168,LODI
CASELLE LANDI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,145,LODI
CASELLE LANDI,NUOVO CENTRO DESTRA - UDC,40,LODI
CASELLE LANDI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,34,LODI
CASELLE LANDI,ITALIA DEI VALORI,12,LODI
CASELLE LANDI,L'ALTRA EUROPA CON TSIPRAS,6,LODI
CASELLE LANDI,VERDI EUROPEI-GREEN ITALIA,5,LODI
CASELLE LANDI,SCELTA EUROPEA,3,LODI
CASELLE LANDI,IO CAMBIO - MAIE,1,LODI
CASELLE LURANI,PARTITO DEMOCRATICO,469,LODI
CASELLE LURANI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,331,LODI
CASELLE LURANI,FORZA ITALIA,276,LODI
CASELLE LURANI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,195,LODI
CASELLE LURANI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,40,LODI
CASELLE LURANI,L'ALTRA EUROPA CON TSIPRAS,28,LODI
CASELLE LURANI,NUOVO CENTRO DESTRA - UDC,19,LODI
CASELLE LURANI,ITALIA DEI VALORI,14,LODI
CASELLE LURANI,VERDI EUROPEI-GREEN ITALIA,11,LODI
CASELLE LURANI,SCELTA EUROPEA,6,LODI
CASELLE LURANI,IO CAMBIO - MAIE,1,LODI
CASTELNUOVO BOCCA D'ADDA,PARTITO DEMOCRATICO,351,LODI
CASTELNUOVO BOCCA D'ADDA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,169,LODI
CASTELNUOVO BOCCA D'ADDA,FORZA ITALIA,168,LODI
CASTELNUOVO BOCCA D'ADDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,166,LODI
CASTELNUOVO BOCCA D'ADDA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,24,LODI
CASTELNUOVO BOCCA D'ADDA,NUOVO CENTRO DESTRA - UDC,15,LODI
CASTELNUOVO BOCCA D'ADDA,L'ALTRA EUROPA CON TSIPRAS,13,LODI
CASTELNUOVO BOCCA D'ADDA,ITALIA DEI VALORI,10,LODI
CASTELNUOVO BOCCA D'ADDA,SCELTA EUROPEA,5,LODI
CASTELNUOVO BOCCA D'ADDA,VERDI EUROPEI-GREEN ITALIA,4,LODI
CASTELNUOVO BOCCA D'ADDA,IO CAMBIO - MAIE,1,LODI
CASTIGLIONE D'ADDA,PARTITO DEMOCRATICO,992,LODI
CASTIGLIONE D'ADDA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,373,LODI
CASTIGLIONE D'ADDA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,343,LODI
CASTIGLIONE D'ADDA,FORZA ITALIA,306,LODI
CASTIGLIONE D'ADDA,NUOVO CENTRO DESTRA - UDC,70,LODI
CASTIGLIONE D'ADDA,L'ALTRA EUROPA CON TSIPRAS,50,LODI
CASTIGLIONE D'ADDA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,31,LODI
CASTIGLIONE D'ADDA,ITALIA DEI VALORI,29,LODI
CASTIGLIONE D'ADDA,VERDI EUROPEI-GREEN ITALIA,22,LODI
