Ente,Liste/Gruppi,Voti,nomefile
ACQUANEGRA SUL CHIESE,PARTITO DEMOCRATICO,621,MANTOVA
ACQUANEGRA SUL CHIESE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,235,MANTOVA
ACQUANEGRA SUL CHIESE,FORZA ITALIA,232,MANTOVA
ACQUANEGRA SUL CHIESE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,169,MANTOVA
ACQUANEGRA SUL CHIESE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,25,MANTOVA
ACQUANEGRA SUL CHIESE,NUOVO CENTRO DESTRA - UDC,20,MANTOVA
ACQUANEGRA SUL CHIESE,L'ALTRA EUROPA CON TSIPRAS,13,MANTOVA
ACQUANEGRA SUL CHIESE,SCELTA EUROPEA,7,MANTOVA
ACQUANEGRA SUL CHIESE,ITALIA DEI VALORI,6,MANTOVA
ACQUANEGRA SUL CHIESE,VERDI EUROPEI-GREEN ITALIA,5,MANTOVA
ACQUANEGRA SUL CHIESE,IO CAMBIO - MAIE,1,MANTOVA
ASOLA,PARTITO DEMOCRATICO,2020,MANTOVA
ASOLA,FORZA ITALIA,948,MANTOVA
ASOLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,797,MANTOVA
ASOLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,719,MANTOVA
ASOLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,174,MANTOVA
ASOLA,NUOVO CENTRO DESTRA - UDC,138,MANTOVA
ASOLA,L'ALTRA EUROPA CON TSIPRAS,77,MANTOVA
ASOLA,ITALIA DEI VALORI,43,MANTOVA
ASOLA,VERDI EUROPEI-GREEN ITALIA,40,MANTOVA
ASOLA,SCELTA EUROPEA,37,MANTOVA
ASOLA,IO CAMBIO - MAIE,12,MANTOVA
BAGNOLO SAN VITO,PARTITO DEMOCRATICO,1390,MANTOVA
BAGNOLO SAN VITO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,614,MANTOVA
BAGNOLO SAN VITO,FORZA ITALIA,508,MANTOVA
BAGNOLO SAN VITO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,355,MANTOVA
BAGNOLO SAN VITO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,137,MANTOVA
BAGNOLO SAN VITO,L'ALTRA EUROPA CON TSIPRAS,119,MANTOVA
BAGNOLO SAN VITO,NUOVO CENTRO DESTRA - UDC,90,MANTOVA
BAGNOLO SAN VITO,ITALIA DEI VALORI,44,MANTOVA
BAGNOLO SAN VITO,VERDI EUROPEI-GREEN ITALIA,31,MANTOVA
BAGNOLO SAN VITO,IO CAMBIO - MAIE,13,MANTOVA
BAGNOLO SAN VITO,SCELTA EUROPEA,11,MANTOVA
BIGARELLO,PARTITO DEMOCRATICO,519,MANTOVA
BIGARELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,295,MANTOVA
BIGARELLO,FORZA ITALIA,163,MANTOVA
BIGARELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,144,MANTOVA
BIGARELLO,NUOVO CENTRO DESTRA - UDC,39,MANTOVA
BIGARELLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,33,MANTOVA
BIGARELLO,VERDI EUROPEI-GREEN ITALIA,14,MANTOVA
BIGARELLO,ITALIA DEI VALORI,7,MANTOVA
BIGARELLO,L'ALTRA EUROPA CON TSIPRAS,7,MANTOVA
BIGARELLO,SCELTA EUROPEA,6,MANTOVA
BIGARELLO,IO CAMBIO - MAIE,3,MANTOVA
BORGOFRANCO SUL PO,PARTITO DEMOCRATICO,200,MANTOVA
BORGOFRANCO SUL PO,FORZA ITALIA,54,MANTOVA
BORGOFRANCO SUL PO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,53,MANTOVA
BORGOFRANCO SUL PO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,49,MANTOVA
BORGOFRANCO SUL PO,NUOVO CENTRO DESTRA - UDC,17,MANTOVA
BORGOFRANCO SUL PO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,7,MANTOVA
BORGOFRANCO SUL PO,L'ALTRA EUROPA CON TSIPRAS,6,MANTOVA
BORGOFRANCO SUL PO,VERDI EUROPEI-GREEN ITALIA,4,MANTOVA
BORGOFRANCO SUL PO,SCELTA EUROPEA,4,MANTOVA
BORGOFRANCO SUL PO,ITALIA DEI VALORI,2,MANTOVA
BORGOFRANCO SUL PO,IO CAMBIO - MAIE,0,MANTOVA
BORGO VIRGILIO,PARTITO DEMOCRATICO,3534,MANTOVA
BORGO VIRGILIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1414,MANTOVA
BORGO VIRGILIO,FORZA ITALIA,996,MANTOVA
BORGO VIRGILIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,614,MANTOVA
BORGO VIRGILIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,264,MANTOVA
BORGO VIRGILIO,NUOVO CENTRO DESTRA - UDC,212,MANTOVA
BORGO VIRGILIO,L'ALTRA EUROPA CON TSIPRAS,205,MANTOVA
BORGO VIRGILIO,VERDI EUROPEI-GREEN ITALIA,69,MANTOVA
BORGO VIRGILIO,ITALIA DEI VALORI,46,MANTOVA
BORGO VIRGILIO,SCELTA EUROPEA,37,MANTOVA
BORGO VIRGILIO,IO CAMBIO - MAIE,11,MANTOVA
BOZZOLO,PARTITO DEMOCRATICO,961,MANTOVA
BOZZOLO,FORZA ITALIA,388,MANTOVA
BOZZOLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,377,MANTOVA
