Ente,Liste/Gruppi,Voti,nomefile
ARBUS,PARTITO DEMOCRATICO,921,MEDIO CAMPIDANO
ARBUS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,432,MEDIO CAMPIDANO
ARBUS,FORZA ITALIA,357,MEDIO CAMPIDANO
ARBUS,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,129,MEDIO CAMPIDANO
ARBUS,L'ALTRA EUROPA CON TSIPRAS,111,MEDIO CAMPIDANO
ARBUS,NUOVO CENTRO DESTRA - UDC,18,MEDIO CAMPIDANO
ARBUS,VERDI EUROPEI-GREEN ITALIA,13,MEDIO CAMPIDANO
ARBUS,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,13,MEDIO CAMPIDANO
ARBUS,ITALIA DEI VALORI,12,MEDIO CAMPIDANO
ARBUS,SCELTA EUROPEA,9,MEDIO CAMPIDANO
ARBUS,IO CAMBIO - MAIE,4,MEDIO CAMPIDANO
BARUMINI,PARTITO DEMOCRATICO,183,MEDIO CAMPIDANO
BARUMINI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,82,MEDIO CAMPIDANO
BARUMINI,FORZA ITALIA,70,MEDIO CAMPIDANO
BARUMINI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,11,MEDIO CAMPIDANO
BARUMINI,L'ALTRA EUROPA CON TSIPRAS,9,MEDIO CAMPIDANO
BARUMINI,NUOVO CENTRO DESTRA - UDC,4,MEDIO CAMPIDANO
BARUMINI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,4,MEDIO CAMPIDANO
BARUMINI,ITALIA DEI VALORI,3,MEDIO CAMPIDANO
BARUMINI,SCELTA EUROPEA,3,MEDIO CAMPIDANO
BARUMINI,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
BARUMINI,VERDI EUROPEI-GREEN ITALIA,0,MEDIO CAMPIDANO
COLLINAS,PARTITO DEMOCRATICO,142,MEDIO CAMPIDANO
COLLINAS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,58,MEDIO CAMPIDANO
COLLINAS,FORZA ITALIA,29,MEDIO CAMPIDANO
COLLINAS,L'ALTRA EUROPA CON TSIPRAS,9,MEDIO CAMPIDANO
COLLINAS,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,6,MEDIO CAMPIDANO
COLLINAS,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,2,MEDIO CAMPIDANO
COLLINAS,NUOVO CENTRO DESTRA - UDC,1,MEDIO CAMPIDANO
COLLINAS,SCELTA EUROPEA,1,MEDIO CAMPIDANO
COLLINAS,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
COLLINAS,VERDI EUROPEI-GREEN ITALIA,0,MEDIO CAMPIDANO
COLLINAS,ITALIA DEI VALORI,0,MEDIO CAMPIDANO
FURTEI,PARTITO DEMOCRATICO,238,MEDIO CAMPIDANO
FURTEI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,153,MEDIO CAMPIDANO
FURTEI,FORZA ITALIA,101,MEDIO CAMPIDANO
FURTEI,NUOVO CENTRO DESTRA - UDC,45,MEDIO CAMPIDANO
FURTEI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,43,MEDIO CAMPIDANO
FURTEI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,MEDIO CAMPIDANO
FURTEI,L'ALTRA EUROPA CON TSIPRAS,10,MEDIO CAMPIDANO
FURTEI,ITALIA DEI VALORI,4,MEDIO CAMPIDANO
FURTEI,SCELTA EUROPEA,2,MEDIO CAMPIDANO
FURTEI,VERDI EUROPEI-GREEN ITALIA,1,MEDIO CAMPIDANO
FURTEI,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
GENURI,PARTITO DEMOCRATICO,53,MEDIO CAMPIDANO
GENURI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,20,MEDIO CAMPIDANO
GENURI,FORZA ITALIA,10,MEDIO CAMPIDANO
GENURI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,5,MEDIO CAMPIDANO
GENURI,NUOVO CENTRO DESTRA - UDC,5,MEDIO CAMPIDANO
GENURI,SCELTA EUROPEA,1,MEDIO CAMPIDANO
GENURI,VERDI EUROPEI-GREEN ITALIA,1,MEDIO CAMPIDANO
GENURI,L'ALTRA EUROPA CON TSIPRAS,1,MEDIO CAMPIDANO
GENURI,ITALIA DEI VALORI,1,MEDIO CAMPIDANO
GENURI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,MEDIO CAMPIDANO
GENURI,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
GESTURI,FORZA ITALIA,165,MEDIO CAMPIDANO
GESTURI,PARTITO DEMOCRATICO,113,MEDIO CAMPIDANO
GESTURI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,101,MEDIO CAMPIDANO
GESTURI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,18,MEDIO CAMPIDANO
GESTURI,L'ALTRA EUROPA CON TSIPRAS,16,MEDIO CAMPIDANO
GESTURI,NUOVO CENTRO DESTRA - UDC,11,MEDIO CAMPIDANO
GESTURI,SCELTA EUROPEA,2,MEDIO CAMPIDANO
GESTURI,ITALIA DEI VALORI,1,MEDIO CAMPIDANO
GESTURI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,MEDIO CAMPIDANO
GESTURI,VERDI EUROPEI-GREEN ITALIA,0,MEDIO CAMPIDANO
GESTURI,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
GONNOSFANADIGA,PARTITO DEMOCRATICO,683,MEDIO CAMPIDANO
GONNOSFANADIGA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,657,MEDIO CAMPIDANO
GONNOSFANADIGA,FORZA ITALIA,491,MEDIO CAMPIDANO
GONNOSFANADIGA,L'ALTRA EUROPA CON TSIPRAS,61,MEDIO CAMPIDANO
GONNOSFANADIGA,NUOVO CENTRO DESTRA - UDC,50,MEDIO CAMPIDANO
GONNOSFANADIGA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,45,MEDIO CAMPIDANO
GONNOSFANADIGA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,25,MEDIO CAMPIDANO
GONNOSFANADIGA,ITALIA DEI VALORI,10,MEDIO CAMPIDANO
GONNOSFANADIGA,VERDI EUROPEI-GREEN ITALIA,9,MEDIO CAMPIDANO
GONNOSFANADIGA,SCELTA EUROPEA,8,MEDIO CAMPIDANO
GONNOSFANADIGA,IO CAMBIO - MAIE,2,MEDIO CAMPIDANO
GUSPINI,PARTITO DEMOCRATICO,2221,MEDIO CAMPIDANO
GUSPINI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1197,MEDIO CAMPIDANO
GUSPINI,FORZA ITALIA,460,MEDIO CAMPIDANO
GUSPINI,L'ALTRA EUROPA CON TSIPRAS,430,MEDIO CAMPIDANO
GUSPINI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,106,MEDIO CAMPIDANO
GUSPINI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,52,MEDIO CAMPIDANO
GUSPINI,NUOVO CENTRO DESTRA - UDC,46,MEDIO CAMPIDANO
GUSPINI,ITALIA DEI VALORI,24,MEDIO CAMPIDANO
GUSPINI,SCELTA EUROPEA,16,MEDIO CAMPIDANO
GUSPINI,VERDI EUROPEI-GREEN ITALIA,11,MEDIO CAMPIDANO
GUSPINI,IO CAMBIO - MAIE,6,MEDIO CAMPIDANO
LAS PLASSAS,PARTITO DEMOCRATICO,43,MEDIO CAMPIDANO
LAS PLASSAS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,26,MEDIO CAMPIDANO
LAS PLASSAS,FORZA ITALIA,11,MEDIO CAMPIDANO
LAS PLASSAS,L'ALTRA EUROPA CON TSIPRAS,8,MEDIO CAMPIDANO
LAS PLASSAS,NUOVO CENTRO DESTRA - UDC,3,MEDIO CAMPIDANO
LAS PLASSAS,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,2,MEDIO CAMPIDANO
LAS PLASSAS,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,2,MEDIO CAMPIDANO
LAS PLASSAS,VERDI EUROPEI-GREEN ITALIA,1,MEDIO CAMPIDANO
LAS PLASSAS,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
LAS PLASSAS,ITALIA DEI VALORI,0,MEDIO CAMPIDANO
LAS PLASSAS,SCELTA EUROPEA,0,MEDIO CAMPIDANO
LUNAMATRONA,PARTITO DEMOCRATICO,282,MEDIO CAMPIDANO
LUNAMATRONA,FORZA ITALIA,129,MEDIO CAMPIDANO
LUNAMATRONA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,127,MEDIO CAMPIDANO
LUNAMATRONA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,25,MEDIO CAMPIDANO
LUNAMATRONA,L'ALTRA EUROPA CON TSIPRAS,16,MEDIO CAMPIDANO
LUNAMATRONA,NUOVO CENTRO DESTRA - UDC,12,MEDIO CAMPIDANO
LUNAMATRONA,SCELTA EUROPEA,5,MEDIO CAMPIDANO
LUNAMATRONA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,MEDIO CAMPIDANO
LUNAMATRONA,VERDI EUROPEI-GREEN ITALIA,0,MEDIO CAMPIDANO
LUNAMATRONA,ITALIA DEI VALORI,0,MEDIO CAMPIDANO
LUNAMATRONA,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
PABILLONIS,PARTITO DEMOCRATICO,314,MEDIO CAMPIDANO
PABILLONIS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,267,MEDIO CAMPIDANO
PABILLONIS,FORZA ITALIA,127,MEDIO CAMPIDANO
PABILLONIS,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,25,MEDIO CAMPIDANO
PABILLONIS,L'ALTRA EUROPA CON TSIPRAS,25,MEDIO CAMPIDANO
PABILLONIS,NUOVO CENTRO DESTRA - UDC,8,MEDIO CAMPIDANO
PABILLONIS,ITALIA DEI VALORI,5,MEDIO CAMPIDANO
PABILLONIS,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,4,MEDIO CAMPIDANO
PABILLONIS,SCELTA EUROPEA,1,MEDIO CAMPIDANO
PABILLONIS,VERDI EUROPEI-GREEN ITALIA,0,MEDIO CAMPIDANO
PABILLONIS,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
PAULI ARBAREI,PARTITO DEMOCRATICO,77,MEDIO CAMPIDANO
PAULI ARBAREI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,69,MEDIO CAMPIDANO
PAULI ARBAREI,FORZA ITALIA,41,MEDIO CAMPIDANO
PAULI ARBAREI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,9,MEDIO CAMPIDANO
PAULI ARBAREI,L'ALTRA EUROPA CON TSIPRAS,4,MEDIO CAMPIDANO
PAULI ARBAREI,VERDI EUROPEI-GREEN ITALIA,1,MEDIO CAMPIDANO
PAULI ARBAREI,NUOVO CENTRO DESTRA - UDC,1,MEDIO CAMPIDANO
PAULI ARBAREI,ITALIA DEI VALORI,1,MEDIO CAMPIDANO
PAULI ARBAREI,IO CAMBIO - MAIE,0,MEDIO CAMPIDANO
PAULI ARBAREI,SCELTA EUROPEA,0,MEDIO CAMPIDANO
PAULI ARBAREI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,0,MEDIO CAMPIDANO
SAMASSI,PARTITO DEMOCRATICO,750,MEDIO CAMPIDANO
SAMASSI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,600,MEDIO CAMPIDANO
SAMASSI,FORZA ITALIA,277,MEDIO CAMPIDANO
SAMASSI,L'ALTRA EUROPA CON TSIPRAS,58,MEDIO CAMPIDANO
SAMASSI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,50,MEDIO CAMPIDANO
SAMASSI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,26,MEDIO CAMPIDANO
SAMASSI,NUOVO CENTRO DESTRA - UDC,25,MEDIO CAMPIDANO
SAMASSI,VERDI EUROPEI-GREEN ITALIA,10,MEDIO CAMPIDANO
SAMASSI,ITALIA DEI VALORI,5,MEDIO CAMPIDANO
SAMASSI,SCELTA EUROPEA,3,MEDIO CAMPIDANO
SAMASSI,IO CAMBIO - MAIE,1,MEDIO CAMPIDANO
SAN GAVINO MONREALE,PARTITO DEMOCRATICO,1843,MEDIO CAMPIDANO
SAN GAVINO MONREALE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1497,MEDIO CAMPIDANO
SAN GAVINO MONREALE,FORZA ITALIA,783,MEDIO CAMPIDANO
SAN GAVINO MONREALE,L'ALTRA EUROPA CON TSIPRAS,282,MEDIO CAMPIDANO
SAN GAVINO MONREALE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,175,MEDIO CAMPIDANO
SAN GAVINO MONREALE,NUOVO CENTRO DESTRA - UDC,102,MEDIO CAMPIDANO
SAN GAVINO MONREALE,ITALIA DEI VALORI,87,MEDIO CAMPIDANO
SAN GAVINO MONREALE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,75,MEDIO CAMPIDANO
SAN GAVINO MONREALE,VERDI EUROPEI-GREEN ITALIA,30,MEDIO CAMPIDANO
SAN GAVINO MONREALE,SCELTA EUROPEA,21,MEDIO CAMPIDANO
SAN GAVINO MONREALE,IO CAMBIO - MAIE,17,MEDIO CAMPIDANO
SANLURI,PARTITO DEMOCRATICO,1661,MEDIO CAMPIDANO
SANLURI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1027,MEDIO CAMPIDANO
SANLURI,FORZA ITALIA,328,MEDIO CAMPIDANO
SANLURI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,77,MEDIO CAMPIDANO
SANLURI,L'ALTRA EUROPA CON TSIPRAS,68,MEDIO CAMPIDANO
