Ente,Liste/Gruppi,Voti,nomefile
BASTIGLIA,PARTITO DEMOCRATICO,1090,MODENA
BASTIGLIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,558,MODENA
BASTIGLIA,FORZA ITALIA,247,MODENA
BASTIGLIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,111,MODENA
BASTIGLIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,67,MODENA
BASTIGLIA,L'ALTRA EUROPA CON TSIPRAS,63,MODENA
BASTIGLIA,VERDI EUROPEI-GREEN ITALIA,40,MODENA
BASTIGLIA,NUOVO CENTRO DESTRA - UDC,34,MODENA
BASTIGLIA,SCELTA EUROPEA,14,MODENA
BASTIGLIA,ITALIA DEI VALORI,8,MODENA
BASTIGLIA,SVP,4,MODENA
BASTIGLIA,IO CAMBIO - MAIE,3,MODENA
BOMPORTO,PARTITO DEMOCRATICO,2526,MODENA
BOMPORTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1331,MODENA
BOMPORTO,FORZA ITALIA,565,MODENA
BOMPORTO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,284,MODENA
BOMPORTO,NUOVO CENTRO DESTRA - UDC,119,MODENA
BOMPORTO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,119,MODENA
BOMPORTO,L'ALTRA EUROPA CON TSIPRAS,109,MODENA
BOMPORTO,VERDI EUROPEI-GREEN ITALIA,52,MODENA
BOMPORTO,ITALIA DEI VALORI,19,MODENA
BOMPORTO,SCELTA EUROPEA,13,MODENA
BOMPORTO,IO CAMBIO - MAIE,6,MODENA
BOMPORTO,SVP,3,MODENA
CAMPOGALLIANO,PARTITO DEMOCRATICO,2677,MODENA
CAMPOGALLIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,957,MODENA
CAMPOGALLIANO,FORZA ITALIA,406,MODENA
CAMPOGALLIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,197,MODENA
CAMPOGALLIANO,L'ALTRA EUROPA CON TSIPRAS,151,MODENA
CAMPOGALLIANO,NUOVO CENTRO DESTRA - UDC,115,MODENA
CAMPOGALLIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,97,MODENA
CAMPOGALLIANO,VERDI EUROPEI-GREEN ITALIA,47,MODENA
CAMPOGALLIANO,SCELTA EUROPEA,24,MODENA
CAMPOGALLIANO,ITALIA DEI VALORI,12,MODENA
CAMPOGALLIANO,IO CAMBIO - MAIE,3,MODENA
CAMPOGALLIANO,SVP,3,MODENA
CAMPOSANTO,PARTITO DEMOCRATICO,795,MODENA
CAMPOSANTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,270,MODENA
CAMPOSANTO,FORZA ITALIA,233,MODENA
CAMPOSANTO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,122,MODENA
CAMPOSANTO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,48,MODENA
CAMPOSANTO,NUOVO CENTRO DESTRA - UDC,24,MODENA
CAMPOSANTO,L'ALTRA EUROPA CON TSIPRAS,22,MODENA
CAMPOSANTO,VERDI EUROPEI-GREEN ITALIA,8,MODENA
CAMPOSANTO,SCELTA EUROPEA,7,MODENA
CAMPOSANTO,ITALIA DEI VALORI,3,MODENA
CAMPOSANTO,SVP,1,MODENA
CAMPOSANTO,IO CAMBIO - MAIE,0,MODENA
CARPI,PARTITO DEMOCRATICO,21735,MODENA
CARPI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,6628,MODENA
CARPI,FORZA ITALIA,3472,MODENA
CARPI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1450,MODENA
CARPI,L'ALTRA EUROPA CON TSIPRAS,1270,MODENA
CARPI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,990,MODENA
CARPI,NUOVO CENTRO DESTRA - UDC,747,MODENA
CARPI,VERDI EUROPEI-GREEN ITALIA,456,MODENA
CARPI,SCELTA EUROPEA,244,MODENA
CARPI,ITALIA DEI VALORI,120,MODENA
CARPI,SVP,47,MODENA
CARPI,IO CAMBIO - MAIE,35,MODENA
CASTELFRANCO EMILIA,PARTITO DEMOCRATICO,9551,MODENA
CASTELFRANCO EMILIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3371,MODENA
CASTELFRANCO EMILIA,FORZA ITALIA,1714,MODENA
CASTELFRANCO EMILIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,813,MODENA
CASTELFRANCO EMILIA,L'ALTRA EUROPA CON TSIPRAS,588,MODENA
CASTELFRANCO EMILIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,384,MODENA
CASTELFRANCO EMILIA,NUOVO CENTRO DESTRA - UDC,218,MODENA
CASTELFRANCO EMILIA,VERDI EUROPEI-GREEN ITALIA,151,MODENA
CASTELFRANCO EMILIA,SCELTA EUROPEA,64,MODENA
CASTELFRANCO EMILIA,ITALIA DEI VALORI,63,MODENA
CASTELFRANCO EMILIA,IO CAMBIO - MAIE,22,MODENA
CASTELFRANCO EMILIA,SVP,22,MODENA
CASTELNUOVO RANGONE,PARTITO DEMOCRATICO,4323,MODENA
CASTELNUOVO RANGONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1359,MODENA
CASTELNUOVO RANGONE,FORZA ITALIA,660,MODENA
CASTELNUOVO RANGONE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,354,MODENA
