Ente,Liste/Gruppi,Voti,nomefile
ARITZO,PARTITO DEMOCRATICO,192,NUORO
ARITZO,FORZA ITALIA,95,NUORO
ARITZO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,86,NUORO
ARITZO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,53,NUORO
ARITZO,L'ALTRA EUROPA CON TSIPRAS,14,NUORO
ARITZO,NUOVO CENTRO DESTRA - UDC,11,NUORO
ARITZO,SCELTA EUROPEA,6,NUORO
ARITZO,VERDI EUROPEI-GREEN ITALIA,1,NUORO
ARITZO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,NUORO
ARITZO,ITALIA DEI VALORI,0,NUORO
ARITZO,IO CAMBIO - MAIE,0,NUORO
ATZARA,PARTITO DEMOCRATICO,204,NUORO
ATZARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,112,NUORO
ATZARA,L'ALTRA EUROPA CON TSIPRAS,66,NUORO
ATZARA,FORZA ITALIA,17,NUORO
ATZARA,NUOVO CENTRO DESTRA - UDC,12,NUORO
ATZARA,SCELTA EUROPEA,10,NUORO
ATZARA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,6,NUORO
ATZARA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,6,NUORO
ATZARA,IO CAMBIO - MAIE,2,NUORO
ATZARA,VERDI EUROPEI-GREEN ITALIA,1,NUORO
ATZARA,ITALIA DEI VALORI,1,NUORO
AUSTIS,PARTITO DEMOCRATICO,104,NUORO
AUSTIS,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,51,NUORO
AUSTIS,SCELTA EUROPEA,17,NUORO
AUSTIS,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,14,NUORO
AUSTIS,FORZA ITALIA,11,NUORO
AUSTIS,L'ALTRA EUROPA CON TSIPRAS,7,NUORO
AUSTIS,NUOVO CENTRO DESTRA - UDC,2,NUORO
AUSTIS,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,NUORO
AUSTIS,VERDI EUROPEI-GREEN ITALIA,0,NUORO
AUSTIS,ITALIA DEI VALORI,0,NUORO
AUSTIS,IO CAMBIO - MAIE,0,NUORO
BELVI',FRATELLI D'ITALIA - ALLEANZA NAZIONALE,88,NUORO
BELVI',FORZA ITALIA,62,NUORO
BELVI',PARTITO DEMOCRATICO,59,NUORO
BELVI',MOVIMENTO 5 STELLE BEPPEGRILLO.IT,59,NUORO
BELVI',NUOVO CENTRO DESTRA - UDC,10,NUORO
BELVI',L'ALTRA EUROPA CON TSIPRAS,6,NUORO
BELVI',SCELTA EUROPEA,2,NUORO
BELVI',IO CAMBIO - MAIE,0,NUORO
BELVI',VERDI EUROPEI-GREEN ITALIA,0,NUORO
BELVI',ITALIA DEI VALORI,0,NUORO
BELVI',LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,0,NUORO
BIRORI,PARTITO DEMOCRATICO,79,NUORO
BIRORI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,37,NUORO
BIRORI,FORZA ITALIA,24,NUORO
BIRORI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,6,NUORO
BIRORI,NUOVO CENTRO DESTRA - UDC,4,NUORO
BIRORI,SCELTA EUROPEA,4,NUORO
BIRORI,L'ALTRA EUROPA CON TSIPRAS,3,NUORO
BIRORI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,NUORO
BIRORI,VERDI EUROPEI-GREEN ITALIA,0,NUORO
BIRORI,ITALIA DEI VALORI,0,NUORO
BIRORI,IO CAMBIO - MAIE,0,NUORO
BITTI,PARTITO DEMOCRATICO,322,NUORO
BITTI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,148,NUORO
BITTI,NUOVO CENTRO DESTRA - UDC,112,NUORO
BITTI,FORZA ITALIA,70,NUORO
BITTI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,24,NUORO
BITTI,L'ALTRA EUROPA CON TSIPRAS,19,NUORO
BITTI,ITALIA DEI VALORI,5,NUORO
BITTI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,4,NUORO
BITTI,SCELTA EUROPEA,3,NUORO
BITTI,VERDI EUROPEI-GREEN ITALIA,2,NUORO
BITTI,IO CAMBIO - MAIE,1,NUORO
BOLOTANA,PARTITO DEMOCRATICO,411,NUORO
BOLOTANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,234,NUORO
BOLOTANA,FORZA ITALIA,75,NUORO
BOLOTANA,L'ALTRA EUROPA CON TSIPRAS,32,NUORO
BOLOTANA,NUOVO CENTRO DESTRA - UDC,12,NUORO
BOLOTANA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,8,NUORO
BOLOTANA,SCELTA EUROPEA,5,NUORO
BOLOTANA,ITALIA DEI VALORI,4,NUORO
BOLOTANA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,4,NUORO
BOLOTANA,VERDI EUROPEI-GREEN ITALIA,3,NUORO
BOLOTANA,IO CAMBIO - MAIE,0,NUORO
BORORE,PARTITO DEMOCRATICO,289,NUORO
BORORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,142,NUORO
BORORE,FORZA ITALIA,63,NUORO
BORORE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,28,NUORO
BORORE,L'ALTRA EUROPA CON TSIPRAS,21,NUORO
BORORE,NUOVO CENTRO DESTRA - UDC,21,NUORO
BORORE,SCELTA EUROPEA,8,NUORO
BORORE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,8,NUORO
BORORE,ITALIA DEI VALORI,4,NUORO
BORORE,VERDI EUROPEI-GREEN ITALIA,1,NUORO
BORORE,IO CAMBIO - MAIE,1,NUORO
BORTIGALI,PARTITO DEMOCRATICO,183,NUORO
BORTIGALI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,90,NUORO
BORTIGALI,FORZA ITALIA,37,NUORO
BORTIGALI,NUOVO CENTRO DESTRA - UDC,20,NUORO
BORTIGALI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,16,NUORO
BORTIGALI,L'ALTRA EUROPA CON TSIPRAS,15,NUORO
BORTIGALI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,8,NUORO
BORTIGALI,SCELTA EUROPEA,4,NUORO
