Ente,Liste/Gruppi,Voti,nomefile
ASSISI,PARTITO DEMOCRATICO,5632,PERUGIA
ASSISI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2520,PERUGIA
ASSISI,FORZA ITALIA,2083,PERUGIA
ASSISI,NUOVO CENTRO DESTRA - UDC,654,PERUGIA
ASSISI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,582,PERUGIA
ASSISI,L'ALTRA EUROPA CON TSIPRAS,406,PERUGIA
ASSISI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,324,PERUGIA
ASSISI,VERDI EUROPEI-GREEN ITALIA,65,PERUGIA
ASSISI,ITALIA DEI VALORI,65,PERUGIA
ASSISI,SCELTA EUROPEA,52,PERUGIA
ASSISI,IO CAMBIO - MAIE,12,PERUGIA
BASTIA UMBRA,PARTITO DEMOCRATICO,5391,PERUGIA
BASTIA UMBRA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,2462,PERUGIA
BASTIA UMBRA,FORZA ITALIA,1890,PERUGIA
BASTIA UMBRA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,757,PERUGIA
BASTIA UMBRA,L'ALTRA EUROPA CON TSIPRAS,367,PERUGIA
BASTIA UMBRA,NUOVO CENTRO DESTRA - UDC,364,PERUGIA
BASTIA UMBRA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,289,PERUGIA
BASTIA UMBRA,VERDI EUROPEI-GREEN ITALIA,70,PERUGIA
BASTIA UMBRA,SCELTA EUROPEA,51,PERUGIA
BASTIA UMBRA,ITALIA DEI VALORI,40,PERUGIA
BASTIA UMBRA,IO CAMBIO - MAIE,16,PERUGIA
BETTONA,PARTITO DEMOCRATICO,961,PERUGIA
BETTONA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,401,PERUGIA
BETTONA,FORZA ITALIA,336,PERUGIA
BETTONA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,98,PERUGIA
BETTONA,L'ALTRA EUROPA CON TSIPRAS,79,PERUGIA
BETTONA,NUOVO CENTRO DESTRA - UDC,65,PERUGIA
BETTONA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,42,PERUGIA
BETTONA,ITALIA DEI VALORI,18,PERUGIA
BETTONA,VERDI EUROPEI-GREEN ITALIA,14,PERUGIA
BETTONA,SCELTA EUROPEA,5,PERUGIA
BETTONA,IO CAMBIO - MAIE,1,PERUGIA
BEVAGNA,PARTITO DEMOCRATICO,1259,PERUGIA
BEVAGNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,415,PERUGIA
BEVAGNA,FORZA ITALIA,338,PERUGIA
BEVAGNA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,100,PERUGIA
BEVAGNA,L'ALTRA EUROPA CON TSIPRAS,69,PERUGIA
BEVAGNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,57,PERUGIA
BEVAGNA,NUOVO CENTRO DESTRA - UDC,53,PERUGIA
BEVAGNA,VERDI EUROPEI-GREEN ITALIA,22,PERUGIA
BEVAGNA,ITALIA DEI VALORI,13,PERUGIA
BEVAGNA,SCELTA EUROPEA,7,PERUGIA
BEVAGNA,IO CAMBIO - MAIE,2,PERUGIA
CAMPELLO SUL CLITUNNO,PARTITO DEMOCRATICO,587,PERUGIA
CAMPELLO SUL CLITUNNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,270,PERUGIA
CAMPELLO SUL CLITUNNO,FORZA ITALIA,260,PERUGIA
CAMPELLO SUL CLITUNNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,112,PERUGIA
CAMPELLO SUL CLITUNNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,54,PERUGIA
CAMPELLO SUL CLITUNNO,NUOVO CENTRO DESTRA - UDC,44,PERUGIA
CAMPELLO SUL CLITUNNO,L'ALTRA EUROPA CON TSIPRAS,37,PERUGIA
CAMPELLO SUL CLITUNNO,ITALIA DEI VALORI,11,PERUGIA
CAMPELLO SUL CLITUNNO,VERDI EUROPEI-GREEN ITALIA,10,PERUGIA
CAMPELLO SUL CLITUNNO,SCELTA EUROPEA,6,PERUGIA
CAMPELLO SUL CLITUNNO,IO CAMBIO - MAIE,3,PERUGIA
CANNARA,PARTITO DEMOCRATICO,1213,PERUGIA
CANNARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,627,PERUGIA
CANNARA,FORZA ITALIA,316,PERUGIA
CANNARA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,158,PERUGIA
CANNARA,NUOVO CENTRO DESTRA - UDC,87,PERUGIA
CANNARA,L'ALTRA EUROPA CON TSIPRAS,85,PERUGIA
CANNARA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,42,PERUGIA
CANNARA,ITALIA DEI VALORI,22,PERUGIA
CANNARA,VERDI EUROPEI-GREEN ITALIA,14,PERUGIA
CANNARA,SCELTA EUROPEA,11,PERUGIA
CANNARA,IO CAMBIO - MAIE,6,PERUGIA
CASCIA,PARTITO DEMOCRATICO,553,PERUGIA
CASCIA,FORZA ITALIA,261,PERUGIA
CASCIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,185,PERUGIA
CASCIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,77,PERUGIA
CASCIA,NUOVO CENTRO DESTRA - UDC,43,PERUGIA
CASCIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,30,PERUGIA
CASCIA,L'ALTRA EUROPA CON TSIPRAS,11,PERUGIA
CASCIA,VERDI EUROPEI-GREEN ITALIA,8,PERUGIA
CASCIA,ITALIA DEI VALORI,5,PERUGIA
CASCIA,SCELTA EUROPEA,1,PERUGIA
CASCIA,IO CAMBIO - MAIE,1,PERUGIA
CASTEL RITALDI,PARTITO DEMOCRATICO,782,PERUGIA
CASTEL RITALDI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,385,PERUGIA
CASTEL RITALDI,FORZA ITALIA,320,PERUGIA
CASTEL RITALDI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,114,PERUGIA
CASTEL RITALDI,NUOVO CENTRO DESTRA - UDC,90,PERUGIA
CASTEL RITALDI,L'ALTRA EUROPA CON TSIPRAS,43,PERUGIA
CASTEL RITALDI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,34,PERUGIA
CASTEL RITALDI,VERDI EUROPEI-GREEN ITALIA,10,PERUGIA
CASTEL RITALDI,SCELTA EUROPEA,6,PERUGIA
CASTEL RITALDI,ITALIA DEI VALORI,6,PERUGIA
CASTEL RITALDI,IO CAMBIO - MAIE,4,PERUGIA
CASTIGLIONE DEL LAGO,PARTITO DEMOCRATICO,4801,PERUGIA
CASTIGLIONE DEL LAGO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1325,PERUGIA
CASTIGLIONE DEL LAGO,FORZA ITALIA,1021,PERUGIA
CASTIGLIONE DEL LAGO,L'ALTRA EUROPA CON TSIPRAS,351,PERUGIA
CASTIGLIONE DEL LAGO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,341,PERUGIA
CASTIGLIONE DEL LAGO,NUOVO CENTRO DESTRA - UDC,191,PERUGIA
CASTIGLIONE DEL LAGO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,175,PERUGIA
CASTIGLIONE DEL LAGO,VERDI EUROPEI-GREEN ITALIA,37,PERUGIA
CASTIGLIONE DEL LAGO,ITALIA DEI VALORI,28,PERUGIA
CASTIGLIONE DEL LAGO,SCELTA EUROPEA,17,PERUGIA
CASTIGLIONE DEL LAGO,IO CAMBIO - MAIE,10,PERUGIA
CERRETO DI SPOLETO,PARTITO DEMOCRATICO,294,PERUGIA
CERRETO DI SPOLETO,FORZA ITALIA,128,PERUGIA
CERRETO DI SPOLETO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,90,PERUGIA
CERRETO DI SPOLETO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,20,PERUGIA
CERRETO DI SPOLETO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,19,PERUGIA
CERRETO DI SPOLETO,NUOVO CENTRO DESTRA - UDC,13,PERUGIA
CERRETO DI SPOLETO,IO CAMBIO - MAIE,5,PERUGIA
CERRETO DI SPOLETO,VERDI EUROPEI-GREEN ITALIA,5,PERUGIA
CERRETO DI SPOLETO,L'ALTRA EUROPA CON TSIPRAS,2,PERUGIA
CERRETO DI SPOLETO,ITALIA DEI VALORI,1,PERUGIA
CERRETO DI SPOLETO,SCELTA EUROPEA,0,PERUGIA
CITERNA,PARTITO DEMOCRATICO,1064,PERUGIA
CITERNA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,317,PERUGIA
CITERNA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,305,PERUGIA
CITERNA,FORZA ITALIA,185,PERUGIA
CITERNA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,67,PERUGIA
CITERNA,L'ALTRA EUROPA CON TSIPRAS,60,PERUGIA
CITERNA,NUOVO CENTRO DESTRA - UDC,39,PERUGIA
CITERNA,VERDI EUROPEI-GREEN ITALIA,21,PERUGIA
CITERNA,SCELTA EUROPEA,10,PERUGIA
CITERNA,ITALIA DEI VALORI,7,PERUGIA
CITERNA,IO CAMBIO - MAIE,5,PERUGIA
CITTA' DELLA PIEVE,PARTITO DEMOCRATICO,2661,PERUGIA
CITTA' DELLA PIEVE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,714,PERUGIA
CITTA' DELLA PIEVE,FORZA ITALIA,426,PERUGIA
CITTA' DELLA PIEVE,L'ALTRA EUROPA CON TSIPRAS,230,PERUGIA
CITTA' DELLA PIEVE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,154,PERUGIA
CITTA' DELLA PIEVE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,116,PERUGIA
CITTA' DELLA PIEVE,NUOVO CENTRO DESTRA - UDC,73,PERUGIA
CITTA' DELLA PIEVE,VERDI EUROPEI-GREEN ITALIA,42,PERUGIA
CITTA' DELLA PIEVE,ITALIA DEI VALORI,22,PERUGIA
CITTA' DELLA PIEVE,SCELTA EUROPEA,8,PERUGIA
CITTA' DELLA PIEVE,IO CAMBIO - MAIE,6,PERUGIA
CITTA' DI CASTELLO,PARTITO DEMOCRATICO,10909,PERUGIA
CITTA' DI CASTELLO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,3579,PERUGIA
CITTA' DI CASTELLO,FORZA ITALIA,2296,PERUGIA
CITTA' DI CASTELLO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,829,PERUGIA
CITTA' DI CASTELLO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,796,PERUGIA
CITTA' DI CASTELLO,L'ALTRA EUROPA CON TSIPRAS,562,PERUGIA
CITTA' DI CASTELLO,NUOVO CENTRO DESTRA - UDC,431,PERUGIA
CITTA' DI CASTELLO,SCELTA EUROPEA,122,PERUGIA
CITTA' DI CASTELLO,VERDI EUROPEI-GREEN ITALIA,107,PERUGIA
CITTA' DI CASTELLO,ITALIA DEI VALORI,75,PERUGIA
CITTA' DI CASTELLO,IO CAMBIO - MAIE,15,PERUGIA
