Ente,Liste/Gruppi,Voti,nomefile
ACERNO,PARTITO DEMOCRATICO,365,SALERNO
ACERNO,FORZA ITALIA,315,SALERNO
ACERNO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,296,SALERNO
ACERNO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,132,SALERNO
ACERNO,L'ALTRA EUROPA CON TSIPRAS,52,SALERNO
ACERNO,NUOVO CENTRO DESTRA - UDC,25,SALERNO
ACERNO,SCELTA EUROPEA,16,SALERNO
ACERNO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,5,SALERNO
ACERNO,ITALIA DEI VALORI,4,SALERNO
ACERNO,VERDI EUROPEI-GREEN ITALIA,4,SALERNO
ACERNO,IO CAMBIO - MAIE,2,SALERNO
AGROPOLI,PARTITO DEMOCRATICO,3399,SALERNO
AGROPOLI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1758,SALERNO
AGROPOLI,FORZA ITALIA,1638,SALERNO
AGROPOLI,NUOVO CENTRO DESTRA - UDC,415,SALERNO
AGROPOLI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,291,SALERNO
AGROPOLI,L'ALTRA EUROPA CON TSIPRAS,217,SALERNO
AGROPOLI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,42,SALERNO
AGROPOLI,VERDI EUROPEI-GREEN ITALIA,35,SALERNO
AGROPOLI,SCELTA EUROPEA,27,SALERNO
AGROPOLI,ITALIA DEI VALORI,16,SALERNO
AGROPOLI,IO CAMBIO - MAIE,12,SALERNO
ALBANELLA,PARTITO DEMOCRATICO,1106,SALERNO
ALBANELLA,FORZA ITALIA,1057,SALERNO
ALBANELLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,971,SALERNO
ALBANELLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,256,SALERNO
ALBANELLA,NUOVO CENTRO DESTRA - UDC,144,SALERNO
ALBANELLA,L'ALTRA EUROPA CON TSIPRAS,101,SALERNO
ALBANELLA,SCELTA EUROPEA,43,SALERNO
ALBANELLA,VERDI EUROPEI-GREEN ITALIA,25,SALERNO
ALBANELLA,ITALIA DEI VALORI,24,SALERNO
ALBANELLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,19,SALERNO
ALBANELLA,IO CAMBIO - MAIE,18,SALERNO
ALFANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,173,SALERNO
ALFANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,72,SALERNO
ALFANO,PARTITO DEMOCRATICO,71,SALERNO
ALFANO,NUOVO CENTRO DESTRA - UDC,50,SALERNO
ALFANO,FORZA ITALIA,45,SALERNO
ALFANO,L'ALTRA EUROPA CON TSIPRAS,7,SALERNO
