Ente,Liste/Gruppi,Voti,nomefile
ABBADIA SAN SALVATORE,PARTITO DEMOCRATICO,2371,SIENA
ABBADIA SAN SALVATORE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,626,SIENA
ABBADIA SAN SALVATORE,FORZA ITALIA,382,SIENA
ABBADIA SAN SALVATORE,L'ALTRA EUROPA CON TSIPRAS,172,SIENA
ABBADIA SAN SALVATORE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,90,SIENA
ABBADIA SAN SALVATORE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,86,SIENA
ABBADIA SAN SALVATORE,NUOVO CENTRO DESTRA - UDC,40,SIENA
ABBADIA SAN SALVATORE,VERDI EUROPEI-GREEN ITALIA,29,SIENA
ABBADIA SAN SALVATORE,ITALIA DEI VALORI,28,SIENA
ABBADIA SAN SALVATORE,SCELTA EUROPEA,9,SIENA
ABBADIA SAN SALVATORE,IO CAMBIO - MAIE,5,SIENA
ASCIANO,PARTITO DEMOCRATICO,2317,SIENA
ASCIANO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,585,SIENA
ASCIANO,FORZA ITALIA,435,SIENA
ASCIANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,127,SIENA
ASCIANO,L'ALTRA EUROPA CON TSIPRAS,117,SIENA
ASCIANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,105,SIENA
ASCIANO,NUOVO CENTRO DESTRA - UDC,102,SIENA
ASCIANO,VERDI EUROPEI-GREEN ITALIA,25,SIENA
ASCIANO,ITALIA DEI VALORI,20,SIENA
ASCIANO,SCELTA EUROPEA,9,SIENA
ASCIANO,IO CAMBIO - MAIE,5,SIENA
BUONCONVENTO,PARTITO DEMOCRATICO,1063,SIENA
BUONCONVENTO,FORZA ITALIA,253,SIENA
BUONCONVENTO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,251,SIENA
BUONCONVENTO,L'ALTRA EUROPA CON TSIPRAS,75,SIENA
BUONCONVENTO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,63,SIENA
BUONCONVENTO,NUOVO CENTRO DESTRA - UDC,31,SIENA
BUONCONVENTO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,27,SIENA
BUONCONVENTO,SCELTA EUROPEA,7,SIENA
BUONCONVENTO,ITALIA DEI VALORI,5,SIENA
BUONCONVENTO,VERDI EUROPEI-GREEN ITALIA,3,SIENA
BUONCONVENTO,IO CAMBIO - MAIE,2,SIENA
CASOLE D'ELSA,PARTITO DEMOCRATICO,1184,SIENA
CASOLE D'ELSA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,384,SIENA
CASOLE D'ELSA,FORZA ITALIA,307,SIENA
CASOLE D'ELSA,L'ALTRA EUROPA CON TSIPRAS,92,SIENA
CASOLE D'ELSA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,85,SIENA
CASOLE D'ELSA,NUOVO CENTRO DESTRA - UDC,62,SIENA
CASOLE D'ELSA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,46,SIENA
CASOLE D'ELSA,VERDI EUROPEI-GREEN ITALIA,15,SIENA
CASOLE D'ELSA,ITALIA DEI VALORI,13,SIENA
CASOLE D'ELSA,SCELTA EUROPEA,10,SIENA
CASOLE D'ELSA,IO CAMBIO - MAIE,4,SIENA
CASTELLINA IN CHIANTI,PARTITO DEMOCRATICO,957,SIENA
CASTELLINA IN CHIANTI,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,187,SIENA
CASTELLINA IN CHIANTI,FORZA ITALIA,113,SIENA
CASTELLINA IN CHIANTI,NUOVO CENTRO DESTRA - UDC,56,SIENA
CASTELLINA IN CHIANTI,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,51,SIENA
CASTELLINA IN CHIANTI,L'ALTRA EUROPA CON TSIPRAS,50,SIENA
CASTELLINA IN CHIANTI,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,32,SIENA
CASTELLINA IN CHIANTI,VERDI EUROPEI-GREEN ITALIA,18,SIENA
CASTELLINA IN CHIANTI,ITALIA DEI VALORI,10,SIENA
CASTELLINA IN CHIANTI,SCELTA EUROPEA,8,SIENA
CASTELLINA IN CHIANTI,IO CAMBIO - MAIE,2,SIENA
CASTELNUOVO BERARDENGA,PARTITO DEMOCRATICO,2743,SIENA
CASTELNUOVO BERARDENGA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,785,SIENA
CASTELNUOVO BERARDENGA,FORZA ITALIA,439,SIENA
CASTELNUOVO BERARDENGA,L'ALTRA EUROPA CON TSIPRAS,303,SIENA
