Ente,Liste/Gruppi,Voti,nomefile
ALBAREDO PER SAN MARCO,PARTITO DEMOCRATICO,48,SONDRIO
ALBAREDO PER SAN MARCO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,47,SONDRIO
ALBAREDO PER SAN MARCO,FORZA ITALIA,30,SONDRIO
ALBAREDO PER SAN MARCO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,11,SONDRIO
ALBAREDO PER SAN MARCO,NUOVO CENTRO DESTRA - UDC,9,SONDRIO
ALBAREDO PER SAN MARCO,ITALIA DEI VALORI,3,SONDRIO
ALBAREDO PER SAN MARCO,VERDI EUROPEI-GREEN ITALIA,2,SONDRIO
ALBAREDO PER SAN MARCO,IO CAMBIO - MAIE,1,SONDRIO
ALBAREDO PER SAN MARCO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,1,SONDRIO
ALBAREDO PER SAN MARCO,L'ALTRA EUROPA CON TSIPRAS,1,SONDRIO
ALBAREDO PER SAN MARCO,SCELTA EUROPEA,1,SONDRIO
ALBOSAGGIA,PARTITO DEMOCRATICO,605,SONDRIO
ALBOSAGGIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,562,SONDRIO
ALBOSAGGIA,FORZA ITALIA,247,SONDRIO
ALBOSAGGIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,175,SONDRIO
ALBOSAGGIA,L'ALTRA EUROPA CON TSIPRAS,49,SONDRIO
ALBOSAGGIA,NUOVO CENTRO DESTRA - UDC,41,SONDRIO
ALBOSAGGIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,37,SONDRIO
ALBOSAGGIA,ITALIA DEI VALORI,12,SONDRIO
ALBOSAGGIA,VERDI EUROPEI-GREEN ITALIA,8,SONDRIO
ALBOSAGGIA,SCELTA EUROPEA,7,SONDRIO
ALBOSAGGIA,IO CAMBIO - MAIE,1,SONDRIO
ANDALO VALTELLINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,163,SONDRIO
ANDALO VALTELLINO,FORZA ITALIA,69,SONDRIO
ANDALO VALTELLINO,PARTITO DEMOCRATICO,64,SONDRIO
ANDALO VALTELLINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,44,SONDRIO
ANDALO VALTELLINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,6,SONDRIO
ANDALO VALTELLINO,VERDI EUROPEI-GREEN ITALIA,6,SONDRIO
ANDALO VALTELLINO,L'ALTRA EUROPA CON TSIPRAS,4,SONDRIO
ANDALO VALTELLINO,NUOVO CENTRO DESTRA - UDC,3,SONDRIO
ANDALO VALTELLINO,ITALIA DEI VALORI,2,SONDRIO
ANDALO VALTELLINO,IO CAMBIO - MAIE,0,SONDRIO
ANDALO VALTELLINO,SCELTA EUROPEA,0,SONDRIO
APRICA,FORZA ITALIA,263,SONDRIO
APRICA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,193,SONDRIO
APRICA,PARTITO DEMOCRATICO,138,SONDRIO
