Ente,Liste/Gruppi,Voti,nomefile
DUINO AURISINA,PARTITO DEMOCRATICO,1653,TRIESTE
DUINO AURISINA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,772,TRIESTE
DUINO AURISINA,FORZA ITALIA,539,TRIESTE
DUINO AURISINA,L'ALTRA EUROPA CON TSIPRAS,222,TRIESTE
DUINO AURISINA,SVP,220,TRIESTE
DUINO AURISINA,NUOVO CENTRO DESTRA - UDC,212,TRIESTE
DUINO AURISINA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,145,TRIESTE
DUINO AURISINA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,144,TRIESTE
DUINO AURISINA,VERDI EUROPEI-GREEN ITALIA,60,TRIESTE
DUINO AURISINA,SCELTA EUROPEA,24,TRIESTE
DUINO AURISINA,ITALIA DEI VALORI,11,TRIESTE
DUINO AURISINA,IO CAMBIO - MAIE,2,TRIESTE
MONRUPINO,PARTITO DEMOCRATICO,221,TRIESTE
MONRUPINO,SVP,97,TRIESTE
MONRUPINO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,82,TRIESTE
MONRUPINO,FORZA ITALIA,33,TRIESTE
MONRUPINO,NUOVO CENTRO DESTRA - UDC,22,TRIESTE
MONRUPINO,L'ALTRA EUROPA CON TSIPRAS,19,TRIESTE
MONRUPINO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,14,TRIESTE
MONRUPINO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,11,TRIESTE
MONRUPINO,SCELTA EUROPEA,7,TRIESTE
MONRUPINO,VERDI EUROPEI-GREEN ITALIA,5,TRIESTE
MONRUPINO,IO CAMBIO - MAIE,1,TRIESTE
MONRUPINO,ITALIA DEI VALORI,1,TRIESTE
MUGGIA,PARTITO DEMOCRATICO,2272,TRIESTE
MUGGIA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1317,TRIESTE
MUGGIA,FORZA ITALIA,820,TRIESTE
MUGGIA,NUOVO CENTRO DESTRA - UDC,670,TRIESTE
MUGGIA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,306,TRIESTE
MUGGIA,L'ALTRA EUROPA CON TSIPRAS,299,TRIESTE
MUGGIA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,194,TRIESTE
MUGGIA,VERDI EUROPEI-GREEN ITALIA,71,TRIESTE
MUGGIA,SVP,29,TRIESTE
MUGGIA,SCELTA EUROPEA,22,TRIESTE
MUGGIA,ITALIA DEI VALORI,18,TRIESTE
MUGGIA,IO CAMBIO - MAIE,9,TRIESTE
SAN DORLIGO DELLA VALLE,PARTITO DEMOCRATICO,1365,TRIESTE
SAN DORLIGO DELLA VALLE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,611,TRIESTE
SAN DORLIGO DELLA VALLE,FORZA ITALIA,249,TRIESTE
SAN DORLIGO DELLA VALLE,SVP,196,TRIESTE
SAN DORLIGO DELLA VALLE,L'ALTRA EUROPA CON TSIPRAS,189,TRIESTE
SAN DORLIGO DELLA VALLE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,125,TRIESTE
SAN DORLIGO DELLA VALLE,NUOVO CENTRO DESTRA - UDC,118,TRIESTE
SAN DORLIGO DELLA VALLE,VERDI EUROPEI-GREEN ITALIA,72,TRIESTE
SAN DORLIGO DELLA VALLE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,51,TRIESTE
SAN DORLIGO DELLA VALLE,ITALIA DEI VALORI,22,TRIESTE
SAN DORLIGO DELLA VALLE,SCELTA EUROPEA,20,TRIESTE
SAN DORLIGO DELLA VALLE,IO CAMBIO - MAIE,2,TRIESTE
SGONICO,PARTITO DEMOCRATICO,624,TRIESTE
SGONICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,207,TRIESTE
SGONICO,FORZA ITALIA,118,TRIESTE
SGONICO,L'ALTRA EUROPA CON TSIPRAS,100,TRIESTE
SGONICO,SVP,80,TRIESTE
SGONICO,NUOVO CENTRO DESTRA - UDC,32,TRIESTE
SGONICO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,30,TRIESTE
SGONICO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,22,TRIESTE
SGONICO,VERDI EUROPEI-GREEN ITALIA,21,TRIESTE
SGONICO,SCELTA EUROPEA,4,TRIESTE
SGONICO,ITALIA DEI VALORI,4,TRIESTE
SGONICO,IO CAMBIO - MAIE,3,TRIESTE
TRIESTE,PARTITO DEMOCRATICO,32308,TRIESTE
TRIESTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,16594,TRIESTE
TRIESTE,FORZA ITALIA,12429,TRIESTE
TRIESTE,NUOVO CENTRO DESTRA - UDC,6514,TRIESTE
TRIESTE,L'ALTRA EUROPA CON TSIPRAS,4944,TRIESTE
TRIESTE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,4038,TRIESTE
TRIESTE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,3229,TRIESTE
TRIESTE,VERDI EUROPEI-GREEN ITALIA,1190,TRIESTE
TRIESTE,SVP,750,TRIESTE
TRIESTE,SCELTA EUROPEA,544,TRIESTE
TRIESTE,ITALIA DEI VALORI,369,TRIESTE
TRIESTE,IO CAMBIO - MAIE,86,TRIESTE
