Ente,Liste/Gruppi,Voti,nomefile
ACQUARO,NUOVO CENTRO DESTRA - UDC,625,VIBO VALENTIA
ACQUARO,PARTITO DEMOCRATICO,191,VIBO VALENTIA
ACQUARO,FORZA ITALIA,66,VIBO VALENTIA
ACQUARO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,52,VIBO VALENTIA
ACQUARO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,15,VIBO VALENTIA
ACQUARO,L'ALTRA EUROPA CON TSIPRAS,11,VIBO VALENTIA
ACQUARO,SCELTA EUROPEA,7,VIBO VALENTIA
ACQUARO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,4,VIBO VALENTIA
ACQUARO,ITALIA DEI VALORI,3,VIBO VALENTIA
ACQUARO,IO CAMBIO - MAIE,2,VIBO VALENTIA
ACQUARO,VERDI EUROPEI-GREEN ITALIA,0,VIBO VALENTIA
ARENA,PARTITO DEMOCRATICO,240,VIBO VALENTIA
ARENA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,101,VIBO VALENTIA
ARENA,NUOVO CENTRO DESTRA - UDC,58,VIBO VALENTIA
ARENA,L'ALTRA EUROPA CON TSIPRAS,32,VIBO VALENTIA
ARENA,FORZA ITALIA,29,VIBO VALENTIA
ARENA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,25,VIBO VALENTIA
ARENA,ITALIA DEI VALORI,4,VIBO VALENTIA
ARENA,SCELTA EUROPEA,3,VIBO VALENTIA
ARENA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,VIBO VALENTIA
ARENA,IO CAMBIO - MAIE,0,VIBO VALENTIA
ARENA,VERDI EUROPEI-GREEN ITALIA,0,VIBO VALENTIA
BRIATICO,FORZA ITALIA,636,VIBO VALENTIA
BRIATICO,PARTITO DEMOCRATICO,470,VIBO VALENTIA
BRIATICO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,383,VIBO VALENTIA
BRIATICO,NUOVO CENTRO DESTRA - UDC,120,VIBO VALENTIA
BRIATICO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,63,VIBO VALENTIA
BRIATICO,L'ALTRA EUROPA CON TSIPRAS,52,VIBO VALENTIA
