Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ANGHIARI,4645,3044,30,91,AREZZO
AREZZO,76424,46525,303,1176,AREZZO
BADIA TEDALDA,915,690,32,56,AREZZO
BIBBIENA,9170,6939,215,390,AREZZO
BUCINE,7901,5932,120,280,AREZZO
CAPOLONA,4265,2698,31,89,AREZZO
CAPRESE MICHELANGELO,1228,972,47,74,AREZZO
CASTEL FOCOGNANO,2554,1865,54,90,AREZZO
CASTELFRANCO PIANDISCO',7774,5906,162,351,AREZZO
CASTEL SAN NICCOLO',2225,1773,67,118,AREZZO
CASTIGLION FIBOCCHI,1704,1407,51,95,AREZZO
CASTIGLION FIORENTINO,10352,7651,222,501,AREZZO
CAVRIGLIA,7627,5853,137,288,AREZZO
CHITIGNANO,735,585,23,38,AREZZO
CHIUSI DELLA VERNA,1689,1402,74,120,AREZZO
CIVITELLA IN VAL DI CHIANA,7173,4698,47,171,AREZZO
CORTONA,17897,13051,289,634,AREZZO
FOIANO DELLA CHIANA,7075,4924,138,277,AREZZO
LATERINA,2831,2047,42,120,AREZZO
LORO CIUFFENNA,4685,3546,92,204,AREZZO
LUCIGNANO,2967,2156,66,149,AREZZO
MARCIANO DELLA CHIANA,2668,2017,73,139,AREZZO
MONTEMIGNAIO,520,299,3,9,AREZZO
MONTERCHI,1506,1230,43,74,AREZZO
MONTE SAN SAVINO,7098,4256,51,153,AREZZO
MONTEVARCHI,17815,11654,65,265,AREZZO
ORTIGNANO RAGGIOLO,733,459,6,22,AREZZO
PERGINE VALDARNO,2673,2073,54,96,AREZZO
PIEVE SANTO STEFANO,2616,2021,75,160,AREZZO
POPPI,4803,3656,123,215,AREZZO
PRATOVECCHIO STIA,4712,3803,92,182,AREZZO
SAN GIOVANNI VALDARNO,13059,9582,168,387,AREZZO
SANSEPOLCRO,12651,8153,52,204,AREZZO
SESTINO,1116,868,46,66,AREZZO
SUBBIANO,4886,3719,94,209,AREZZO
TALLA,895,723,57,88,AREZZO
TERRANUOVA BRACCIOLINI,9731,7199,165,385,AREZZO
