Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUANEGRA CREMONESE,982,709,31,53,CREMONA
AGNADELLO,2809,2159,48,122,CREMONA
ANNICCO,1737,1206,29,77,CREMONA
AZZANELLO,523,322,5,13,CREMONA
BAGNOLO CREMASCO,3741,2991,66,150,CREMONA
BONEMERSE,1256,990,32,72,CREMONA
BORDOLANO,435,337,13,27,CREMONA
CA' D'ANDREA,368,296,22,30,CREMONA
CALVATONE,985,777,21,53,CREMONA
CAMISANO,1072,831,22,53,CREMONA
CAMPAGNOLA CREMASCA,547,365,2,18,CREMONA
CAPERGNANICA,1745,1164,19,47,CREMONA
CAPPELLA CANTONE,490,380,17,37,CREMONA
CAPPELLA DE' PICENARDI,345,210,17,25,CREMONA
CAPRALBA,1996,1433,23,67,CREMONA
CASALBUTTANO ED UNITI,3154,2295,58,143,CREMONA
CASALE CREMASCO VIDOLASCO,1339,1026,32,80,CREMONA
CASALETTO CEREDANO,971,808,32,58,CREMONA
CASALETTO DI SOPRA,430,366,11,28,CREMONA
CASALETTO VAPRIO,1314,887,14,55,CREMONA
CASALMAGGIORE,11195,7884,229,481,CREMONA
CASALMORANO,1404,1013,28,66,CREMONA
CASTELDIDONE,485,336,9,29,CREMONA
CASTEL GABBIANO,326,209,3,9,CREMONA
CASTELLEONE,7484,5528,109,284,CREMONA
CASTELVERDE,4653,3353,79,198,CREMONA
CASTELVISCONTI,250,227,11,25,CREMONA
CELLA DATI,458,329,14,25,CREMONA
CHIEVE,1807,1368,39,92,CREMONA
CICOGNOLO,734,540,17,46,CREMONA
CINGIA DE' BOTTI,1066,738,39,62,CREMONA
CORTE DE' CORTESI CON CIGNONE,812,516,23,47,CREMONA
CORTE DE' FRATI,1196,708,10,32,CREMONA
CREDERA RUBBIANO,1370,895,10,36,CREMONA
CREMA,26772,17414,131,527,CREMONA
CREMONA,54984,39469,596,1589,CREMONA
CREMOSANO,1350,838,14,55,CREMONA
CROTTA D'ADDA,527,382,10,20,CREMONA
CUMIGNANO SUL NAVIGLIO,342,262,14,28,CREMONA
DEROVERE,260,173,10,15,CREMONA
DOVERA,2989,2195,38,101,CREMONA
DRIZZONA,434,363,12,15,CREMONA
FIESCO,916,609,14,46,CREMONA
FORMIGARA,882,702,20,49,CREMONA
GABBIONETA BINANUOVA,829,569,23,45,CREMONA
GADESCO PIEVE DELMONA,1516,1029,25,58,CREMONA
GENIVOLTA,910,725,24,49,CREMONA
GERRE DE' CAPRIOLI,1035,814,16,40,CREMONA
GOMBITO,564,424,20,41,CREMONA
GRONTARDO,1208,917,28,53,CREMONA
GRUMELLO CREMONESE ED UNITI,1516,1154,37,76,CREMONA
GUSSOLA,2140,1654,42,101,CREMONA
ISOLA DOVARESE,1000,797,31,55,CREMONA
IZANO,1660,1104,16,62,CREMONA
MADIGNANO,2304,1743,48,118,CREMONA
MALAGNINO,1354,968,34,58,CREMONA
MARTIGNANA DI PO,1451,1085,45,83,CREMONA
MONTE CREMASCO,1763,1324,26,94,CREMONA
MONTODINE,2054,1668,38,101,CREMONA
MOSCAZZANO,651,506,23,34,CREMONA
MOTTA BALUFFI,978,578,14,44,CREMONA
OFFANENGO,4649,3206,75,203,CREMONA
OLMENETA,816,561,11,26,CREMONA
OSTIANO,2298,1723,73,133,CREMONA
PADERNO PONCHIELLI,1233,879,28,58,CREMONA
PALAZZO PIGNANO,3003,1957,12,85,CREMONA
PANDINO,6676,4911,99,261,CREMONA
PERSICO DOSIMO,2697,2072,58,127,CREMONA
PESCAROLO ED UNITI,1318,938,35,76,CREMONA
PESSINA CREMONESE,511,407,19,25,CREMONA
PIADENA,2764,2056,35,90,CREMONA
PIANENGO,2006,1325,14,48,CREMONA
PIERANICA,895,745,30,57,CREMONA
PIEVE D'OLMI,1099,800,24,57,CREMONA
PIEVE SAN GIACOMO,1237,792,12,26,CREMONA
PIZZIGHETTONE,5349,3388,32,230,CREMONA
POZZAGLIO ED UNITI,1168,692,8,35,CREMONA
QUINTANO,678,517,14,31,CREMONA
RICENGO,1285,942,22,57,CREMONA
RIPALTA ARPINA,805,636,26,46,CREMONA
RIPALTA CREMASCA,2803,2181,49,119,CREMONA
RIPALTA GUERINA,430,398,15,29,CREMONA
RIVAROLO DEL RE ED UNITI,1526,1129,30,72,CREMONA
RIVOLTA D'ADDA,6453,4023,34,148,CREMONA
ROBECCO D'OGLIO,1865,1134,14,62,CREMONA
ROMANENGO,2320,1858,44,103,CREMONA
SALVIROLA,939,741,35,52,CREMONA
SAN BASSANO,1681,1271,38,98,CREMONA
SAN DANIELE PO,1334,941,47,91,CREMONA
SAN GIOVANNI IN CROCE,1367,828,13,32,CREMONA
SAN MARTINO DEL LAGO,435,251,7,17,CREMONA
SCANDOLARA RAVARA,1259,886,41,60,CREMONA
SCANDOLARA RIPA D'OGLIO,475,356,26,40,CREMONA
SERGNANO,2718,2058,58,145,CREMONA
SESTO ED UNITI,2527,1590,12,72,CREMONA
SOLAROLO RAINERIO,738,566,17,27,CREMONA
SONCINO,6256,4104,43,151,CREMONA
SORESINA,6576,4800,91,234,CREMONA
SOSPIRO,2724,1807,64,175,CREMONA
SPINADESCO,1326,1021,36,67,CREMONA
SPINEDA,511,420,18,31,CREMONA
SPINO D'ADDA,5219,3250,24,123,CREMONA
STAGNO LOMBARDO,1361,966,23,59,CREMONA
TICENGO,386,331,11,20,CREMONA
TORLINO VIMERCATI,347,269,4,8,CREMONA
TORNATA,391,323,10,24,CREMONA
TORRE DE' PICENARDI,1505,1034,40,76,CREMONA
TORRICELLA DEL PIZZO,640,309,5,13,CREMONA
TRESCORE CREMASCO,2182,1406,7,59,CREMONA
TRIGOLO,1530,1095,32,73,CREMONA
VAIANO CREMASCO,3012,2341,68,150,CREMONA
VAILATE,3398,2501,64,174,CREMONA
VESCOVATO,2987,2189,71,153,CREMONA
VOLONGO,439,369,17,31,CREMONA
VOLTIDO,335,249,18,24,CREMONA
