Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
BELVEDERE DI SPINELLO,2037,1481,247,300,CROTONE
CACCURI,1619,1167,88,123,CROTONE
CARFIZZI,633,497,58,76,CROTONE
CASABONA,2359,1856,247,337,CROTONE
CASTELSILANO,1357,899,90,131,CROTONE
CERENZIA,1113,552,7,23,CROTONE
CIRO',2906,721,9,52,CROTONE
CIRO' MARINA,11496,3530,43,136,CROTONE
COTRONEI,4545,1862,16,88,CROTONE
CROTONE,47973,17364,93,614,CROTONE
CRUCOLI,3148,2173,185,257,CROTONE
CUTRO,8063,3058,23,124,CROTONE
ISOLA DI CAPO RIZZUTO,11614,3342,36,156,CROTONE
MELISSA,2754,2060,202,268,CROTONE
MESORACA,7720,3810,413,577,CROTONE
PALLAGORIO,1189,632,26,63,CROTONE
PETILIA POLICASTRO,7434,2745,35,144,CROTONE
ROCCABERNARDA,2835,1168,6,36,CROTONE
ROCCA DI NETO,4596,1646,9,59,CROTONE
SAN MAURO MARCHESATO,1772,1506,180,250,CROTONE
SAN NICOLA DELL'ALTO,826,581,46,65,CROTONE
SANTA SEVERINA,1845,718,9,42,CROTONE
SAVELLI,1755,641,15,36,CROTONE
SCANDALE,2688,1170,14,45,CROTONE
STRONGOLI,5366,2003,16,96,CROTONE
UMBRIATICO,807,640,101,127,CROTONE
VERZINO,1713,1151,144,225,CROTONE
