Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACCADIA,2327,924,20,61,FOGGIA
ALBERONA,1092,371,5,29,FOGGIA
ANZANO DI PUGLIA,1978,465,8,21,FOGGIA
APRICENA,10628,8550,437,803,FOGGIA
ASCOLI SATRIANO,5113,2467,34,127,FOGGIA
BICCARI,2491,2029,222,314,FOGGIA
BOVINO,3196,1320,23,73,FOGGIA
CAGNANO VARANO,6622,1985,29,120,FOGGIA
CANDELA,2283,1362,16,82,FOGGIA
CARAPELLE,4595,2071,16,67,FOGGIA
CARLANTINO,1236,493,4,20,FOGGIA
CARPINO,3673,1444,20,60,FOGGIA
CASALNUOVO MONTEROTARO,1497,583,8,16,FOGGIA
CASALVECCHIO DI PUGLIA,1656,737,21,69,FOGGIA
CASTELLUCCIO DEI SAURI,1651,819,7,57,FOGGIA
CASTELLUCCIO VALMAGGIORE,1341,974,126,153,FOGGIA
CASTELNUOVO DELLA DAUNIA,1446,1025,81,113,FOGGIA
CELENZA VALFORTORE,1765,738,14,45,FOGGIA
CELLE DI SAN VITO,268,150,20,32,FOGGIA
CERIGNOLA,44524,15537,109,691,FOGGIA
CHIEUTI,1522,628,14,38,FOGGIA
DELICETO,3306,2689,209,359,FOGGIA
FAETO,855,221,5,25,FOGGIA
FOGGIA,122552,88043,4102,8867,FOGGIA
ISCHITELLA,3587,1453,19,59,FOGGIA
ISOLE TREMITI,395,146,0,2,FOGGIA
LESINA,4988,4019,270,459,FOGGIA
LUCERA,27501,20895,1509,2871,FOGGIA
MANFREDONIA,46250,19701,137,705,FOGGIA
MATTINATA,5105,4037,304,453,FOGGIA
MONTELEONE DI PUGLIA,1818,647,18,39,FOGGIA
MONTE SANT'ANGELO,10720,4227,40,153,FOGGIA
MOTTA MONTECORVINO,672,305,7,13,FOGGIA
ORDONA,1965,953,14,45,FOGGIA
ORSARA DI PUGLIA,2904,1403,24,102,FOGGIA
ORTA NOVA,13271,10713,767,1210,FOGGIA
PANNI,1360,498,12,38,FOGGIA
PESCHICI,3924,1355,14,84,FOGGIA
PIETRAMONTECORVINO,2356,1155,8,40,FOGGIA
POGGIO IMPERIALE,2196,1802,96,182,FOGGIA
RIGNANO GARGANICO,1678,997,11,42,FOGGIA
ROCCHETTA SANT'ANTONIO,1665,757,16,36,FOGGIA
RODI GARGANICO,3099,1644,19,120,FOGGIA
ROSETO VALFORTORE,1617,368,8,12,FOGGIA
SAN GIOVANNI ROTONDO,21460,9919,97,535,FOGGIA
SAN MARCO IN LAMIS,11623,5854,73,624,FOGGIA
SAN MARCO LA CATOLA,1683,416,8,32,FOGGIA
SAN NICANDRO GARGANICO,13165,4770,37,221,FOGGIA
SAN PAOLO DI CIVITATE,4588,1732,23,69,FOGGIA
SAN SEVERO,42894,32410,1965,3512,FOGGIA
SANT'AGATA DI PUGLIA,1662,1456,131,220,FOGGIA
SERRACAPRIOLA,3347,1613,17,99,FOGGIA
STORNARA,3739,1861,26,80,FOGGIA
STORNARELLA,3741,3336,223,310,FOGGIA
TORREMAGGIORE,13449,5657,35,220,FOGGIA
TROIA,5965,4764,297,552,FOGGIA
VICO DEL GARGANO,6521,2154,22,77,FOGGIA
VIESTE,11242,4200,36,149,FOGGIA
VOLTURARA APPULA,775,356,69,96,FOGGIA
VOLTURINO,1458,1230,107,184,FOGGIA
ZAPPONETA,2373,1242,16,52,FOGGIA
