Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ABBADIA LARIANA,2658,2019,64,152,LECCO
AIRUNO,2166,1692,43,107,LECCO
ANNONE DI BRIANZA,1806,1464,49,93,LECCO
BALLABIO,3034,1940,10,61,LECCO
BARZAGO,1957,1507,33,90,LECCO
BARZANO',4093,2785,21,105,LECCO
BARZIO,1068,835,46,76,LECCO
BELLANO,3027,1674,14,67,LECCO
BOSISIO PARINI,2747,2203,43,136,LECCO
BRIVIO,3545,2230,23,80,LECCO
BULCIAGO,2167,1634,43,110,LECCO
CALCO,3928,2511,18,76,LECCO
CALOLZIOCORTE,11169,6734,61,304,LECCO
CARENNO,1262,950,27,75,LECCO
CASARGO,788,575,22,65,LECCO
CASATENOVO,10236,7583,113,344,LECCO
CASSAGO BRIANZA,3462,2553,49,159,LECCO
CASSINA VALSASSINA,408,289,17,26,LECCO
CASTELLO DI BRIANZA,1941,1505,29,107,LECCO
CERNUSCO LOMBARDONE,2860,1883,16,49,LECCO
CESANA BRIANZA,1980,1284,8,78,LECCO
CIVATE,3152,2404,60,168,LECCO
COLICO,6405,3238,29,113,LECCO
COLLE BRIANZA,1383,1097,22,72,LECCO
CORTENOVA,1058,835,53,117,LECCO
COSTA MASNAGA,3741,2844,95,234,LECCO
CRANDOLA VALSASSINA,238,125,4,14,LECCO
CREMELLA,1359,991,19,76,LECCO
CREMENO,1194,678,5,30,LECCO
DERVIO,2246,1702,53,117,LECCO
DOLZAGO,1878,1494,28,88,LECCO
DORIO,296,205,4,12,LECCO
ELLO,1012,650,7,21,LECCO
ERVE,616,523,33,59,LECCO
ESINO LARIO,746,363,2,30,LECCO
GALBIATE,6948,5200,110,256,LECCO
GARBAGNATE MONASTERO,1908,1552,36,110,LECCO
GARLATE,2078,1282,14,54,LECCO
IMBERSAGO,1973,1483,27,65,LECCO
INTROBIO,1551,1171,41,69,LECCO
INTROZZO,120,82,9,15,LECCO
LECCO,37596,23533,149,720,LECCO
LIERNA,1847,1283,36,85,LECCO
LOMAGNA,3759,2720,65,135,LECCO
MALGRATE,3285,2445,62,113,LECCO
MANDELLO DEL LARIO,8781,5293,43,184,LECCO
MARGNO,327,289,19,31,LECCO
MERATE,11580,8682,131,335,LECCO
MISSAGLIA,6779,4369,20,121,LECCO
MOGGIO,406,292,9,21,LECCO
MOLTENO,2734,2089,57,121,LECCO
MONTE MARENZO,1503,1175,28,72,LECCO
MONTEVECCHIA,2049,1337,6,33,LECCO
MONTICELLO BRIANZA,3346,2522,58,147,LECCO
MORTERONE,35,28,0,0,LECCO
NIBIONNO,2765,1693,12,80,LECCO
OGGIONO,6769,5044,105,273,LECCO
OLGIATE MOLGORA,4857,3126,24,149,LECCO
OLGINATE,5494,3373,22,127,LECCO
OLIVETO LARIO,1047,576,7,24,LECCO
OSNAGO,3559,2638,35,109,LECCO
PADERNO D'ADDA,2902,2152,35,117,LECCO
PAGNONA,351,292,22,61,LECCO
PARLASCO,133,120,5,20,LECCO
PASTURO,1486,1190,39,94,LECCO
PEREGO,1391,862,9,42,LECCO
PERLEDO,866,439,4,18,LECCO
PESCATE,1622,981,5,36,LECCO
PREMANA,1829,1582,91,202,LECCO
PRIMALUNA,1805,1255,47,125,LECCO
ROBBIATE,4622,2920,16,81,LECCO
ROGENO,2443,1894,34,95,LECCO
ROVAGNATE,2212,1404,9,40,LECCO
SANTA MARIA HOE',1706,1124,16,51,LECCO
SIRONE,1909,1502,41,104,LECCO
SIRTORI,2276,1479,8,49,LECCO
SUEGLIO,245,67,1,2,LECCO
SUELLO,1392,1126,46,98,LECCO
TACENO,396,301,17,38,LECCO
TORRE DE' BUSI,1673,1296,36,102,LECCO
TREMENICO,181,150,15,31,LECCO
VALGREGHENTINO,2690,2182,74,173,LECCO
VALMADRERA,8978,6496,109,334,LECCO
VARENNA,740,402,6,14,LECCO
VENDROGNO,308,227,10,32,LECCO
VERCURAGO,2331,1723,23,102,LECCO
VERDERIO,4406,3270,51,165,LECCO
VESTRENO,263,188,12,28,LECCO
VIGANO',1653,1090,6,45,LECCO
