Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUACANINA,120,92,9,16,MACERATA
APIRO,2333,1502,99,159,MACERATA
APPIGNANO,3552,2698,140,227,MACERATA
BELFORTE DEL CHIENTI,1579,1215,53,89,MACERATA
BOLOGNOLA,132,60,3,6,MACERATA
CALDAROLA,1499,1153,51,111,MACERATA
CAMERINO,5891,4182,160,311,MACERATA
CAMPOROTONDO DI FIASTRONE,470,310,17,24,MACERATA
CASTELRAIMONDO,4186,2197,29,106,MACERATA
CASTELSANTANGELO SUL NERA,269,203,10,15,MACERATA
CESSAPALOMBO,484,313,24,39,MACERATA
CINGOLI,10350,6438,325,555,MACERATA
CIVITANOVA MARCHE,34208,18325,192,621,MACERATA
COLMURANO,1248,824,42,68,MACERATA
CORRIDONIA,12695,6949,77,268,MACERATA
ESANATOGLIA,1795,1080,15,55,MACERATA
FIASTRA,479,380,30,38,MACERATA
FIORDIMONTE,177,149,9,17,MACERATA
FIUMINATA,1353,982,38,65,MACERATA
GAGLIOLE,646,302,2,12,MACERATA
GUALDO,738,548,55,80,MACERATA
LORO PICENO,2260,1597,117,146,MACERATA
MACERATA,35867,20163,150,510,MACERATA
MATELICA,8914,6230,180,421,MACERATA
MOGLIANO,4255,3019,225,323,MACERATA
MONTECASSIANO,6392,4390,192,339,MACERATA
MONTE CAVALLO,112,80,3,7,MACERATA
MONTECOSARO,5683,4088,142,262,MACERATA
MONTEFANO,3003,2115,102,166,MACERATA
MONTELUPONE,3412,2036,90,139,MACERATA
MONTE SAN GIUSTO,5846,4196,182,316,MACERATA
MONTE SAN MARTINO,650,520,29,45,MACERATA
MORROVALLE,8628,4647,64,217,MACERATA
MUCCIA,749,450,4,11,MACERATA
PENNA SAN GIOVANNI,1054,467,14,39,MACERATA
PETRIOLO,1847,934,13,33,MACERATA
PIEVEBOVIGLIANA,726,574,26,47,MACERATA
PIEVE TORINA,1125,928,62,108,MACERATA
PIORACO,1070,731,25,49,MACERATA
POGGIO SAN VICINO,232,152,16,23,MACERATA
POLLENZA,5743,3925,160,272,MACERATA
PORTO RECANATI,9406,6113,170,369,MACERATA
POTENZA PICENA,13852,8808,282,559,MACERATA
RECANATI,19374,12839,424,822,MACERATA
RIPE SAN GINESIO,885,575,41,53,MACERATA
SAN GINESIO,3506,1660,20,66,MACERATA
SAN SEVERINO MARCHE,12344,6060,89,305,MACERATA
SANT'ANGELO IN PONTANO,1247,920,70,106,MACERATA
SARNANO,2811,2131,135,206,MACERATA
SEFRO,373,302,21,34,MACERATA
SERRAPETRONA,963,676,35,54,MACERATA
SERRAVALLE DI CHIENTI,904,714,57,91,MACERATA
TOLENTINO,16782,9589,93,329,MACERATA
TREIA,9080,5781,286,505,MACERATA
URBISAGLIA,2440,1588,63,121,MACERATA
USSITA,345,296,12,24,MACERATA
VISSO,987,815,41,77,MACERATA
