Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALAGNA,769,452,3,20,PAVIA
ALBAREDO ARNABOLDI,206,135,10,19,PAVIA
ALBONESE,500,393,17,36,PAVIA
ALBUZZANO,2644,1968,53,146,PAVIA
ARENA PO,1320,1009,40,82,PAVIA
BADIA PAVESE,314,190,0,1,PAVIA
BAGNARIA,668,448,14,27,PAVIA
BARBIANELLO,718,541,18,38,PAVIA
BASCAPE',1339,1090,14,51,PAVIA
BASTIDA PANCARANA,890,533,7,21,PAVIA
BATTUDA,523,403,12,57,PAVIA
BELGIOIOSO,4789,3652,98,317,PAVIA
BEREGUARDO,2208,1686,35,84,PAVIA
BORGARELLO,2038,1277,18,50,PAVIA
BORGO PRIOLO,1209,945,47,83,PAVIA
BORGORATTO MORMOROLO,333,233,13,15,PAVIA
BORGO SAN SIRO,847,519,6,21,PAVIA
BORNASCO,1978,1461,22,79,PAVIA
BOSNASCO,526,357,3,14,PAVIA
BRALLO DI PREGOLA,634,462,38,51,PAVIA
BREME,888,364,5,21,PAVIA
BRESSANA BOTTARONE,2909,2100,46,120,PAVIA
BRONI,7157,4424,35,157,PAVIA
CALVIGNANO,107,57,1,2,PAVIA
CAMPOSPINOSO,873,606,32,59,PAVIA
CANDIA LOMELLINA,1601,1046,32,94,PAVIA
CANEVINO,105,84,7,10,PAVIA
CANNETO PAVESE,1282,823,24,51,PAVIA
CARBONARA AL TICINO,1199,955,21,50,PAVIA
CASANOVA LONATI,381,303,11,17,PAVIA
CASATISMA,788,609,24,42,PAVIA
CASEI GEROLA,2171,1617,56,138,PAVIA
CASORATE PRIMO,6508,4834,99,315,PAVIA
CASSOLNOVO,5917,3929,103,286,PAVIA
CASTANA,606,507,32,48,PAVIA
CASTEGGIO,5623,4045,93,240,PAVIA
CASTELLETTO DI BRANDUZZO,902,682,38,60,PAVIA
CASTELLO D'AGOGNA,901,542,6,20,PAVIA
CASTELNOVETTO,604,380,16,25,PAVIA
CAVA MANARA,5343,4207,99,234,PAVIA
CECIMA,201,173,12,29,PAVIA
CERANOVA,1491,1135,33,74,PAVIA
CERETTO LOMELLINA,195,115,3,9,PAVIA
CERGNAGO,670,475,13,32,PAVIA
CERTOSA DI PAVIA,4094,2900,41,144,PAVIA
CERVESINA,1028,883,48,83,PAVIA
CHIGNOLO PO,2996,2164,63,142,PAVIA
CIGOGNOLA,1208,915,31,51,PAVIA
CILAVEGNA,4578,3312,85,218,PAVIA
CODEVILLA,916,717,24,52,PAVIA
CONFIENZA,1422,809,12,59,PAVIA
COPIANO,1431,1203,58,118,PAVIA
CORANA,692,609,37,53,PAVIA
CORNALE E BASTIDA,765,612,39,59,PAVIA
CORTEOLONA,1567,959,11,50,PAVIA
CORVINO SAN QUIRICO,992,707,24,33,PAVIA
COSTA DE' NOBILI,280,166,3,9,PAVIA
COZZO,385,154,3,11,PAVIA
CURA CARPIGNANO,3544,2723,68,186,PAVIA
DORNO,3769,2723,71,193,PAVIA
FERRERA ERBOGNONE,887,713,25,64,PAVIA
FILIGHERA,661,522,16,52,PAVIA
FORTUNAGO,353,230,9,14,PAVIA
FRASCAROLO,1090,619,10,34,PAVIA
GALLIAVOLA,189,142,6,8,PAVIA
GAMBARANA,209,147,5,14,PAVIA
GAMBOLO',8288,4597,48,224,PAVIA
GARLASCO,8202,4640,47,165,PAVIA
GENZONE,290,240,7,46,PAVIA
GERENZAGO,1059,855,37,86,PAVIA
GIUSSAGO,3937,2403,16,96,PAVIA
GODIASCO SALICE TERME,2687,1985,59,117,PAVIA
GOLFERENZO,160,122,5,8,PAVIA
GRAVELLONA LOMELLINA,2255,1270,7,59,PAVIA
GROPELLO CAIROLI,3768,2228,25,92,PAVIA
INVERNO E MONTELEONE,1129,899,33,102,PAVIA
LANDRIANO,4613,3505,70,193,PAVIA
LANGOSCO,513,279,4,11,PAVIA
LARDIRAGO,994,554,6,25,PAVIA
LINAROLO,2167,1538,31,133,PAVIA
