Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACQUALAGNA,3567,2650,88,189,PESARO E URBINO
APECCHIO,1578,1298,63,86,PESARO E URBINO
AUDITORE,1256,792,1,11,PESARO E URBINO
BARCHI,834,516,17,31,PESARO E URBINO
BELFORTE ALL'ISAURO,568,480,21,32,PESARO E URBINO
BORGO PACE,620,384,31,45,PESARO E URBINO
CAGLI,7523,5440,182,354,PESARO E URBINO
CANTIANO,2003,1632,47,97,PESARO E URBINO
CARPEGNA,1283,1089,40,64,PESARO E URBINO
CARTOCETO,6263,4828,147,288,PESARO E URBINO
FANO,51210,37552,860,1798,PESARO E URBINO
FERMIGNANO,6280,4171,39,145,PESARO E URBINO
FOSSOMBRONE,7622,4920,53,187,PESARO E URBINO
FRATTE ROSA,824,609,43,68,PESARO E URBINO
FRONTINO,250,149,2,5,PESARO E URBINO
FRONTONE,1154,822,34,53,PESARO E URBINO
GABICCE MARE,4532,3269,52,126,PESARO E URBINO
GRADARA,3812,2386,18,63,PESARO E URBINO
ISOLA DEL PIANO,464,286,2,6,PESARO E URBINO
LUNANO,1005,868,34,58,PESARO E URBINO
MACERATA FELTRIA,1645,1390,55,80,PESARO E URBINO
MERCATELLO SUL METAURO,1339,989,56,108,PESARO E URBINO
MERCATINO CONCA,954,583,6,23,PESARO E URBINO
MOMBAROCCIO,1776,1230,45,74,PESARO E URBINO
MONDAVIO,3265,2076,19,64,PESARO E URBINO
MONDOLFO,9380,5803,69,216,PESARO E URBINO
MONTECALVO IN FOGLIA,2050,1593,25,63,PESARO E URBINO
MONTE CERIGNONE,593,496,13,29,PESARO E URBINO
MONTECICCARDO,1288,998,17,56,PESARO E URBINO
MONTECOPIOLO,1027,835,36,49,PESARO E URBINO
MONTEFELCINO,2309,1789,50,116,PESARO E URBINO
MONTE GRIMANO TERME,1173,784,18,33,PESARO E URBINO
MONTELABBATE,4997,3580,40,123,PESARO E URBINO
MONTEMAGGIORE AL METAURO,2258,1838,102,163,PESARO E URBINO
MONTE PORZIO,2235,1637,61,95,PESARO E URBINO
ORCIANO DI PESARO,1794,1035,16,43,PESARO E URBINO
PEGLIO,613,435,11,24,PESARO E URBINO
PERGOLA,5345,4157,196,331,PESARO E URBINO
PESARO,75560,55090,698,1854,PESARO E URBINO
PETRIANO,1999,1584,55,102,PESARO E URBINO
PIAGGE,818,699,35,48,PESARO E URBINO
PIANDIMELETO,1598,1278,35,80,PESARO E URBINO
PIETRARUBBIA,535,414,11,22,PESARO E URBINO
PIOBBICO,1559,1367,74,114,PESARO E URBINO
SALTARA,5103,3880,130,236,PESARO E URBINO
SAN COSTANZO,3920,2977,91,152,PESARO E URBINO
SAN GIORGIO DI PESARO,1209,829,41,71,PESARO E URBINO
SAN LORENZO IN CAMPO,2860,2169,111,194,PESARO E URBINO
SANT'ANGELO IN VADO,3480,2572,190,246,PESARO E URBINO
SANT'IPPOLITO,1220,1029,44,74,PESARO E URBINO
SASSOCORVARO,2684,2251,63,134,PESARO E URBINO
SASSOFELTRIO,1357,742,7,26,PESARO E URBINO
SERRA SANT'ABBONDIO,934,739,31,52,PESARO E URBINO
SERRUNGARINA,2045,1428,33,87,PESARO E URBINO
TAVOLETO,710,561,11,28,PESARO E URBINO
TAVULLIA,5858,4253,72,160,PESARO E URBINO
URBANIA,5382,4127,132,239,PESARO E URBINO
URBINO,12157,9561,208,386,PESARO E URBINO
VALLEFOGLIA,10800,8102,130,306,PESARO E URBINO
