Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
BIENTINA,6367,3826,34,118,PISA
BUTI,4722,2973,48,99,PISA
CALCI,5446,3931,84,194,PISA
CALCINAIA,9502,6735,115,290,PISA
CAPANNOLI,4982,3634,89,192,PISA
CASALE MARITTIMO,911,708,28,51,PISA
CASCIANA TERME LARI,9995,7314,164,363,PISA
CASCINA,35299,22100,134,699,PISA
CASTELFRANCO DI SOTTO,9937,7059,168,434,PISA
CASTELLINA MARITTIMA,1681,1095,4,34,PISA
CASTELNUOVO DI VAL DI CECINA,1675,1398,52,96,PISA
CHIANNI,1200,912,38,70,PISA
CRESPINA LORENZANA,4320,3100,85,231,PISA
FAUGLIA,2984,2255,40,121,PISA
GUARDISTALLO,1021,816,35,48,PISA
LAJATICO,1113,879,25,41,PISA
MONTECATINI VAL DI CECINA,1483,986,8,43,PISA
MONTESCUDAIO,1681,1279,34,70,PISA
MONTEVERDI MARITTIMO,596,497,25,52,PISA
MONTOPOLI IN VAL D'ARNO,8711,6262,128,302,PISA
ORCIANO PISANO,547,314,3,12,PISA
PALAIA,3727,2643,57,133,PISA
PECCIOLI,3926,3168,70,126,PISA
PISA,70347,42242,200,936,PISA
POMARANCE,4796,3873,119,214,PISA
PONSACCO,11717,8500,145,351,PISA
PONTEDERA,21457,15242,253,592,PISA
RIPARBELLA,1252,768,4,25,PISA
SAN GIULIANO TERME,25740,18018,262,765,PISA
SAN MINIATO,22241,15984,290,727,PISA
SANTA CROCE SULL'ARNO,9769,6952,154,338,PISA
SANTA LUCE,1391,946,14,37,PISA
SANTA MARIA A MONTE,10316,6169,49,256,PISA
TERRICCIOLA,3585,2761,82,168,PISA
VECCHIANO,10276,6130,36,203,PISA
VICOPISANO,7065,5275,124,262,PISA
VOLTERRA,8820,6860,169,424,PISA
