Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ADRIA,17125,10150,91,448,ROVIGO
ARIANO NEL POLESINE,3823,2817,100,198,ROVIGO
ARQUA' POLESINE,2388,1733,51,94,ROVIGO
BADIA POLESINE,8623,4726,45,194,ROVIGO
BAGNOLO DI PO,1128,808,31,49,ROVIGO
BERGANTINO,2229,1592,53,115,ROVIGO
BOSARO,1118,849,29,72,ROVIGO
CALTO,721,483,31,55,ROVIGO
CANARO,2487,1495,13,65,ROVIGO
CANDA,762,586,30,63,ROVIGO
CASTELGUGLIELMO,1388,1088,29,71,ROVIGO
CASTELMASSA,3401,2506,59,109,ROVIGO
CASTELNOVO BARIANO,2507,1731,63,119,ROVIGO
CENESELLI,1535,1042,52,108,ROVIGO
CEREGNANO,3109,1787,21,77,ROVIGO
CORBOLA,2080,1651,49,108,ROVIGO
COSTA DI ROVIGO,2284,1742,51,102,ROVIGO
CRESPINO,1648,1215,59,105,ROVIGO
FICAROLO,2217,1175,12,40,ROVIGO
FIESSO UMBERTIANO,3563,2721,90,172,ROVIGO
FRASSINELLE POLESINE,1341,990,40,61,ROVIGO
FRATTA POLESINE,2317,1329,19,60,ROVIGO
GAIBA,907,743,38,64,ROVIGO
GAVELLO,1285,973,23,54,ROVIGO
GIACCIANO CON BARUCHELLA,1843,955,16,47,ROVIGO
GUARDA VENETA,997,773,37,61,ROVIGO
LENDINARA,9684,6783,210,462,ROVIGO
LOREO,3089,2318,86,177,ROVIGO
LUSIA,2899,1547,23,67,ROVIGO
MELARA,1605,1049,35,74,ROVIGO
OCCHIOBELLO,9281,6616,133,305,ROVIGO
PAPOZZE,1451,1067,38,59,ROVIGO
PETTORAZZA GRIMANI,1388,985,39,77,ROVIGO
PINCARA,1070,818,31,65,ROVIGO
POLESELLA,3412,2046,67,111,ROVIGO
PONTECCHIO POLESINE,1764,1331,40,82,ROVIGO
PORTO TOLLE,8725,4797,32,135,ROVIGO
PORTO VIRO,12511,9519,243,495,ROVIGO
ROSOLINA,5350,2992,43,143,ROVIGO
ROVIGO,41895,24554,201,771,ROVIGO
SALARA,1044,791,29,52,ROVIGO
SAN BELLINO,972,764,39,64,ROVIGO
SAN MARTINO DI VENEZZE,3535,2067,21,75,ROVIGO
STIENTA,2746,2146,48,99,ROVIGO
TAGLIO DI PO,7149,4085,37,162,ROVIGO
TRECENTA,2441,1351,19,60,ROVIGO
VILLADOSE,4482,2431,16,84,ROVIGO
VILLAMARZANA,1040,611,6,17,ROVIGO
VILLANOVA DEL GHEBBO,1661,1308,43,76,ROVIGO
VILLANOVA MARCHESANA,806,562,36,51,ROVIGO
