Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ACERNO,2687,1286,20,70,SALERNO
AGROPOLI,17456,8204,69,354,SALERNO
ALBANELLA,5426,4288,374,524,SALERNO
ALFANO,1575,480,21,55,SALERNO
ALTAVILLA SILENTINA,5836,2885,33,176,SALERNO
AMALFI,4538,2080,29,83,SALERNO
ANGRI,26280,13124,114,509,SALERNO
AQUARA,1488,715,10,63,SALERNO
ASCEA,5163,4035,316,481,SALERNO
ATENA LUCANA,2694,896,11,36,SALERNO
ATRANI,775,621,35,51,SALERNO
AULETTA,2376,1708,195,236,SALERNO
BARONISSI,14092,11373,553,1008,SALERNO
BATTIPAGLIA,40477,20049,173,816,SALERNO
BELLIZZI,10680,9014,505,810,SALERNO
BELLOSGUARDO,968,615,60,76,SALERNO
BRACIGLIANO,4607,2362,47,131,SALERNO
BUCCINO,4934,2170,29,94,SALERNO
BUONABITACOLO,2653,1527,117,207,SALERNO
CAGGIANO,2945,1974,163,236,SALERNO
CALVANICO,1310,790,9,48,SALERNO
CAMEROTA,7814,2779,35,110,SALERNO
CAMPAGNA,13089,6053,75,272,SALERNO
CAMPORA,647,308,26,43,SALERNO
CANNALONGA,1306,559,20,29,SALERNO
CAPACCIO,17280,7863,106,347,SALERNO
CASALBUONO,1466,845,110,124,SALERNO
CASALETTO SPARTANO,1624,1057,174,215,SALERNO
CASAL VELINO,4353,2091,44,128,SALERNO
CASELLE IN PITTARI,2076,1491,264,308,SALERNO
CASTELCIVITA,1678,668,13,32,SALERNO
CASTELLABATE,8888,3315,33,162,SALERNO
CASTELNUOVO CILENTO,2280,1924,179,277,SALERNO
CASTELNUOVO DI CONZA,2089,436,48,68,SALERNO
CASTEL SAN GIORGIO,11268,6263,77,284,SALERNO
CASTEL SAN LORENZO,2651,920,9,36,SALERNO
CASTIGLIONE DEL GENOVESI,1076,940,57,99,SALERNO
CAVA DE' TIRRENI,45229,23916,328,1378,SALERNO
CELLE DI BULGHERIA,2124,931,107,134,SALERNO
CENTOLA,5258,1791,25,98,SALERNO
CERASO,3174,1130,27,64,SALERNO
CETARA,1930,866,11,36,SALERNO
CICERALE,1228,920,126,169,SALERNO
COLLIANO,3327,1241,39,79,SALERNO
CONCA DEI MARINI,624,281,5,11,SALERNO
CONTRONE,810,383,6,17,SALERNO
CONTURSI TERME,2855,1525,29,50,SALERNO
CORBARA,2082,1210,17,83,SALERNO
CORLETO MONFORTE,744,284,7,18,SALERNO
CUCCARO VETERE,705,441,39,56,SALERNO
EBOLI,29120,13484,126,668,SALERNO
FELITTO,1499,998,109,162,SALERNO
FISCIANO,11392,6440,99,284,SALERNO
FURORE,710,517,42,61,SALERNO
FUTANI,1424,873,106,130,SALERNO
GIFFONI SEI CASALI,4229,2089,53,169,SALERNO
