Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ALBAREDO PER SAN MARCO,302,181,18,27,SONDRIO
ALBOSAGGIA,2760,1893,50,149,SONDRIO
ANDALO VALTELLINO,470,399,21,38,SONDRIO
APRICA,1356,721,2,15,SONDRIO
ARDENNO,2912,1459,20,58,SONDRIO
BEMA,144,89,5,7,SONDRIO
BERBENNO DI VALTELLINA,3869,2779,89,211,SONDRIO
BIANZONE,1263,794,20,51,SONDRIO
BORMIO,3494,1708,21,70,SONDRIO
BUGLIO IN MONTE,1911,1227,49,100,SONDRIO
CAIOLO,903,698,35,62,SONDRIO
CAMPODOLCINO,954,503,6,18,SONDRIO
CASPOGGIO,1441,1042,33,89,SONDRIO
CASTELLO DELL'ACQUA,634,439,34,52,SONDRIO
CASTIONE ANDEVENNO,1448,960,54,103,SONDRIO
CEDRASCO,423,287,16,26,SONDRIO
CERCINO,650,301,4,13,SONDRIO
CHIAVENNA,6697,4145,142,262,SONDRIO
CHIESA IN VALMALENCO,2328,1200,14,45,SONDRIO
CHIURO,2283,1481,43,94,SONDRIO
CINO,402,231,3,8,SONDRIO
CIVO,1139,804,49,95,SONDRIO
COLORINA,1390,780,47,75,SONDRIO
COSIO VALTELLINO,4561,2388,24,92,SONDRIO
DAZIO,364,230,4,13,SONDRIO
DELEBIO,2445,1872,83,147,SONDRIO
DUBINO,2952,2034,89,172,SONDRIO
FAEDO VALTELLINO,468,365,21,36,SONDRIO
FORCOLA,777,528,37,64,SONDRIO
FUSINE,540,383,18,25,SONDRIO
GEROLA ALTA,194,79,0,1,SONDRIO
GORDONA,1644,1262,48,100,SONDRIO
GROSIO,4173,2506,67,178,SONDRIO
GROSOTTO,1577,1057,46,89,SONDRIO
LANZADA,1377,853,43,101,SONDRIO
LIVIGNO,4377,2308,26,108,SONDRIO
LOVERO,628,466,29,53,SONDRIO
MADESIMO,571,380,19,35,SONDRIO
MANTELLO,616,341,4,13,SONDRIO
MAZZO DI VALTELLINA,1041,428,3,15,SONDRIO
MELLO,943,414,6,20,SONDRIO
MENAROLA,64,35,2,3,SONDRIO
MESE,1554,1140,57,107,SONDRIO
MONTAGNA IN VALTELLINA,2889,1949,41,138,SONDRIO
MORBEGNO,10399,7384,222,467,SONDRIO
NOVATE MEZZOLA,1676,1175,28,90,SONDRIO
PEDESINA,48,31,1,2,SONDRIO
PIANTEDO,1076,895,33,59,SONDRIO
PIATEDA,2049,1518,36,110,SONDRIO
PIURO,1882,1305,52,115,SONDRIO
POGGIRIDENTI,1728,1244,29,80,SONDRIO
PONTE IN VALTELLINA,2231,1504,44,108,SONDRIO
POSTALESIO,582,403,13,32,SONDRIO
PRATA CAMPORTACCIO,2545,1647,71,143,SONDRIO
RASURA,286,155,3,9,SONDRIO
ROGOLO,470,394,14,22,SONDRIO
SAMOLACO,2684,1751,66,125,SONDRIO
SAN GIACOMO FILIPPO,469,238,23,40,SONDRIO
SERNIO,521,339,19,31,SONDRIO
SONDALO,3850,2345,66,237,SONDRIO
SONDRIO,18194,10039,69,321,SONDRIO
SPRIANA,135,80,5,5,SONDRIO
TALAMONA,4215,2308,77,166,SONDRIO
TARTANO,283,189,13,15,SONDRIO
TEGLIO,4414,1782,13,78,SONDRIO
TIRANO,8212,5484,145,341,SONDRIO
TORRE DI SANTA MARIA,855,538,23,58,SONDRIO
TOVO DI SANT'AGATA,565,449,21,42,SONDRIO
TRAONA,2202,1758,62,158,SONDRIO
TRESIVIO,1773,1301,29,88,SONDRIO
VALDIDENTRO,3418,1826,34,86,SONDRIO
VALDISOTTO,2994,2199,76,206,SONDRIO
VALFURVA,2282,1105,20,40,SONDRIO
VAL MASINO,901,589,31,66,SONDRIO
VERCEIA,1217,676,51,98,SONDRIO
VERVIO,292,156,9,22,SONDRIO
VILLA DI CHIAVENNA,1068,445,8,27,SONDRIO
VILLA DI TIRANO,2811,1840,72,151,SONDRIO
