Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
AGLIE',2200,1691,84,217,TORINO
AIRASCA,3177,2176,72,177,TORINO
ALA DI STURA,391,322,34,56,TORINO
ALBIANO D'IVREA,1494,903,10,54,TORINO
ALICE SUPERIORE,653,438,29,45,TORINO
ALMESE,5192,4071,108,281,TORINO
ALPETTE,252,232,14,22,TORINO
ALPIGNANO,14241,9397,89,383,TORINO
ANDEZENO,1551,1249,57,116,TORINO
ANDRATE,432,310,22,43,TORINO
ANGROGNA,839,433,6,26,TORINO
ARIGNANO,861,692,25,55,TORINO
AVIGLIANA,10171,6864,59,269,TORINO
AZEGLIO,1065,664,8,37,TORINO
BAIRO,692,405,8,37,TORINO
BALANGERO,2684,1736,24,79,TORINO
BALDISSERO CANAVESE,458,294,4,12,TORINO
BALDISSERO TORINESE,3038,2168,46,119,TORINO
BALME,106,87,4,7,TORINO
BANCHETTE,2573,1740,42,95,TORINO
BARBANIA,1378,971,38,100,TORINO
BARDONECCHIA,2556,1532,24,70,TORINO
BARONE CANAVESE,513,374,11,19,TORINO
BEINASCO,14821,11109,202,605,TORINO
BIBIANA,2938,1623,48,141,TORINO
BOBBIO PELLICE,1087,372,19,41,TORINO
BOLLENGO,1806,1097,22,95,TORINO
BORGARO TORINESE,10957,8460,172,464,TORINO
BORGIALLO,462,346,17,36,TORINO
BORGOFRANCO D'IVREA,3053,2252,66,196,TORINO
BORGOMASINO,680,361,3,14,TORINO
BORGONE SUSA,1867,1363,48,102,TORINO
BOSCONERO,2526,1956,72,167,TORINO
BRANDIZZO,6789,5008,185,399,TORINO
BRICHERASIO,4182,2847,141,278,TORINO
BROSSO,389,219,6,17,TORINO
BROZOLO,412,324,21,36,TORINO
BRUINO,6810,5196,124,334,TORINO
BRUSASCO,1411,820,16,66,TORINO
BRUZOLO,1255,979,34,69,TORINO
BURIASCO,1295,800,31,89,TORINO
BUROLO,1061,818,23,56,TORINO
BUSANO,1263,1052,63,127,TORINO
BUSSOLENO,5092,3771,94,249,TORINO
BUTTIGLIERA ALTA,5282,4083,82,221,TORINO
CAFASSE,2885,2154,60,190,TORINO
CALUSO,6616,4520,147,360,TORINO
CAMBIANO,5125,3579,35,197,TORINO
CAMPIGLIONE-FENILE,1214,894,53,120,TORINO
CANDIA CANAVESE,1169,845,53,118,TORINO
CANDIOLO,4629,3668,118,244,TORINO
CANISCHIO,246,197,9,34,TORINO
CANTALUPA,2180,1552,56,123,TORINO
CANTOIRA,471,352,10,37,TORINO
CAPRIE,1700,1350,35,86,TORINO
CARAVINO,852,514,12,39,TORINO
CAREMA,626,395,31,57,TORINO
CARIGNANO,7755,4773,98,334,TORINO
CARMAGNOLA,22231,13582,225,922,TORINO
CASALBORGONE,1542,1001,25,68,TORINO
CASCINETTE D'IVREA,1230,836,13,44,TORINO
CASELETTE,2426,1962,46,122,TORINO
CASELLE TORINESE,14935,9629,120,480,TORINO
CASTAGNETO PO,1486,1124,30,64,TORINO
CASTAGNOLE PIEMONTE,1936,1393,61,133,TORINO
CASTELLAMONTE,7838,4612,77,276,TORINO
CASTELNUOVO NIGRA,404,234,6,21,TORINO
CASTIGLIONE TORINESE,5194,3988,84,194,TORINO
CAVAGNOLO,1931,1198,27,77,TORINO
CAVOUR,5136,3499,187,351,TORINO
