Ente,Numero elettori,Numero votanti,Schede bianche,Schede non valide,nomefile
ANTRONA SCHIERANCO,424,333,21,41,VERBANO-CUSIO-OSSOLA
ANZOLA D'OSSOLA,350,311,24,42,VERBANO-CUSIO-OSSOLA
ARIZZANO,1727,1169,31,80,VERBANO-CUSIO-OSSOLA
AROLA,275,190,18,32,VERBANO-CUSIO-OSSOLA
AURANO,117,76,6,9,VERBANO-CUSIO-OSSOLA
BACENO,872,655,42,84,VERBANO-CUSIO-OSSOLA
BANNIO ANZINO,478,299,24,43,VERBANO-CUSIO-OSSOLA
BAVENO,4148,2963,99,215,VERBANO-CUSIO-OSSOLA
BEE,593,468,17,35,VERBANO-CUSIO-OSSOLA
BELGIRATE,413,268,0,3,VERBANO-CUSIO-OSSOLA
BEURA-CARDEZZA,1534,705,18,47,VERBANO-CUSIO-OSSOLA
BOGNANCO,264,146,10,21,VERBANO-CUSIO-OSSOLA
BROVELLO-CARPUGNINO,591,473,22,50,VERBANO-CUSIO-OSSOLA
CALASCA-CASTIGLIONE,644,264,4,17,VERBANO-CUSIO-OSSOLA
CAMBIASCA,1431,1134,46,123,VERBANO-CUSIO-OSSOLA
CANNERO RIVIERA,934,595,33,59,VERBANO-CUSIO-OSSOLA
CANNOBIO,5004,2937,121,275,VERBANO-CUSIO-OSSOLA
CAPREZZO,192,131,8,20,VERBANO-CUSIO-OSSOLA
CASALE CORTE CERRO,2946,2099,86,192,VERBANO-CUSIO-OSSOLA
CAVAGLIO-SPOCCIA,303,198,21,46,VERBANO-CUSIO-OSSOLA
CEPPO MORELLI,328,231,15,40,VERBANO-CUSIO-OSSOLA
CESARA,548,300,6,18,VERBANO-CUSIO-OSSOLA
COSSOGNO,575,375,19,68,VERBANO-CUSIO-OSSOLA
CRAVEGGIA,742,510,47,83,VERBANO-CUSIO-OSSOLA
CREVOLADOSSOLA,4196,2115,37,109,VERBANO-CUSIO-OSSOLA
CRODO,1284,900,39,100,VERBANO-CUSIO-OSSOLA
CURSOLO-ORASSO,193,55,2,4,VERBANO-CUSIO-OSSOLA
DOMODOSSOLA,16251,8642,113,461,VERBANO-CUSIO-OSSOLA
DRUOGNO,905,440,9,46,VERBANO-CUSIO-OSSOLA
FALMENTA,242,57,1,11,VERBANO-CUSIO-OSSOLA
FORMAZZA,391,234,2,11,VERBANO-CUSIO-OSSOLA
GERMAGNO,169,146,4,9,VERBANO-CUSIO-OSSOLA
